site,x,y,z,psi_q16,psi_hex,psi_float,psi_prev_q16,psi_prev_hex,psi_prev_float,m_prev_q16,m_prev_hex,m_prev_float
0,0,0,0,-714265665,0xD56D2BBF,-10898.829116821289,-845741189,0xCD97037B,-12904.986404418945,-30098581,0xFE34BB6B,-459.2678985595703
1,1,0,0,-2120741518,0x81980D72,-32359.947479248047,-978133375,0xC5B2DE81,-14925.130844116211,-27860301,0xFE56E2B3,-425.1144561767578
2,2,0,0,1448293197,0x5653334D,22099.200393676758,-2006835846,0x88621D7A,-30621.884857177734,-59735114,0xFC7083B6,-911.4855041503906
3,3,0,0,-1385962372,0xAD63E47C,-21148.107482910156,-1758333925,0x9731F41B,-26830.046463012695,-48337326,0xFD1E6E52,-737.5690612792969
4,4,0,0,-1112288028,0xBDB3D4E4,-16972.168395996094,1822217897,0x6C9CD6A9,27804.83851623535,7423508,0x00714614,113.27374267578125
5,5,0,0,-1385962372,0xAD63E47C,-21148.107482910156,-1758333925,0x9731F41B,-26830.046463012695,-48337326,0xFD1E6E52,-737.5690612792969
6,6,0,0,1448293197,0x5653334D,22099.200393676758,-2006835846,0x88621D7A,-30621.884857177734,-59735114,0xFC7083B6,-911.4855041503906
7,7,0,0,-2120741518,0x81980D72,-32359.947479248047,-978133375,0xC5B2DE81,-14925.130844116211,-27860301,0xFE56E2B3,-425.1144561767578
8,0,1,0,-2120741518,0x81980D72,-32359.947479248047,-978133375,0xC5B2DE81,-14925.130844116211,-27860301,0xFE56E2B3,-425.1144561767578
9,1,1,0,1302120,0x0013DE68,19.8687744140625,-1864221581,0x90E23C73,-28445.763870239258,-62123454,0xFC4C1242,-947.9286804199219
10,2,1,0,-1713622294,0x99DC32EA,-26147.80111694336,392671827,0x1767B253,5991.696578979492,-42684156,0xFD74B104,-651.3085327148438
11,3,1,0,1328620412,0x4F31237C,20273.138610839844,-1093048894,0xBED965C2,-16678.602508544922,54770715,0x0343BC1B,835.7347869873047
12,4,1,0,836232902,0x31D7E6C6,12759.901458740234,1369986173,0x51A8547D,20904.330032348633,7553041,0x00734011,115.25025939941406
13,5,1,0,1328620412,0x4F31237C,20273.138610839844,-1093048894,0xBED965C2,-16678.602508544922,54770715,0x0343BC1B,835.7347869873047
14,6,1,0,-1713622294,0x99DC32EA,-26147.80111694336,392671827,0x1767B253,5991.696578979492,-42684156,0xFD74B104,-651.3085327148438
