site,x,y,z,reference_psi,hardware_psi,reference_density,hardware_density,density_error
0,0,0,0,-10898.829116821289,-10898.8291168213,118784476.11767152,118784476.11767176,2.384185791015625e-07
1,1,0,0,-32359.947479248047,-32359.947479248,1047166200.859692,1047166200.859689,-2.9802322387695312e-06
2,2,0,0,22099.200393676758,22099.200393676801,488374658.03988296,488374658.03988492,1.9669532775878906e-06
3,3,0,0,-21148.107482910156,-21148.1074829102,447242450.10872054,447242450.10872239,1.8477439880371094e-06
4,4,0,0,-16972.168395996094,-16972.168395996101,288054500.06204861,288054500.06204885,2.384185791015625e-07
5,5,0,0,-21148.107482910156,-21148.1074829102,447242450.10872054,447242450.10872239,1.8477439880371094e-06
6,6,0,0,22099.200393676758,22099.200393676801,488374658.03988296,488374658.03988492,1.9669532775878906e-06
7,7,0,0,-32359.947479248047,-32359.947479248,1047166200.859692,1047166200.859689,-2.9802322387695312e-06
8,0,1,0,-32359.947479248047,-32359.947479248,1047166200.859692,1047166200.859689,-2.9802322387695312e-06
9,1,1,0,19.8687744140625,19.868774414099999,394.76819671690464,394.76819671839473,1.4900933820172213e-09
10,2,1,0,-26147.801116943359,-26147.801116943399,683707503.2512244,683707503.25122654,2.1457672119140625e-06
11,3,1,0,20273.138610839844,20273.1386108398,411000149.13432527,411000149.13432348,-1.7881393432617188e-06
12,4,1,0,12759.901458740234,12759.9014587402,162815085.23676115,162815085.23676029,-8.6426734924316406e-07
13,5,1,0,20273.138610839844,20273.1386108398,411000149.13432527,411000149.13432348,-1.7881393432617188e-06
14,6,1,0,-26147.801116943359,-26147.801116943399,683707503.2512244,683707503.25122654,2.1457672119140625e-06
15,7,1,0,19.8687744140625,19.868774414099999,394.76819671690464,394.76819671839473,1.4900933820172213e-09
16,0,2,0,22099.200393676758,22099.200393676801,488374658.03988296,488374658.03988492,1.9669532775878906e-06
17,1,2,0,-26147.801116943359,-26147.801116943399,683707503.2512244,683707503.25122654,2.1457672119140625e-06
18,2,2,0,-7116.3410491943359,-7116.3410491942996,50642309.928448342,50642309.928447828,-5.1409006118774414e-07
19,3,2,0,4561.9954986572266,4561.9954986572002,20811802.929768797,20811802.929768555,-2.4214386940002441e-07
20,4,2,0,-2641.2630157470703,-2641.2630157470999,6976270.3183533084,6976270.3183534648,1.5646219253540039e-07
21,5,2,0,4561.9954986572266,4561.9954986572002,20811802.929768797,20811802.929768555,-2.4214386940002441e-07
22,6,2,0,-7116.3410491943359,-7116.3410491942996,50642309.928448342,50642309.928447828,-5.1409006118774414e-07
23,7,2,0,-26147.801116943359,-26147.801116943399,683707503.2512244,683707503.25122654,2.1457672119140625e-06
24,0,3,0,-21148.107482910156,-21148.1074829102,447242450.10872054,447242450.10872239,1.8477439880371094e-06
25,1,3,0,20273.138610839844,20273.1386108398,411000149.13432527,411000149.13432348,-1.7881393432617188e-06
26,2,3,0,4561.9954986572266,4561.9954986572002,20811802.929768797,20811802.929768555,-2.4214386940002441e-07
27,3,3,0,-19757.553680419922,-19757.5536804199,390360927.4346748,390360927.43467396,-8.3446502685546875e-07
28,4,3,0,23305.586837768555,23305.586837768598,543150377.85277092,543150377.85277295,2.0265579223632812e-06
29,5,3,0,-19757.553680419922,-19757.5536804199,390360927.4346748,390360927.43467396,-8.3446502685546875e-07
30,6,3,0,4561.9954986572266,4561.9954986572002,20811802.929768797,20811802.929768555,-2.4214386940002441e-07
31,7,3,0,20273.138610839844,20273.1386108398,411000149.13432527,411000149.13432348,-1.7881393432617188e-06
32,0,4,0,-16972.168395996094,-16972.168395996101,288054500.06204861,288054500.06204885,2.384185791015625e-07
33,1,4,0,12759.901458740234,12759.9014587402,162815085.23676115,162815085.23676029,-8.6426734924316406e-07
34,2,4,0,-2641.2630157470703,-2641.2630157470999,6976270.3183533084,6976270.3183534648,1.5646219253540039e-07
35,3,4,0,23305.586837768555,23305.586837768598,543150377.85277092,543150377.85277295,2.0265579223632812e-06
36,4,4,0,19370.363647460938,19370.363647460901,375210987.83487618,375210987.83487481,-1.3709068298339844e-06
37,5,4,0,23305.586837768555,23305.586837768598,543150377.85277092,543150377.85277295,2.0265579223632812e-06
38,6,4,0,-2641.2630157470703,-2641.2630157470999,6976270.3183533084,6976270.3183534648,1.5646219253540039e-07
39,7,4,0,12759.901458740234,12759.9014587402,162815085.23676115,162815085.23676029,-8.6426734924316406e-07
40,0,5,0,-21148.107482910156,-21148.1074829102,447242450.10872054,447242450.10872239,1.8477439880371094e-06
41,1,5,0,20273.138610839844,20273.1386108398,411000149.13432527,411000149.13432348,-1.7881393432617188e-06
42,2,5,0,4561.9954986572266,4561.9954986572002,20811802.929768797,20811802.929768555,-2.4214386940002441e-07
43,3,5,0,-19757.553680419922,-19757.5536804199,390360927.4346748,390360927.43467396,-8.3446502685546875e-07
44,4,5,0,23305.586837768555,23305.586837768598,543150377.85277092,543150377.85277295,2.0265579223632812e-06
45,5,5,0,-19757.553680419922,-19757.5536804199,390360927.4346748,390360927.43467396,-8.3446502685546875e-07
46,6,5,0,4561.9954986572266,4561.9954986572002,20811802.929768797,20811802.929768555,-2.4214386940002441e-07
47,7,5,0,20273.138610839844,20273.1386108398,411000149.13432527,411000149.13432348,-1.7881393432617188e-06
48,0,6,0,22099.200393676758,22099.200393676801,488374658.03988296,488374658.03988492,1.9669532775878906e-06
49,1,6,0,-26147.801116943359,-26147.801116943399,683707503.2512244,683707503.25122654,2.1457672119140625e-06
50,2,6,0,-7116.3410491943359,-7116.3410491942996,50642309.928448342,50642309.928447828,-5.1409006118774414e-07
51,3,6,0,4561.9954986572266,4561.9954986572002,20811802.929768797,20811802.929768555,-2.4214386940002441e-07
52,4,6,0,-2641.2630157470703,-2641.2630157470999,6976270.3183533084,6976270.3183534648,1.5646219253540039e-07
53,5,6,0,4561.9954986572266,4561.9954986572002,20811802.929768797,20811802.929768555,-2.4214386940002441e-07
54,6,6,0,-7116.3410491943359,-7116.3410491942996,50642309.928448342,50642309.928447828,-5.1409006118774414e-07
55,7,6,0,-26147.801116943359,-26147.801116943399,683707503.2512244,683707503.25122654,2.1457672119140625e-06
56,0,7,0,-32359.947479248047,-32359.947479248,1047166200.859692,1047166200.859689,-2.9802322387695312e-06
57,1,7,0,19.8687744140625,19.868774414099999,394.76819671690464,394.76819671839473,1.4900933820172213e-09
58,2,7,0,-26147.801116943359,-26147.801116943399,683707503.2512244,683707503.25122654,2.1457672119140625e-06
59,3,7,0,20273.138610839844,20273.1386108398,411000149.13432527,411000149.13432348,-1.7881393432617188e-06
60,4,7,0,12759.901458740234,12759.9014587402,162815085.23676115,162815085.23676029,-8.6426734924316406e-07
61,5,7,0,20273.138610839844,20273.1386108398,411000149.13432527,411000149.13432348,-1.7881393432617188e-06
62,6,7,0,-26147.801116943359,-26147.801116943399,683707503.2512244,683707503.25122654,2.1457672119140625e-06
63,7,7,0,19.8687744140625,19.868774414099999,394.76819671690464,394.76819671839473,1.4900933820172213e-09
64,0,0,1,-24190.361221313477,-24190.361221313498,585173576.01762688,585173576.01762784,9.5367431640625e-07
65,1,0,1,-18438.532730102539,-18438.532730102499,339979489.23906261,339979489.23906112,-1.4901161193847656e-06
66,2,0,1,-27221.584808349609,-27221.584808349598,741014679.47817028,741014679.47816968,-5.9604644775390625e-07
67,3,0,1,-18705.605728149414,-18705.6057281494,349899685.65697616,349899685.65697563,-5.3644180297851562e-07
68,4,0,1,-21148.107482910156,-21148.1074829102,447242450.10872054,447242450.10872239,1.8477439880371094e-06
69,5,0,1,-18705.605728149414,-18705.6057281494,349899685.65697616,349899685.65697563,-5.3644180297851562e-07
70,6,0,1,-27221.584808349609,-27221.584808349598,741014679.47817028,741014679.47816968,-5.9604644775390625e-07
71,7,0,1,-18438.532730102539,-18438.532730102499,339979489.23906261,339979489.23906112,-1.4901161193847656e-06
72,0,1,1,-18438.532730102539,-18438.532730102499,339979489.23906261,339979489.23906112,-1.4901161193847656e-06
73,1,1,1,-7006.5960693359375,-7006.5960693359002,49092388.478833809,49092388.478833288,-5.2154064178466797e-07
74,2,1,1,-25406.57861328125,-25406.578613281199,645494236.8328402,645494236.83283758,-2.6226043701171875e-06
75,3,1,1,6304.6649017333984,6304.6649017334003,39748799.523149006,39748799.523149028,2.2351741790771484e-08
76,4,1,1,20273.138610839844,20273.1386108398,411000149.13432527,411000149.13432348,-1.7881393432617188e-06
77,5,1,1,6304.6649017333984,6304.6649017334003,39748799.523149006,39748799.523149028,2.2351741790771484e-08
78,6,1,1,-25406.57861328125,-25406.578613281199,645494236.8328402,645494236.83283758,-2.6226043701171875e-06
79,7,1,1,-7006.5960693359375,-7006.5960693359002,49092388.478833809,49092388.478833288,-5.2154064178466797e-07
80,0,2,1,-27221.584808349609,-27221.584808349598,741014679.47817028,741014679.47816968,-5.9604644775390625e-07
81,1,2,1,-25406.57861328125,-25406.578613281199,645494236.8328402,645494236.83283758,-2.6226043701171875e-06
