site,x,y,z,psi_float,psi_prev_float,m_prev_float,psi_hex,psi_prev_hex,m_prev_hex
0,0,0,0,-10898.8291168213,-12904.9864044189,-459.2678985596,0xD56D2BBF,0xCD97037B,0xFE34BB6B
1,1,0,0,-32359.9474792480,-14925.1308441162,-425.1144561768,0x81980D72,0xC5B2DE81,0xFE56E2B3
2,2,0,0,22099.2003936768,-30621.8848571777,-911.4855041504,0x5653334D,0x88621D7A,0xFC7083B6
3,3,0,0,-21148.1074829102,-26830.0464630127,-737.5690612793,0xAD63E47C,0x9731F41B,0xFD1E6E52
4,4,0,0,-16972.1683959961,27804.8385162354,113.2737426758,0xBDB3D4E4,0x6C9CD6A9,0x00714614
5,5,0,0,-21148.1074829102,-26830.0464630127,-737.5690612793,0xAD63E47C,0x9731F41B,0xFD1E6E52
6,6,0,0,22099.2003936768,-30621.8848571777,-911.4855041504,0x5653334D,0x88621D7A,0xFC7083B6
7,7,0,0,-32359.9474792480,-14925.1308441162,-425.1144561768,0x81980D72,0xC5B2DE81,0xFE56E2B3
8,0,1,0,-32359.9474792480,-14925.1308441162,-425.1144561768,0x81980D72,0xC5B2DE81,0xFE56E2B3
9,1,1,0,19.8687744141,-28445.7638702393,-947.9286804199,0x0013DE68,0x90E23C73,0xFC4C1242
10,2,1,0,-26147.8011169434,5991.6965789795,-651.3085327148,0x99DC32EA,0x1767B253,0xFD74B104
11,3,1,0,20273.1386108398,-16678.6025085449,835.7347869873,0x4F31237C,0xBED965C2,0x0343BC1B
12,4,1,0,12759.9014587402,20904.3300323486,115.2502593994,0x31D7E6C6,0x51A8547D,0x00734011
13,5,1,0,20273.1386108398,-16678.6025085449,835.7347869873,0x4F31237C,0xBED965C2,0x0343BC1B
14,6,1,0,-26147.8011169434,5991.6965789795,-651.3085327148,0x99DC32EA,0x1767B253,0xFD74B104
15,7,1,0,19.8687744141,-28445.7638702393,-947.9286804199,0x0013DE68,0x90E23C73,0xFC4C1242
16,0,2,0,22099.2003936768,-30621.8848571777,-911.4855041504,0x5653334D,0x88621D7A,0xFC7083B6
17,1,2,0,-26147.8011169434,5991.6965789795,-651.3085327148,0x99DC32EA,0x1767B253,0xFD74B104
18,2,2,0,-7116.3410491943,12002.7817535400,358.5585632324,0xE433A8B1,0x2EE2C821,0x01668EFE
19,3,2,0,4561.9954986572,-8384.2377624512,466.3884735107,0x11D1FED9,0xDF3FC322,0x01D26373
20,4,2,0,-2641.2630157471,30673.9158630371,-849.9931182861,0xF5AEBCAB,0x77D1EA76,0xFCAE01C3
21,5,2,0,4561.9954986572,-8384.2377624512,466.3884735107,0x11D1FED9,0xDF3FC322,0x01D26373
22,6,2,0,-7116.3410491943,12002.7817535400,358.5585632324,0xE433A8B1,0x2EE2C821,0x01668EFE
23,7,2,0,-26147.8011169434,5991.6965789795,-651.3085327148,0x99DC32EA,0x1767B253,0xFD74B104
24,0,3,0,-21148.1074829102,-26830.0464630127,-737.5690612793,0xAD63E47C,0x9731F41B,0xFD1E6E52
25,1,3,0,20273.1386108398,-16678.6025085449,835.7347869873,0x4F31237C,0xBED965C2,0x0343BC1B
26,2,3,0,4561.9954986572,-8384.2377624512,466.3884735107,0x11D1FED9,0xDF3FC322,0x01D26373
27,3,3,0,-19757.5536804199,-10952.5823364258,-67.6628875732,0xB2D27242,0xD5376AEC,0xFFBC564D
28,4,3,0,23305.5868377686,1576.1396789551,613.5385284424,0x5B09963B,0x062823C2,0x026589DD
29,5,3,0,-19757.5536804199,-10952.5823364258,-67.6628875732,0xB2D27242,0xD5376AEC,0xFFBC564D
30,6,3,0,4561.9954986572,-8384.2377624512,466.3884735107,0x11D1FED9,0xDF3FC322,0x01D26373
31,7,3,0,20273.1386108398,-16678.6025085449,835.7347869873,0x4F31237C,0xBED965C2,0x0343BC1B
32,0,4,0,-16972.1683959961,27804.8385162354,113.2737426758,0xBDB3D4E4,0x6C9CD6A9,0x00714614
33,1,4,0,12759.9014587402,20904.3300323486,115.2502593994,0x31D7E6C6,0x51A8547D,0x00734011
34,2,4,0,-2641.2630157471,30673.9158630371,-849.9931182861,0xF5AEBCAB,0x77D1EA76,0xFCAE01C3
35,3,4,0,23305.5868377686,1576.1396789551,613.5385284424,0x5B09963B,0x062823C2,0x026589DD
36,4,4,0,19370.3636474609,26209.2535705566,-12.1563415527,0x4BAA5D18,0x666140EA,0xFFF3D7FA
37,5,4,0,23305.5868377686,1576.1396789551,613.5385284424,0x5B09963B,0x062823C2,0x026589DD
38,6,4,0,-2641.2630157471,30673.9158630371,-849.9931182861,0xF5AEBCAB,0x77D1EA76,0xFCAE01C3
39,7,4,0,12759.9014587402,20904.3300323486,115.2502593994,0x31D7E6C6,0x51A8547D,0x00734011
40,0,5,0,-21148.1074829102,-26830.0464630127,-737.5690612793,0xAD63E47C,0x9731F41B,0xFD1E6E52
