site,x,y,z,cpu_psi,fpga_psi,cpu_density,fpga_density,density_error
190,6,7,2,12867.929214477539,12867.929214477501,165583602.26880455,165583602.26880357,-9.8347663879394531e-07
191,7,7,2,-32336.573150634766,-32336.573150634798,1045653963.1263533,1045653963.1263553,2.0265579223632812e-06
192,0,0,3,19876.871215820312,19876.871215820302,395090009.33030605,395090009.33030564,-4.1723251342773438e-07
193,1,0,3,13511.765716552734,13511.7657165527,182567812.77900982,182567812.7790089,-9.2387199401855469e-07
194,2,0,3,-6158.4844512939453,-6158.4844512938998,37926930.736829288,37926930.73682873,-5.5879354476928711e-07
195,3,0,3,-19780.107406616211,-19780.1074066162,391252649.01727349,391252649.01727307,-4.1723251342773438e-07
196,4,0,3,-19780.107177734375,-19780.1071777344,391252639.96265894,391252639.96265996,1.0132789611816406e-06
197,5,0,3,-6158.4843292236328,-6158.4843292236001,37926929.233293056,37926929.233292654,-4.0233135223388672e-07
198,6,0,3,13511.765609741211,13511.7656097412,182567809.89258528,182567809.89258498,-2.9802322387695312e-07
199,7,0,3,19876.871200561523,19876.871200561502,395090008.72371209,395090008.72371125,-8.3446502685546875e-07
200,0,1,3,13511.765563964844,13511.7655639648,182567808.65554619,182567808.65554503,-1.1622905731201172e-06
201,1,1,3,9943.4303741455078,9943.4303741455005,98871807.605479479,98871807.60547933,-1.4901161193847656e-07
202,2,1,3,22592.074798583984,22592.074798583999,510401843.7048136,510401843.70481426,6.5565109252929688e-07
203,3,1,3,16021.205505371094,16021.205505371099,256679025.84533304,256679025.84533322,1.7881393432617188e-07
204,4,1,3,16021.205642700195,16021.205642700201,256679030.24568859,256679030.24568877,1.7881393432617188e-07
205,5,1,3,22592.074905395508,22592.074905395501,510401848.53100145,510401848.53100109,-3.5762786865234375e-07
206,6,1,3,9943.4305114746094,9943.4305114746003,98871810.336524218,98871810.336524025,-1.9371509552001953e-07
207,7,1,3,13511.765563964844,13511.7655639648,182567808.65554619,182567808.65554503,-1.1622905731201172e-06
208,0,2,3,-6158.4845123291016,-6158.4845123290997,37926931.488597415,37926931.488597393,-2.2351741790771484e-08
209,1,2,3,22592.074798583984,22592.074798583999,510401843.7048136,510401843.70481426,6.5565109252929688e-07
210,2,2,3,24282.918380737305,24282.918380737301,589660125.08554959,589660125.08554947,-1.1920928955078125e-07
211,3,2,3,23183.736312866211,23183.7363128662,537485629.42451143,537485629.42451084,-5.9604644775390625e-07
212,4,2,3,23183.736114501953,23183.736114502,537485620.22686207,537485620.22686434,2.2649765014648438e-06
213,5,2,3,24282.918518066406,24282.918518066399,589660131.75505245,589660131.75505209,-3.5762786865234375e-07
214,6,2,3,22592.074813842773,22592.074813842799,510401844.39426899,510401844.39427012,1.1324882507324219e-06
215,7,2,3,-6158.4843444824219,-6158.4843444824,37926929.421235085,37926929.421234816,-2.6822090148925781e-07
216,0,3,3,-19780.107421875,-19780.107421875,391252649.62091446,391252649.62091446,0
217,1,3,3,16021.205718994141,16021.205718994101,256679032.69033056,256679032.69032928,-1.2814998626708984e-06
218,2,3,3,23183.736404418945,23183.736404418902,537485633.66958034,537485633.66957831,-2.0265579223632812e-06
219,3,3,3,-8350.4495544433594,-8350.4495544433994,69730007.761303306,69730007.761303961,6.5565109252929688e-07
220,4,3,3,-8350.4498138427734,-8350.4498138428007,69730012.093506813,69730012.09350726,4.4703483581542969e-07
221,5,3,3,23183.736465454102,23183.736465454102,537485636.49962628,537485636.49962628,0
222,6,3,3,16021.20556640625,16021.205566406201,256679027.80104661,256679027.80104503,-1.5795230865478516e-06
223,7,3,3,-19780.107452392578,-19780.1074523926,391252650.82819641,391252650.8281973,8.9406967163085938e-07
224,0,4,3,-19780.107604980469,-19780.107604980501,391252656.8646062,391252656.86460745,1.2516975402832031e-06
225,1,4,3,16021.205657958984,16021.205657959001,256679030.73461697,256679030.7346175,5.3644180297851562e-07
226,2,4,3,23183.736282348633,23183.7362823486,537485628.00948846,537485628.00948691,-1.5497207641601562e-06
227,3,4,3,-8350.4497680664062,-8350.4497680664008,69730011.329000294,69730011.329000205,-8.9406967163085938e-08
228,4,4,3,-8350.4498443603516,-8350.4498443604007,69730012.603177816,69730012.603178635,8.1956386566162109e-07
229,5,4,3,23183.736083984375,23183.7360839844,537485618.8118391,537485618.8118403,1.1920928955078125e-06
230,6,4,3,16021.205322265625,16021.2053222656,256679019.97819239,256679019.97819158,-8.0466270446777344e-07
231,7,4,3,-19780.107467651367,-19780.1074676514,391252651.43183738,391252651.43183869,1.3113021850585938e-06
232,0,5,3,-6158.4843902587891,-6158.4843902588,37926929.985061169,37926929.985061303,1.3411045074462891e-07
233,1,5,3,22592.07470703125,22592.074707031199,510401839.56808114,510401839.56807882,-2.3245811462402344e-06
234,2,5,3,24282.918197631836,24282.9181976318,589660116.19287932,589660116.19287765,-1.6689300537109375e-06
235,3,5,3,23183.736282348633,23183.7362823486,537485628.00948846,537485628.00948691,-1.5497207641601562e-06
236,4,5,3,23183.736145019531,23183.736145019499,537485621.64188504,537485621.64188361,-1.430511474609375e-06
237,5,5,3,24282.91828918457,24282.918289184599,589660120.63921452,589660120.63921595,1.430511474609375e-06
238,6,5,3,22592.074951171875,22592.0749511719,510401850.59936768,510401850.59936881,1.1324882507324219e-06
239,7,5,3,-6158.4844055175781,-6158.4844055176,37926930.173003197,37926930.173003465,2.6822090148925781e-07
240,0,6,3,13511.765396118164,13511.7653961182,182567804.11973625,182567804.11973724,9.8347663879394531e-07
241,1,6,3,9943.4304351806641,9943.4304351807004,98871808.819277138,98871808.819277853,7.152557373046875e-07
242,2,6,3,22592.074920654297,22592.074920654301,510401849.22045684,510401849.22045702,1.7881393432617188e-07
243,3,6,3,16021.205535888672,16021.205535888699,256679026.82318982,256679026.82319069,8.6426734924316406e-07
244,4,6,3,16021.205581665039,16021.205581665001,256679028.28997502,256679028.28997377,-1.2516975402832031e-06
245,5,6,3,22592.074584960938,22592.074584960901,510401834.0524379,510401834.05243629,-1.6093254089355469e-06
246,6,6,3,9943.4304046630859,9943.4304046631005,98871808.212378308,98871808.212378591,2.8312206268310547e-07
247,7,6,3,13511.765670776367,13511.7656707764,182567811.54197073,182567811.54197162,8.9406967163085938e-07
248,0,7,3,19876.871063232422,19876.8710632324,395090003.26436639,395090003.26436549,-8.9406967163085938e-07
249,1,7,3,13511.765808105469,13511.7658081055,182567815.25308803,182567815.25308886,8.3446502685546875e-07
250,2,7,3,-6158.4843597412109,-6158.4843597412,37926929.609177113,37926929.609176978,-1.3411045074462891e-07
251,3,7,3,-19780.107315063477,-19780.107315063498,391252645.39542764,391252645.39542854,8.9406967163085938e-07
252,4,7,3,-19780.107406616211,-19780.1074066162,391252649.01727349,391252649.01727307,-4.1723251342773438e-07
253,5,7,3,-6158.4844207763672,-6158.4844207763999,37926930.360945225,37926930.360945627,4.0233135223388672e-07
254,6,7,3,13511.765701293945,13511.7657012939,182567812.36666346,182567812.36666223,-1.2218952178955078e-06
255,7,7,3,19876.87126159668,19876.871261596702,395090011.15008795,395090011.15008885,8.9406967163085938e-07
256,0,0,4,19876.871185302734,19876.871185302702,395090008.11711812,395090008.11711681,-1.3113021850585938e-06
257,1,0,4,13511.765640258789,13511.7656402588,182567810.717278,182567810.7172783,2.9802322387695312e-07
