site,x,y,z,reference_psi,fpga_psi,reference_density,fpga_density,density_error
23,7,2,0,4.57763671875e-05,4.5776399999999998e-05,2.0954757928848267e-09,2.0954787969599999e-09,3.0040751732456859e-15
24,0,3,0,6.103515625e-05,6.1035200000000001e-05,3.7252902984619141e-09,3.7252956390400002e-09,5.3405780861377442e-15
25,1,3,0,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
26,2,3,0,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
27,3,3,0,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
28,4,3,0,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
29,5,3,0,4.57763671875e-05,4.5776399999999998e-05,2.0954757928848267e-09,2.0954787969599999e-09,3.0040751732456859e-15
30,6,3,0,4.57763671875e-05,4.5776399999999998e-05,2.0954757928848267e-09,2.0954787969599999e-09,3.0040751732456859e-15
31,7,3,0,4.57763671875e-05,4.5776399999999998e-05,2.0954757928848267e-09,2.0954787969599999e-09,3.0040751732456859e-15
32,0,4,0,4.57763671875e-05,4.5776399999999998e-05,2.0954757928848267e-09,2.0954787969599999e-09,3.0040751732456859e-15
33,1,4,0,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
34,2,4,0,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
35,3,4,0,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
36,4,4,0,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
37,5,4,0,4.57763671875e-05,4.5776399999999998e-05,2.0954757928848267e-09,2.0954787969599999e-09,3.0040751732456859e-15
38,6,4,0,4.57763671875e-05,4.5776399999999998e-05,2.0954757928848267e-09,2.0954787969599999e-09,3.0040751732456859e-15
39,7,4,0,4.57763671875e-05,4.5776399999999998e-05,2.0954757928848267e-09,2.0954787969599999e-09,3.0040751732456859e-15
40,0,5,0,4.57763671875e-05,4.5776399999999998e-05,2.0954757928848267e-09,2.0954787969599999e-09,3.0040751732456859e-15
41,1,5,0,6.103515625e-05,6.1035200000000001e-05,3.7252902984619141e-09,3.7252956390400002e-09,5.3405780861377442e-15
42,2,5,0,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
43,3,5,0,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
44,4,5,0,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
45,5,5,0,4.57763671875e-05,4.5776399999999998e-05,2.0954757928848267e-09,2.0954787969599999e-09,3.0040751732456859e-15
46,6,5,0,3.0517578125e-05,3.0517600000000001e-05,9.3132257461547852e-10,9.3132390976000005e-10,1.335144521534436e-15
47,7,5,0,3.0517578125e-05,3.0517600000000001e-05,9.3132257461547852e-10,9.3132390976000005e-10,1.335144521534436e-15
48,0,6,0,3.0517578125e-05,3.0517600000000001e-05,9.3132257461547852e-10,9.3132390976000005e-10,1.335144521534436e-15
49,1,6,0,4.57763671875e-05,4.5776399999999998e-05,2.0954757928848267e-09,2.0954787969599999e-09,3.0040751732456859e-15
50,2,6,0,6.103515625e-05,6.1035200000000001e-05,3.7252902984619141e-09,3.7252956390400002e-09,5.3405780861377442e-15
51,3,6,0,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
52,4,6,0,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
53,5,6,0,4.57763671875e-05,4.5776399999999998e-05,2.0954757928848267e-09,2.0954787969599999e-09,3.0040751732456859e-15
54,6,6,0,3.0517578125e-05,3.0517600000000001e-05,9.3132257461547852e-10,9.3132390976000005e-10,1.335144521534436e-15
55,7,6,0,3.0517578125e-05,3.0517600000000001e-05,9.3132257461547852e-10,9.3132390976000005e-10,1.335144521534436e-15
56,0,7,0,4.57763671875e-05,4.5776399999999998e-05,2.0954757928848267e-09,2.0954787969599999e-09,3.0040751732456859e-15
57,1,7,0,4.57763671875e-05,4.5776399999999998e-05,2.0954757928848267e-09,2.0954787969599999e-09,3.0040751732456859e-15
58,2,7,0,6.103515625e-05,6.1035200000000001e-05,3.7252902984619141e-09,3.7252956390400002e-09,5.3405780861377442e-15
59,3,7,0,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
60,4,7,0,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
61,5,7,0,4.57763671875e-05,4.5776399999999998e-05,2.0954757928848267e-09,2.0954787969599999e-09,3.0040751732456859e-15
62,6,7,0,3.0517578125e-05,3.0517600000000001e-05,9.3132257461547852e-10,9.3132390976000005e-10,1.335144521534436e-15
63,7,7,0,3.0517578125e-05,3.0517600000000001e-05,9.3132257461547852e-10,9.3132390976000005e-10,1.335144521534436e-15
64,0,0,1,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
65,1,0,1,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
66,2,0,1,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
67,3,0,1,0.0001068115234375,0.0001068115,1.1408701539039612e-08,1.1408696532249999e-08,-5.0067896125582549e-15
68,4,0,1,0.0001068115234375,0.0001068115,1.1408701539039612e-08,1.1408696532249999e-08,-5.0067896125582549e-15
69,5,0,1,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
70,6,0,1,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
71,7,0,1,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
72,0,1,1,6.103515625e-05,6.1035200000000001e-05,3.7252902984619141e-09,3.7252956390400002e-09,5.3405780861377442e-15
73,1,1,1,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
74,2,1,1,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
75,3,1,1,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
76,4,1,1,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
77,5,1,1,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
78,6,1,1,6.103515625e-05,6.1035200000000001e-05,3.7252902984619141e-09,3.7252956390400002e-09,5.3405780861377442e-15
79,7,1,1,6.103515625e-05,6.1035200000000001e-05,3.7252902984619141e-09,3.7252956390400002e-09,5.3405780861377442e-15
80,0,2,1,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
81,1,2,1,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
82,2,2,1,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
83,3,2,1,0.0001068115234375,0.0001068115,1.1408701539039612e-08,1.1408696532249999e-08,-5.0067896125582549e-15
84,4,2,1,0.0001068115234375,0.0001068115,1.1408701539039612e-08,1.1408696532249999e-08,-5.0067896125582549e-15
85,5,2,1,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
86,6,2,1,6.103515625e-05,6.1035200000000001e-05,3.7252902984619141e-09,3.7252956390400002e-09,5.3405780861377442e-15
87,7,2,1,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
88,0,3,1,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
89,1,3,1,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
90,2,3,1,0.0001068115234375,0.0001068115,1.1408701539039612e-08,1.1408696532249999e-08,-5.0067896125582549e-15
91,3,3,1,0.0001068115234375,0.0001068115,1.1408701539039612e-08,1.1408696532249999e-08,-5.0067896125582549e-15
92,4,3,1,0.0001068115234375,0.0001068115,1.1408701539039612e-08,1.1408696532249999e-08,-5.0067896125582549e-15
93,5,3,1,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
94,6,3,1,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
95,7,3,1,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
96,0,4,1,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
97,1,4,1,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
98,2,4,1,0.0001068115234375,0.0001068115,1.1408701539039612e-08,1.1408696532249999e-08,-5.0067896125582549e-15
99,3,4,1,0.0001068115234375,0.0001068115,1.1408701539039612e-08,1.1408696532249999e-08,-5.0067896125582549e-15
100,4,4,1,0.0001068115234375,0.0001068115,1.1408701539039612e-08,1.1408696532249999e-08,-5.0067896125582549e-15
101,5,4,1,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
102,6,4,1,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
103,7,4,1,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
104,0,5,1,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
105,1,5,1,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
106,2,5,1,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
107,3,5,1,0.0001068115234375,0.0001068115,1.1408701539039612e-08,1.1408696532249999e-08,-5.0067896125582549e-15
108,4,5,1,0.0001068115234375,0.0001068115,1.1408701539039612e-08,1.1408696532249999e-08,-5.0067896125582549e-15
109,5,5,1,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
110,6,5,1,6.103515625e-05,6.1035200000000001e-05,3.7252902984619141e-09,3.7252956390400002e-09,5.3405780861377442e-15
111,7,5,1,6.103515625e-05,6.1035200000000001e-05,3.7252902984619141e-09,3.7252956390400002e-09,5.3405780861377442e-15
112,0,6,1,6.103515625e-05,6.1035200000000001e-05,3.7252902984619141e-09,3.7252956390400002e-09,5.3405780861377442e-15
113,1,6,1,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
114,2,6,1,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
115,3,6,1,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
116,4,6,1,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
117,5,6,1,6.103515625e-05,6.1035200000000001e-05,3.7252902984619141e-09,3.7252956390400002e-09,5.3405780861377442e-15
118,6,6,1,6.103515625e-05,6.1035200000000001e-05,3.7252902984619141e-09,3.7252956390400002e-09,5.3405780861377442e-15
119,7,6,1,6.103515625e-05,6.1035200000000001e-05,3.7252902984619141e-09,3.7252956390400002e-09,5.3405780861377442e-15
120,0,7,1,6.103515625e-05,6.1035200000000001e-05,3.7252902984619141e-09,3.7252956390400002e-09,5.3405780861377442e-15
121,1,7,1,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
122,2,7,1,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
123,3,7,1,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
124,4,7,1,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
125,5,7,1,6.103515625e-05,6.1035200000000001e-05,3.7252902984619141e-09,3.7252956390400002e-09,5.3405780861377442e-15
126,6,7,1,6.103515625e-05,6.1035200000000001e-05,3.7252902984619141e-09,3.7252956390400002e-09,5.3405780861377442e-15
127,7,7,1,6.103515625e-05,6.1035200000000001e-05,3.7252902984619141e-09,3.7252956390400002e-09,5.3405780861377442e-15
128,0,0,2,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
129,1,0,2,0.0001068115234375,0.0001068115,1.1408701539039612e-08,1.1408696532249999e-08,-5.0067896125582549e-15
130,2,0,2,0.0001068115234375,0.0001068115,1.1408701539039612e-08,1.1408696532249999e-08,-5.0067896125582549e-15
131,3,0,2,0.0001220703125,0.0001220703,1.4901161193847656e-08,1.4901158142089998e-08,-3.0517576580307122e-15
132,4,0,2,0.0001220703125,0.0001220703,1.4901161193847656e-08,1.4901158142089998e-08,-3.0517576580307122e-15
133,5,0,2,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
134,6,0,2,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
135,7,0,2,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
136,0,1,2,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
137,1,1,2,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
138,2,1,2,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
139,3,1,2,0.0001068115234375,0.0001068115,1.1408701539039612e-08,1.1408696532249999e-08,-5.0067896125582549e-15
140,4,1,2,0.0001068115234375,0.0001068115,1.1408701539039612e-08,1.1408696532249999e-08,-5.0067896125582549e-15
141,5,1,2,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
142,6,1,2,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
143,7,1,2,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
144,0,2,2,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
145,1,2,2,0.0001068115234375,0.0001068115,1.1408701539039612e-08,1.1408696532249999e-08,-5.0067896125582549e-15
146,2,2,2,0.0001068115234375,0.0001068115,1.1408701539039612e-08,1.1408696532249999e-08,-5.0067896125582549e-15
147,3,2,2,0.0001068115234375,0.0001068115,1.1408701539039612e-08,1.1408696532249999e-08,-5.0067896125582549e-15
148,4,2,2,0.0001068115234375,0.0001068115,1.1408701539039612e-08,1.1408696532249999e-08,-5.0067896125582549e-15
149,5,2,2,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
150,6,2,2,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
151,7,2,2,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
152,0,3,2,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
153,1,3,2,0.0001068115234375,0.0001068115,1.1408701539039612e-08,1.1408696532249999e-08,-5.0067896125582549e-15
154,2,3,2,0.0001068115234375,0.0001068115,1.1408701539039612e-08,1.1408696532249999e-08,-5.0067896125582549e-15
155,3,3,2,0.0001220703125,0.0001220703,1.4901161193847656e-08,1.4901158142089998e-08,-3.0517576580307122e-15
156,4,3,2,0.0001220703125,0.0001220703,1.4901161193847656e-08,1.4901158142089998e-08,-3.0517576580307122e-15
157,5,3,2,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
158,6,3,2,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
159,7,3,2,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
160,0,4,2,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
161,1,4,2,0.0001068115234375,0.0001068115,1.1408701539039612e-08,1.1408696532249999e-08,-5.0067896125582549e-15
162,2,4,2,0.0001068115234375,0.0001068115,1.1408701539039612e-08,1.1408696532249999e-08,-5.0067896125582549e-15
163,3,4,2,0.0001220703125,0.0001220703,1.4901161193847656e-08,1.4901158142089998e-08,-3.0517576580307122e-15
164,4,4,2,0.0001220703125,0.0001220703,1.4901161193847656e-08,1.4901158142089998e-08,-3.0517576580307122e-15
165,5,4,2,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
166,6,4,2,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
167,7,4,2,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
168,0,5,2,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
169,1,5,2,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
170,2,5,2,0.0001068115234375,0.0001068115,1.1408701539039612e-08,1.1408696532249999e-08,-5.0067896125582549e-15
171,3,5,2,0.0001068115234375,0.0001068115,1.1408701539039612e-08,1.1408696532249999e-08,-5.0067896125582549e-15
172,4,5,2,0.0001068115234375,0.0001068115,1.1408701539039612e-08,1.1408696532249999e-08,-5.0067896125582549e-15
173,5,5,2,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
174,6,5,2,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
175,7,5,2,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
176,0,6,2,6.103515625e-05,6.1035200000000001e-05,3.7252902984619141e-09,3.7252956390400002e-09,5.3405780861377442e-15
177,1,6,2,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
178,2,6,2,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
179,3,6,2,0.0001068115234375,0.0001068115,1.1408701539039612e-08,1.1408696532249999e-08,-5.0067896125582549e-15
180,4,6,2,0.0001068115234375,0.0001068115,1.1408701539039612e-08,1.1408696532249999e-08,-5.0067896125582549e-15
181,5,6,2,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
182,6,6,2,6.103515625e-05,6.1035200000000001e-05,3.7252902984619141e-09,3.7252956390400002e-09,5.3405780861377442e-15
183,7,6,2,6.103515625e-05,6.1035200000000001e-05,3.7252902984619141e-09,3.7252956390400002e-09,5.3405780861377442e-15
184,0,7,2,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
185,1,7,2,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
186,2,7,2,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
187,3,7,2,0.0001068115234375,0.0001068115,1.1408701539039612e-08,1.1408696532249999e-08,-5.0067896125582549e-15
188,4,7,2,0.0001068115234375,0.0001068115,1.1408701539039612e-08,1.1408696532249999e-08,-5.0067896125582549e-15
189,5,7,2,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
190,6,7,2,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
191,7,7,2,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
192,0,0,3,0.0001068115234375,0.0001068115,1.1408701539039612e-08,1.1408696532249999e-08,-5.0067896125582549e-15
193,1,0,3,0.0001068115234375,0.0001068115,1.1408701539039612e-08,1.1408696532249999e-08,-5.0067896125582549e-15
194,2,0,3,0.0001068115234375,0.0001068115,1.1408701539039612e-08,1.1408696532249999e-08,-5.0067896125582549e-15
195,3,0,3,0.0001220703125,0.0001220703,1.4901161193847656e-08,1.4901158142089998e-08,-3.0517576580307122e-15
196,4,0,3,0.0001220703125,0.0001220703,1.4901161193847656e-08,1.4901158142089998e-08,-3.0517576580307122e-15
197,5,0,3,0.0001068115234375,0.0001068115,1.1408701539039612e-08,1.1408696532249999e-08,-5.0067896125582549e-15
198,6,0,3,0.0001068115234375,0.0001068115,1.1408701539039612e-08,1.1408696532249999e-08,-5.0067896125582549e-15
199,7,0,3,0.0001068115234375,0.0001068115,1.1408701539039612e-08,1.1408696532249999e-08,-5.0067896125582549e-15
200,0,1,3,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
201,1,1,3,0.0001068115234375,0.0001068115,1.1408701539039612e-08,1.1408696532249999e-08,-5.0067896125582549e-15
202,2,1,3,0.0001068115234375,0.0001068115,1.1408701539039612e-08,1.1408696532249999e-08,-5.0067896125582549e-15
203,3,1,3,0.0001068115234375,0.0001068115,1.1408701539039612e-08,1.1408696532249999e-08,-5.0067896125582549e-15
204,4,1,3,0.0001220703125,0.0001220703,1.4901161193847656e-08,1.4901158142089998e-08,-3.0517576580307122e-15
205,5,1,3,0.0001068115234375,0.0001068115,1.1408701539039612e-08,1.1408696532249999e-08,-5.0067896125582549e-15
206,6,1,3,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
207,7,1,3,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
208,0,2,3,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
209,1,2,3,0.0001068115234375,0.0001068115,1.1408701539039612e-08,1.1408696532249999e-08,-5.0067896125582549e-15
210,2,2,3,0.0001068115234375,0.0001068115,1.1408701539039612e-08,1.1408696532249999e-08,-5.0067896125582549e-15
211,3,2,3,0.0001220703125,0.0001220703,1.4901161193847656e-08,1.4901158142089998e-08,-3.0517576580307122e-15
212,4,2,3,0.0001220703125,0.0001220703,1.4901161193847656e-08,1.4901158142089998e-08,-3.0517576580307122e-15
213,5,2,3,0.0001068115234375,0.0001068115,1.1408701539039612e-08,1.1408696532249999e-08,-5.0067896125582549e-15
214,6,2,3,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
