site,x,y,z,reference_psi,fpga_psi,reference_density,fpga_density,density_error
0,0,0,0,4.57763671875e-05,4.5776399999999998e-05,2.0954757928848267e-09,2.0954787969599999e-09,3.0040751732456859e-15
1,1,0,0,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
2,2,0,0,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
3,3,0,0,9.1552734375e-05,9.1552700000000002e-05,8.3819031715393066e-09,8.3818968772899999e-09,-6.2942493067321699e-15
4,4,0,0,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
5,5,0,0,6.103515625e-05,6.1035200000000001e-05,3.7252902984619141e-09,3.7252956390400002e-09,5.3405780861377442e-15
6,6,0,0,4.57763671875e-05,4.5776399999999998e-05,2.0954757928848267e-09,2.0954787969599999e-09,3.0040751732456859e-15
7,7,0,0,4.57763671875e-05,4.5776399999999998e-05,2.0954757928848267e-09,2.0954787969599999e-09,3.0040751732456859e-15
8,0,1,0,4.57763671875e-05,4.5776399999999998e-05,2.0954757928848267e-09,2.0954787969599999e-09,3.0040751732456859e-15
9,1,1,0,6.103515625e-05,6.1035200000000001e-05,3.7252902984619141e-09,3.7252956390400002e-09,5.3405780861377442e-15
10,2,1,0,6.103515625e-05,6.1035200000000001e-05,3.7252902984619141e-09,3.7252956390400002e-09,5.3405780861377442e-15
11,3,1,0,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
12,4,1,0,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
13,5,1,0,4.57763671875e-05,4.5776399999999998e-05,2.0954757928848267e-09,2.0954787969599999e-09,3.0040751732456859e-15
14,6,1,0,3.0517578125e-05,3.0517600000000001e-05,9.3132257461547852e-10,9.3132390976000005e-10,1.335144521534436e-15
15,7,1,0,3.0517578125e-05,3.0517600000000001e-05,9.3132257461547852e-10,9.3132390976000005e-10,1.335144521534436e-15
16,0,2,0,4.57763671875e-05,4.5776399999999998e-05,2.0954757928848267e-09,2.0954787969599999e-09,3.0040751732456859e-15
17,1,2,0,6.103515625e-05,6.1035200000000001e-05,3.7252902984619141e-09,3.7252956390400002e-09,5.3405780861377442e-15
18,2,2,0,6.103515625e-05,6.1035200000000001e-05,3.7252902984619141e-09,3.7252956390400002e-09,5.3405780861377442e-15
19,3,2,0,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
20,4,2,0,7.62939453125e-05,7.6293900000000005e-05,5.8207660913467407e-09,5.820759177210001e-09,-6.9141367397252766e-15
21,5,2,0,4.57763671875e-05,4.5776399999999998e-05,2.0954757928848267e-09,2.0954787969599999e-09,3.0040751732456859e-15
22,6,2,0,3.0517578125e-05,3.0517600000000001e-05,9.3132257461547852e-10,9.3132390976000005e-10,1.335144521534436e-15
