step,peak_psi_q16,peak_psi_float,kinetic_like,field_like,elapsed_seconds
1,8,0.0001220703125,6.752088665962219e-08,3.77558171749115e-06,0.000515899999300018
25,326,0.004974365234375,3.47234308719635e-05,0.004485207609832287,0.0054701000044588
50,2649,0.0404205322265625,0.0013130675069987774,0.24804139812476933,0.012449700006982312
75,17118,0.261199951171875,0.052899133414030075,10.321973420213908,0.01923430000897497
100,109374,1.668914794921875,2.1631874253507704,422.6358187964652,0.024637300011818297
125,699617,10.675308227539062,88.48782072775066,17290.16740470566,0.03200220000871923
150,4474637,68.27754211425781,3619.930592703866,707316.7439607966,0.037104000002727844
175,28619709,436.7021026611328,148087.146371522,28935524.313807905,0.04295940000156406
200,183051922,2793.150665283203,6058080.126586724,1183719599.2183957,0.05079639999894425
225,1170800915,17865.004196166992,247829220.181526,48424635070.479774,0.0581749000120908
250,2136346726,32598.064056396484,32774740919.03882,284911922205.90717,0.06576720000884961
275,2118012348,32318.303649902344,1373404793928.2627,496177581486.4904,0.07079470000462607
300,1612870033,24610.443618774414,2936165469.6202545,117115070735.06064,0.08000640000682324
325,1620553414,24727.682708740234,5105917996.429455,138873251372.478,0.08739270000660326
350,2140386959,32659.713119506836,103918251980.0097,137287557590.94537,0.09522890001244377
375,1955486337,29838.35353088379,187298698754.70544,193542932146.54962,0.10124800000630785
400,2134414859,32568.58610534668,185044115729.67847,195220869690.03186,0.10704590000386816
425,2030740906,30986.64712524414,65344351258.73721,163080739403.84772,0.11377419999917038
438,2119209684,32336.57354736328,81798322666.45511,169720133096.95367,0.11720690000220202
