logical_i,logical_j,x,y,real_acc_q16,imag_acc_q16,real,imag,density
0,0,0,0,20339,0,0.3103485107421875,0,0.09631619811989367
1,0,3.225806451612903,0,779,0,0.0118865966796875,0,0.0001412911806255579
2,0,6.4516129032258061,0,7,0,0.0001068115234375,0,1.1408701539039612e-08
3,0,9.67741935483871,0,0,0,0,0,0
4,0,12.903225806451612,0,0,0,0,0,0
5,0,16.129032258064516,0,0,0,0,0,0
6,0,19.35483870967742,0,0,0,0,0,0
7,0,22.580645161290324,0,0,0,0,0,0
8,0,25.806451612903224,0,0,0,0,0,0
9,0,29.032258064516128,0,0,0,0,0,0
10,0,32.258064516129032,0,0,0,0,0,0
11,0,35.483870967741936,0,0,0,0,0,0
12,0,38.70967741935484,0,0,0,0,0,0
13,0,41.935483870967744,0,0,0,0,0,0
14,0,45.161290322580648,0,0,0,0,0,0
15,0,48.387096774193552,0,0,0,0,0,0
16,0,51.612903225806448,0,0,0,0,0,0
17,0,54.838709677419352,0,0,0,0,0,0
18,0,58.064516129032256,0,0,0,0,0,0
19,0,61.29032258064516,0,0,0,0,0,0
20,0,64.516129032258064,0,0,0,0,0,0
21,0,67.741935483870961,0,0,0,0,0,0
22,0,70.967741935483872,0,0,0,0,0,0
23,0,74.193548387096769,0,0,0,0,0,0
24,0,77.41935483870968,0,0,0,0,0,0
25,0,80.645161290322577,0,0,0,0,0,0
26,0,83.870967741935488,0,0,0,0,0,0
27,0,87.096774193548384,0,0,0,0,0,0
28,0,90.322580645161295,0,0,0,0,0,0
29,0,93.548387096774192,0,0,0,0,0,0
30,0,96.774193548387103,0,0,0,0,0,0
31,0,100,0,0,0,0,0,0
0,1,0,3.225806451612903,779,0,0.0118865966796875,0,0.0001412911806255579
1,1,3.225806451612903,3.225806451612903,15,0,0.0002288818359375,0,5.2386894822120667e-08
2,1,6.4516129032258061,3.225806451612903,0,0,0,0,0
3,1,9.67741935483871,3.225806451612903,0,0,0,0,0
4,1,12.903225806451612,3.225806451612903,0,0,0,0,0
5,1,16.129032258064516,3.225806451612903,0,0,0,0,0
6,1,19.35483870967742,3.225806451612903,0,0,0,0,0
