site,x,y,z,psi_float,psi_prev_float,m_prev_float,psi_hex,psi_prev_hex,m_prev_hex
0,0,0,0,-32755.9566040039,-2328.5265502930,-709.0220794678,0x800C0B1C,0xF6E77934,0xFD3AFA59
1,1,0,0,6448.9518737793,-13002.2994842529,431.9219207764,0x1930F3AE,0xCD35B355,0x01AFEC03
2,2,0,0,12205.2485198975,-30075.6861877441,-161.6836242676,0x2FAD3F9F,0x8A845056,0xFF5E50FE
3,3,0,0,7920.0527496338,28901.8625030518,-248.1792144775,0x1EF00D81,0x70E5DCCD,0xFF07D21F
4,4,0,0,-31490.9895935059,-15631.8702392578,207.8244628906,0x84FD02AA,0xC2F02138,0x00CFD310
5,5,0,0,-28467.1029663086,-27450.3724212646,-816.2739715576,0x90CCE5A4,0x94C5A0A9,0xFCCFB9DD
6,6,0,0,32364.5514373779,-20201.9757690430,499.1398468018,0x7E6C8D2B,0xB1160634,0x01F323CD
7,7,0,0,-21659.3755035400,-28188.3540344238,-81.1773681641,0xAB649FDF,0x91E3A55E,0xFFAED298
8,0,1,0,-235.3090515137,-20280.6735534668,-777.6891021729,0xFF14B0E2,0xB0C75392,0xFCF64F97
9,1,1,0,-17792.2492218018,14560.4685211182,-692.0800476074,0xBA7FC033,0x38E077F1,0xFD4BEB82
10,2,1,0,-11513.0039367676,-5197.8434448242,93.8809661865,0xD306FEFE,0xEBB22814,0x005DE187
11,3,1,0,-22995.4239959717,420.8786926270,903.5347290039,0xA62C9375,0x01A4E0F2,0x038788E4
12,4,1,0,3340.0799255371,18567.3595581055,537.9980621338,0x0D0C1476,0x48875C0C,0x0219FF81
13,5,1,0,-22649.7738952637,-8670.4340057373,-785.1759033203,0xA78639E2,0xDE2190E5,0xFCEED2F8
14,6,1,0,5930.3246765137,-23830.5191040039,724.6585845947,0x172A531E,0xA2E97B1C,0x02D4A899
15,7,1,0,-30624.4413299561,15818.8921203613,-185.8333587646,0x885F8F05,0x3DCAE462,0xFF462AA9
16,0,2,0,7433.2110290527,-8429.3078918457,-153.1962585449,0x1D093606,0xDF12B12E,0xFF66CDC2
17,1,2,0,-1259.5820465088,24846.1273956299,402.8150482178,0xFB146AFF,0x610E209D,0x0192D0A7
18,2,2,0,30000.5987701416,13258.0375213623,-514.0333251953,0x75309949,0x33CA099B,0xFDFDF778
19,3,2,0,-31559.3637084961,4838.9024505615,775.3228454590,0x84B8A2E4,0x12E6E707,0x030752A6
20,4,2,0,-12196.6821289062,17307.2767028809,417.8816680908,0xD05B5160,0x439B46D6,0x01A1E1B5
21,5,2,0,-11607.3744354248,16871.1726837158,547.1772155762,0xD2A8A025,0x41E72C35,0x02232D5E
22,6,2,0,15338.6909637451,-25959.2922668457,-202.4758605957,0x3BEAB0E3,0x9A98B52E,0xFF35862E
23,7,2,0,15312.5316772461,-9522.5117797852,-147.1125183105,0x3BD0881C,0xDACD7CFC,0xFF6CE332
24,0,3,0,20865.0236206055,-25411.3433074951,-182.5134124756,0x5181060C,0x9CBCA81D,0xFF497C91
25,1,3,0,21048.7089385986,14023.4120178223,376.5847625732,0x5238B57D,0x36C7697A,0x017895B3
26,2,3,0,31052.2096710205,29525.4556732178,-826.9510345459,0x794C35AD,0x735574A7,0xFCC50C89
27,3,3,0,-25254.9044647217,-27460.6732788086,146.7184295654,0x9D591875,0x94BB53A4,0x0092B7EB
28,4,3,0,13877.4449768066,-1526.1506958008,-640.3792419434,0x363571EA,0xFA09D96C,0xFD7F9EEA
29,5,3,0,26237.5747070312,-31616.1493682861,122.8412170410,0x667D9320,0x847FD9C3,0x007AD75A
30,6,3,0,3761.0666046143,-12033.4229431152,-213.6417694092,0x0EB1110D,0xD0FE93BA,0xFF2A5BB5
31,7,3,0,31729.0952301025,11634.5720825195,-594.9265136719,0x7BF11861,0x2D729274,0xFDAD12D0
32,0,4,0,15895.1309814453,-29480.4494171143,-33.8385925293,0x3E172188,0x8CD78CF3,0xFFDE2952
33,1,4,0,5223.7082366943,20243.7701568604,-337.4393615723,0x1467B54F,0x4F13C529,0xFEAE8F86
34,2,4,0,-14363.7152709961,20003.5137329102,1017.9394836426,0xC7E448E4,0x4E238384,0x03F9F082
35,3,4,0,-27798.1395111084,-1665.1550292969,245.0020294189,0x9369DC49,0xF97ED850,0x00F50085
36,4,4,0,-26299.5325775146,-2280.1758880615,-880.0969238281,0x994477A9,0xF717D2F9,0xFC8FE730
37,5,4,0,24495.5193786621,923.4349212646,-790.9018554688,0x5FAF84F6,0x039B6F57,0xFCE91920
38,6,4,0,18202.0245513916,-18452.9270019531,-391.6037292480,0x471A0649,0xB7EB12B0,0xFE786572
39,7,4,0,-24837.8061828613,-11652.8903045654,-92.1370086670,0x9EFA319E,0xD27B1C15,0xFFA3DCED
40,0,5,0,-28732.1228332520,-6723.5369720459,-259.7615051270,0x8FC3E08E,0xE5BC7689,0xFEFC3D0E
41,1,5,0,11888.7313537598,21551.7169494629,-494.2120513916,0x2E70BB3A,0x542FB78A,0xFE11C9B7
42,2,5,0,-16466.3778381348,22925.5800170898,-894.5527496338,0xBFAD9F46,0x598D947C,0xFC81727F
