site,x,y,z,reference_psi,hardware_psi,reference_density,hardware_density,density_error
0,0,0,0,-32755.956604003906,-32755.956604003899,1072952693.0433872,1072952693.0433867,-4.76837158203125e-07
1,1,0,0,6448.9518737792969,6448.9518737792996,41588980.270321503,41588980.270321541,3.7252902984619141e-08
2,2,0,0,12205.248519897461,12205.248519897499,148968091.43245918,148968091.4324601,9.2387199401855469e-07
3,3,0,0,7920.0527496337891,7920.0527496338,62727235.556981742,62727235.556981914,1.7136335372924805e-07
4,4,0,0,-31490.989593505859,-31490.989593505899,991682425.57829428,991682425.5782969,2.6226043701171875e-06
5,5,0,0,-28467.102966308594,-28467.102966308601,810375951.29441559,810375951.29441595,3.5762786865234375e-07
6,6,0,0,32364.55143737793,32364.551437377901,1047464189.7426819,1047464189.74268,-1.9073486328125e-06
7,7,0,0,-21659.375503540039,-21659.375503539999,469128547.20335031,469128547.20334858,-1.7285346984863281e-06
8,0,1,0,-235.30905151367188,-235.30905151370001,55370.349724263884,55370.349724277126,1.3242242857813835e-08
9,1,1,0,-17792.249221801758,-17792.249221801801,316564132.37070525,316564132.3707068,1.5497207641601562e-06
10,2,1,0,-11513.003936767578,-11513.0039367676,132549259.64802575,132549259.64802626,5.0663948059082031e-07
11,3,1,0,-22995.42399597168,-22995.423995971702,528789524.7545101,528789524.75451112,1.0132789611816406e-06
12,4,1,0,3340.0799255371094,3340.0799255370998,11156133.908975981,11156133.908975918,-6.3329935073852539e-08
13,5,1,0,-22649.773895263672,-22649.773895263701,513012257.50656772,513012257.50656903,1.3113021850585938e-06
14,6,1,0,5930.3246765136719,5930.3246765137001,35168750.768866986,35168750.768867321,3.3527612686157227e-07
15,7,1,0,-30624.441329956055,-30624.441329956098,937856406.77192056,937856406.77192318,2.6226043701171875e-06
16,0,2,0,7433.2110290527344,7433.2110290526998,55252626.202431209,55252626.202430695,-5.1409006118774414e-07
17,1,2,0,-1259.5820465087891,-1259.5820465088,1586546.9318872693,1586546.9318872967,2.7474015951156616e-08
18,2,2,0,30000.598770141602,30000.598770141602,900035926.56702173,900035926.56702173,0
19,3,2,0,-31559.363708496094,-31559.363708496101,995993437.68514037,995993437.68514073,3.5762786865234375e-07
