site,x,y,z,psi_q16,psi_hex,psi_float,psi_prev_q16,psi_prev_hex,psi_prev_float,m_prev_q16,m_prev_hex,m_prev_float
274,2,2,4,305002208,0x122DF6E0,4653.96435546875,1392654431,0x5302385F,21250.22019958496,-11735020,0xFF4CF014,-179.06219482421875
275,3,2,4,429208405,0x19953355,6549.20051574707,-690721344,0xD6D46DC0,-10539.5712890625,14023827,0x00D5FC93,213.9866180419922
276,4,2,4,-161752299,0xF65BDB15,-2468.1442108154297,-1287996210,0xB33ABCCE,-19653.262481689453,30802560,0x01D60280,470.009765625
277,5,2,4,888247545,0x34F194F9,13553.581924438477,1984535886,0x76499D4E,30281.614471435547,-9722799,0xFF6BA451,-148.35813903808594
278,6,2,4,-2019065246,0x87A78262,-30808.490692138672,797820830,0x2F8DC79E,12173.779754638672,-38785519,0xFDB02E11,-591.8200531005859
279,7,2,4,1007545709,0x3C0DED6D,15373.927444458008,25161238,0x017FEE16,383.9300231933594,-20239256,0xFECB2C68,-308.8265380859375
280,0,3,4,2112261041,0x7DE68BB1,32230.545669555664,-1501808921,0xA67C36E7,-22915.785537719727,-2897904,0xFFD3C810,-44.218505859375
281,1,3,4,358599213,0x155FCA2D,5471.789749145508,-2066505126,0x84D3A25A,-31532.365814208984,-6421827,0xFF9E02BD,-97.98930358886719
282,2,3,4,-30027367,0xFE35D199,-458.18125915527344,984955025,0x3AB53891,15029.220962524414,-36054619,0xFDD9D9A5,-550.1498260498047
283,3,3,4,1139337711,0x43E8E9EF,17384.913803100586,1833422602,0x6D47CF0A,27975.80874633789,-27712791,0xFE5922E9,-422.86363220214844
284,4,3,4,684514643,0x28CCDD53,10444.864547729492,-1797393307,0x94DDF465,-27426.045333862305,-40832488,0xFD90F218,-623.0543212890625
285,5,3,4,-2076055125,0x8441E9AB,-31678.08723449707,-1342459374,0xAFFBB212,-20484.304412841797,13799082,0x00D28EAA,210.55728149414062
286,6,3,4,2011074355,0x77DE8F33,30686.559371948242,452058179,0x1AF1DC43,6897.860397338867,-45317941,0xFD4C80CB,-691.4969024658203
287,7,3,4,-1867542572,0x90AF8FD4,-28496.43817138672,-1829104856,0x92FA1328,-27909.925170898438,-42288670,0xFD7AB9E2,-645.2738952636719
288,0,4,4,-1775763865,0x9627FE67,-27096.006240844727,-1142316003,0xBBE9A41D,-17430.358932495117,52094345,0x031AE589,794.8966217041016
289,1,4,4,487619822,0x1D107CEE,7440.488006591797,-1299533758,0xB28AB042,-19829.311492919922,-32207964,0xFE148BA4,-491.45452880859375
290,2,4,4,759857380,0x2D4A80E4,11594.503479003906,-405629055,0xE7D29781,-6189.408187866211,59320525,0x038928CD,905.1593780517578
291,3,4,4,-2107118477,0x8267EC73,-32152.076370239258,1368921481,0x51981589,20888.0841217041,-21692081,0xFEB5014F,-330.99488830566406
292,4,4,4,-1991655868,0x8949BE44,-30390.256774902344,-113465715,0xF93CA68D,-1731.3494110107422,25993666,0x018CA1C2,396.6318664550781
293,5,4,4,426053594,0x19650FDA,6501.061920166016,1165563855,0x457917CF,17785.093002319336,-11569238,0xFF4F77AA,-176.53256225585938
294,6,4,4,-1387973337,0xAD453527,-21178.792373657227,-1002684320,0xC43C4060,-15299.74853515625,11958719,0x00B679BF,182.47557067871094
295,7,4,4,-410872345,0xE78295E7,-6269.414443969727,1699298223,0x65493BAF,25929.233139038086,-28355081,0xFE4F55F7,-432.66419982910156
296,0,5,4,-1371583870,0xAE3F4A82,-20928.708953857422,2055754205,0x7A8851DD,31368.319778442383,13937417,0x00D4AB09,212.66810607910156
297,1,5,4,-1236000922,0xB6541F66,-18859.877349853516,-1937968379,0x8C7CF305,-29571.050704956055,54214089,0x033B3DC9,827.2413482666016
298,2,5,4,-417377579,0xE71F52D5,-6368.67643737793,-629418948,0xDA7BD43C,-9604.170959472656,-23642209,0xFE973F9F,-360.75148010253906
299,3,5,4,-1038618462,0xC217F0A2,-15848.060028076172,-1360297463,0xAEEB8209,-20756.4920501709,32848756,0x01F53B74,501.23223876953125
300,4,5,4,-190060518,0xF4ABE81A,-2900.0933532714844,-239188703,0xF1BE4521,-3649.729965209961,63309976,0x03C60898,966.0335693359375
301,5,5,4,2055124728,0x7A7EB6F8,31358.714721679688,-1081687333,0xBF86C2DB,-16505.238845825195,34185221,0x0209A005,521.6250762939453
302,6,5,4,1512288188,0x5A23AFBC,23075.686462402344,-1517253857,0xA5908B1F,-23151.45655822754,14822835,0x00E22DB3,226.1785125732422
303,7,5,4,-989855789,0xC4FFFFD3,-15104.000686645508,244650841,0x0E951359,3733.0755767822266,24856315,0x017B46FB,379.2772674560547
304,0,6,4,-1394736062,0xACDE0442,-21281.983367919922,260586694,0x0F883CC6,3976.2373962402344,25898839,0x018B2F57,395.18492126464844
305,1,6,4,-211723927,0xF3615969,-3230.6507415771484,1497550103,0x5942CD17,22850.80113220215,83688366,0x04FCFBAE,1276.9831237792969
306,2,6,4,-884852443,0xCB423925,-13501.776779174805,-75970904,0xFB78C6A8,-1159.2239990234375,-42847452,0xFD723324,-653.8002319335938
307,3,6,4,571053282,0x220994E2,8713.581573486328,1546448739,0x5C2CEF63,23596.935104370117,68838588,0x041A64BC,1050.3934936523438
308,4,6,4,-864106891,0xCC7EC675,-13185.22477722168,615959412,0x24B6CB74,9398.794738769531,-30932953,0xFE280027,-471.99940490722656
309,5,6,4,-182046125,0xF5263253,-2777.803421020508,-262006632,0xF0621898,-3997.9039306640625,-20831900,0xFEC22164,-317.86956787109375
310,6,6,4,-1124815683,0xBCF4ACBD,-17163.325241088867,1971657180,0x758519DC,30085.101013183594,43818605,0x029C9E6D,668.6188507080078
311,7,6,4,1337691225,0x4FBB8C59,20411.548233032227,-663934647,0xD86D2949,-10130.838729858398,40750351,0x026DCD0F,621.8010101318359
312,0,7,4,569185662,0x21ED157E,8685.083953857422,-139052537,0xF7B63A07,-2121.7733306884766,80559,0x00013AAF,1.2292327880859375
313,1,7,4,1025009826,0x3D1868A2,15640.408721923828,-1596594676,0xA0D5E60C,-24362.10137939453,20640340,0x013AF254,314.94659423828125
314,2,7,4,-619645711,0xDB10F4F1,-9455.043197631836,-530640903,0xE05F0FF9,-8096.937606811523,34218778,0x020A231A,522.1371154785156
315,3,7,4,177965582,0x0A9B8A0E,2715.539276123047,-1098310193,0xBE891DCF,-16758.883560180664,28942431,0x01B9A05F,441.62644958496094
316,4,7,4,1856872401,0x6EAD9FD1,28333.624282836914,-368398222,0xEA0AB072,-5621.310760498047,33006252,0x01F7A2AC,503.63543701171875
317,5,7,4,-792276905,0xD0C6D057,-12089.186172485352,-613757804,0xDB6ACC94,-9365.200866699219,7053184,0x006B9F80,107.623046875
318,6,7,4,-608519534,0xDBBABA92,-9285.271209716797,-850595667,0xCD4CF0AD,-12979.059860229492,44869448,0x02ACA748,684.6534423828125
319,7,7,4,190009495,0x0B535097,2899.3148040771484,880171892,0x34765B74,13430.357238769531,-12176899,0xFF4631FD,-185.8047332763672
320,0,0,5,-219641046,0xF2E88B2A,-3351.4563903808594,-1990824726,0x89566CEA,-30377.57455444336,-36546332,0xFDD258E4,-557.6527709960938
321,1,0,5,1707021414,0x65BF1466,26047.079681396484,-566891340,0xDE35ECB4,-8650.075378417969,76285774,0x048C074E,1164.0285339355469
322,2,0,5,1390505771,0x52E16F2B,21217.43424987793,885161155,0x34C27CC3,13506.487350463867,46949588,0x02CC64D4,716.3938598632812
323,3,0,5,-1497049975,0xA6C4D489,-22843.1697845459,-2003967209,0x888DE317,-30578.11293029785,-21727451,0xFEB47725,-331.5345916748047
324,4,0,5,125593491,0x077C6793,1916.4045867919922,-940927683,0xC7EA953D,-14357.417037963867,35111376,0x0217C1D0,535.757080078125
325,5,0,5,560437847,0x21679A57,8551.602890014648,-1563684071,0xA2CC1319,-23859.925399780273,27684500,0x01A66E94,422.43194580078125
326,6,0,5,-609552014,0xDBAAF972,-9301.025604248047,-673363150,0xD7DD4B32,-10274.706268310547,-84783280,0xFAF24F50,-1293.690185546875
327,7,0,5,-1940993547,0x8C4EC9F5,-29617.21110534668,725589778,0x2B3F9F12,11071.621368408203,-2758557,0xFFD5E863,-42.09223937988281
328,0,1,5,987310749,0x3AD92A9D,15065.166458129883,1879282536,0x70039368,28675.575805664062,-32236294,0xFE141CFA,-491.8868103027344
329,1,1,5,-401868616,0xE80BF8B8,-6132.0284423828125,-1116163322,0xBD78B306,-17031.300689697266,-11628255,0xFF4E9121,-177.43309020996094
330,2,1,5,1852712394,0x6E6E25CA,28270.14761352539,1652706410,0x62824C6A,25218.29849243164,-23850679,0xFE941149,-363.93247985839844
331,3,1,5,773490435,0x2E1A8703,11802.527389526367,-2060331515,0x8531D605,-31438.163986206055,-15770601,0xFF0F5C17,-240.64027404785156
332,4,1,5,-444006051,0xE589015D,-6774.994674682617,915610575,0x36931BCF,13971.108627319336,-17907722,0xFEEEBFF6,-273.2501525878906
333,5,1,5,-1006277330,0xC4056D2E,-15354.573516845703,192525560,0x0B79B4F8,2937.7069091796875,-2656349,0xFFD777A3,-40.53266906738281
334,6,1,5,-1941162406,0x8C4C365A,-29619.787689208984,-2052943692,0x85A290B4,-31325.43475341797,-45178401,0xFD4EA1DF,-689.3676910400391
335,7,1,5,-1485993791,0xA76D88C1,-22674.46580505371,-1414097690,0xABB694E6,-21577.418365478516,-7647606,0xFF8B4E8A,-116.69320678710938
336,0,2,5,499218954,0x1DC17A0A,7617.476715087891,2011992321,0x77EC9101,30700.56642150879,23780354,0x016ADC02,362.8594055175781
337,1,2,5,-389881240,0xE8C2E268,-5949.1156005859375,-1501772193,0xA67CC65F,-22915.22511291504,4377885,0x0042CD1D,66.80122375488281
338,2,2,5,-543177947,0xDF9FC325,-8288.237716674805,1459391258,0x56FC8B1A,22268.543365478516,33375393,0x01FD44A1,509.26808166503906
339,3,2,5,-211004254,0xF36C54A2,-3219.669403076172,-459304053,0xE49F938B,-7008.42366027832,-1409992,0xFFEA7C38,-21.5147705078125
340,4,2,5,898509738,0x358E2BAA,13710.17056274414,-2020071905,0x8798261F,-30823.85108947754,38271450,0x0247F9DA,583.9759826660156
