site,x,y,z,psi_float,psi_prev_float,m_prev_float,psi_hex,psi_prev_hex,m_prev_hex
0,0,0,0,0.0000457764,0.0000457764,0.0000000000,0x00000003,0x00000003,0x00000000
1,1,0,0,0.0000762939,0.0000762939,0.0000000000,0x00000005,0x00000005,0x00000000
2,2,0,0,0.0000762939,0.0000762939,0.0000000000,0x00000005,0x00000005,0x00000000
3,3,0,0,0.0000915527,0.0000915527,0.0000000000,0x00000006,0x00000006,0x00000000
4,4,0,0,0.0000762939,0.0000762939,0.0000000000,0x00000005,0x00000005,0x00000000
5,5,0,0,0.0000610352,0.0000610352,0.0000000000,0x00000004,0x00000004,0x00000000
6,6,0,0,0.0000457764,0.0000457764,0.0000000000,0x00000003,0x00000003,0x00000000
7,7,0,0,0.0000457764,0.0000457764,0.0000000000,0x00000003,0x00000003,0x00000000
8,0,1,0,0.0000457764,0.0000457764,0.0000000000,0x00000003,0x00000003,0x00000000
9,1,1,0,0.0000610352,0.0000610352,0.0000000000,0x00000004,0x00000004,0x00000000
10,2,1,0,0.0000610352,0.0000610352,0.0000000000,0x00000004,0x00000004,0x00000000
11,3,1,0,0.0000762939,0.0000762939,0.0000000000,0x00000005,0x00000005,0x00000000
12,4,1,0,0.0000762939,0.0000762939,0.0000000000,0x00000005,0x00000005,0x00000000
13,5,1,0,0.0000457764,0.0000457764,0.0000000000,0x00000003,0x00000003,0x00000000
14,6,1,0,0.0000305176,0.0000305176,0.0000000000,0x00000002,0x00000002,0x00000000
15,7,1,0,0.0000305176,0.0000305176,0.0000000000,0x00000002,0x00000002,0x00000000
16,0,2,0,0.0000457764,0.0000457764,0.0000000000,0x00000003,0x00000003,0x00000000
17,1,2,0,0.0000610352,0.0000610352,0.0000000000,0x00000004,0x00000004,0x00000000
18,2,2,0,0.0000610352,0.0000610352,0.0000000000,0x00000004,0x00000004,0x00000000
19,3,2,0,0.0000762939,0.0000762939,0.0000000000,0x00000005,0x00000005,0x00000000
20,4,2,0,0.0000762939,0.0000762939,0.0000000000,0x00000005,0x00000005,0x00000000
21,5,2,0,0.0000457764,0.0000457764,0.0000000000,0x00000003,0x00000003,0x00000000
22,6,2,0,0.0000305176,0.0000305176,0.0000000000,0x00000002,0x00000002,0x00000000
23,7,2,0,0.0000457764,0.0000457764,0.0000000000,0x00000003,0x00000003,0x00000000
24,0,3,0,0.0000610352,0.0000610352,0.0000000000,0x00000004,0x00000004,0x00000000
25,1,3,0,0.0000762939,0.0000762939,0.0000000000,0x00000005,0x00000005,0x00000000
26,2,3,0,0.0000762939,0.0000762939,0.0000000000,0x00000005,0x00000005,0x00000000
27,3,3,0,0.0000762939,0.0000762939,0.0000000000,0x00000005,0x00000005,0x00000000
28,4,3,0,0.0000762939,0.0000762939,0.0000000000,0x00000005,0x00000005,0x00000000
29,5,3,0,0.0000457764,0.0000457764,0.0000000000,0x00000003,0x00000003,0x00000000
30,6,3,0,0.0000457764,0.0000457764,0.0000000000,0x00000003,0x00000003,0x00000000
31,7,3,0,0.0000457764,0.0000457764,0.0000000000,0x00000003,0x00000003,0x00000000
32,0,4,0,0.0000457764,0.0000457764,0.0000000000,0x00000003,0x00000003,0x00000000
33,1,4,0,0.0000762939,0.0000762939,0.0000000000,0x00000005,0x00000005,0x00000000
34,2,4,0,0.0000762939,0.0000762939,0.0000000000,0x00000005,0x00000005,0x00000000
35,3,4,0,0.0000915527,0.0000915527,0.0000000000,0x00000006,0x00000006,0x00000000
36,4,4,0,0.0000762939,0.0000762939,0.0000000000,0x00000005,0x00000005,0x00000000
37,5,4,0,0.0000457764,0.0000457764,0.0000000000,0x00000003,0x00000003,0x00000000
38,6,4,0,0.0000457764,0.0000457764,0.0000000000,0x00000003,0x00000003,0x00000000
39,7,4,0,0.0000457764,0.0000457764,0.0000000000,0x00000003,0x00000003,0x00000000
40,0,5,0,0.0000457764,0.0000457764,0.0000000000,0x00000003,0x00000003,0x00000000
41,1,5,0,0.0000610352,0.0000610352,0.0000000000,0x00000004,0x00000004,0x00000000
42,2,5,0,0.0000762939,0.0000762939,0.0000000000,0x00000005,0x00000005,0x00000000
43,3,5,0,0.0000762939,0.0000762939,0.0000000000,0x00000005,0x00000005,0x00000000
44,4,5,0,0.0000762939,0.0000762939,0.0000000000,0x00000005,0x00000005,0x00000000
45,5,5,0,0.0000457764,0.0000457764,0.0000000000,0x00000003,0x00000003,0x00000000
46,6,5,0,0.0000305176,0.0000305176,0.0000000000,0x00000002,0x00000002,0x00000000
47,7,5,0,0.0000305176,0.0000305176,0.0000000000,0x00000002,0x00000002,0x00000000
48,0,6,0,0.0000305176,0.0000305176,0.0000000000,0x00000002,0x00000002,0x00000000
49,1,6,0,0.0000457764,0.0000457764,0.0000000000,0x00000003,0x00000003,0x00000000
50,2,6,0,0.0000610352,0.0000610352,0.0000000000,0x00000004,0x00000004,0x00000000
51,3,6,0,0.0000762939,0.0000762939,0.0000000000,0x00000005,0x00000005,0x00000000
52,4,6,0,0.0000762939,0.0000762939,0.0000000000,0x00000005,0x00000005,0x00000000
53,5,6,0,0.0000457764,0.0000457764,0.0000000000,0x00000003,0x00000003,0x00000000
54,6,6,0,0.0000305176,0.0000305176,0.0000000000,0x00000002,0x00000002,0x00000000
55,7,6,0,0.0000305176,0.0000305176,0.0000000000,0x00000002,0x00000002,0x00000000
56,0,7,0,0.0000457764,0.0000457764,0.0000000000,0x00000003,0x00000003,0x00000000
57,1,7,0,0.0000457764,0.0000457764,0.0000000000,0x00000003,0x00000003,0x00000000
58,2,7,0,0.0000610352,0.0000610352,0.0000000000,0x00000004,0x00000004,0x00000000
59,3,7,0,0.0000762939,0.0000762939,0.0000000000,0x00000005,0x00000005,0x00000000
60,4,7,0,0.0000762939,0.0000762939,0.0000000000,0x00000005,0x00000005,0x00000000
61,5,7,0,0.0000457764,0.0000457764,0.0000000000,0x00000003,0x00000003,0x00000000
62,6,7,0,0.0000305176,0.0000305176,0.0000000000,0x00000002,0x00000002,0x00000000
63,7,7,0,0.0000305176,0.0000305176,0.0000000000,0x00000002,0x00000002,0x00000000
64,0,0,1,0.0000762939,0.0000762939,0.0000000000,0x00000005,0x00000005,0x00000000
65,1,0,1,0.0000915527,0.0000915527,0.0000000000,0x00000006,0x00000006,0x00000000
66,2,0,1,0.0000915527,0.0000915527,0.0000000000,0x00000006,0x00000006,0x00000000
67,3,0,1,0.0001068115,0.0001068115,0.0000000000,0x00000007,0x00000007,0x00000000
68,4,0,1,0.0001068115,0.0001068115,0.0000000000,0x00000007,0x00000007,0x00000000
69,5,0,1,0.0000762939,0.0000762939,0.0000000000,0x00000005,0x00000005,0x00000000
70,6,0,1,0.0000762939,0.0000762939,0.0000000000,0x00000005,0x00000005,0x00000000
71,7,0,1,0.0000762939,0.0000762939,0.0000000000,0x00000005,0x00000005,0x00000000
72,0,1,1,0.0000610352,0.0000610352,0.0000000000,0x00000004,0x00000004,0x00000000
73,1,1,1,0.0000762939,0.0000762939,0.0000000000,0x00000005,0x00000005,0x00000000
74,2,1,1,0.0000915527,0.0000915527,0.0000000000,0x00000006,0x00000006,0x00000000
75,3,1,1,0.0000915527,0.0000915527,0.0000000000,0x00000006,0x00000006,0x00000000
76,4,1,1,0.0000915527,0.0000915527,0.0000000000,0x00000006,0x00000006,0x00000000
77,5,1,1,0.0000762939,0.0000762939,0.0000000000,0x00000005,0x00000005,0x00000000
78,6,1,1,0.0000610352,0.0000610352,0.0000000000,0x00000004,0x00000004,0x00000000
79,7,1,1,0.0000610352,0.0000610352,0.0000000000,0x00000004,0x00000004,0x00000000
80,0,2,1,0.0000762939,0.0000762939,0.0000000000,0x00000005,0x00000005,0x00000000
