logical_i,logical_j,x,y,real_acc_q16,imag_acc_q16,real,imag,density
0,0,0,0,0,0,0,0,0
1,0,33.333333333333336,0,0,0,0,0,0
2,0,66.666666666666671,0,0,0,0,0,0
3,0,100,0,0,0,0,0,0
0,1,0,33.333333333333336,0,0,0,0,0
1,1,33.333333333333336,33.333333333333336,0,0,0,0,0
2,1,66.666666666666671,33.333333333333336,0,0,0,0,0
3,1,100,33.333333333333336,0,0,0,0,0
0,2,0,66.666666666666671,0,0,0,0,0
1,2,33.333333333333336,66.666666666666671,0,0,0,0,0
2,2,66.666666666666671,66.666666666666671,1989,0,0.0303497314453125,0,0.00092110619880259037
3,2,100,66.666666666666671,0,0,0,0,0
0,3,0,100,0,0,0,0,0
1,3,33.333333333333336,100,0,0,0,0,0
2,3,66.666666666666671,100,0,0,0,0,0
3,3,100,100,0,0,0,0,0
