site,x,y,z,psi_float,psi_prev_float,m_prev_float,psi_hex,psi_prev_hex,m_prev_hex
0,0,0,0,-1505.9559631348,2660.2076873779,0.0000000000,0xFA1E0B46,0x0A64352B,0x00000000
1,1,0,0,-17319.6041717529,-20119.7643737793,0.0000000000,0xBC586555,0xB1683C52,0x00000000
2,2,0,0,-32336.5735168457,21863.4504394531,0.0000000000,0x81AF6D2E,0x55677350,0x00000000
3,3,0,0,19876.8712310791,10562.0758209229,0.0000000000,0x4DA4DF09,0x29421369,0x00000000
4,4,0,0,19876.8712005615,10562.0757293701,0.0000000000,0x4DA4DF07,0x29421363,0x00000000
5,5,0,0,-32336.5731048584,21863.4508209229,0.0000000000,0x81AF6D49,0x55677369,0x00000000
6,6,0,0,-17319.6042327881,-20119.7646026611,0.0000000000,0xBC586551,0xB1683C43,0x00000000
7,7,0,0,-1505.9560394287,2660.2075958252,0.0000000000,0xFA1E0B41,0x0A643525,0x00000000
8,0,1,0,-17319.6039733887,-20119.7643585205,0.0000000000,0xBC586562,0xB1683C53,0x00000000
9,1,1,0,-15382.1517944336,-11617.0522155762,0.0000000000,0xC3E9D924,0xD29EF2A2,0x00000000
10,2,1,0,12867.9290771484,12364.3347778320,0.0000000000,0x3243EDD8,0x304C55B4,0x00000000
11,3,1,0,13511.7656250000,9926.7740173340,0.0000000000,0x34C7C400,0x26C6C626,0x00000000
12,4,1,0,13511.7654876709,9926.7739105225,0.0000000000,0x34C7C3F7,0x26C6C61F,0x00000000
13,5,1,0,12867.9291381836,12364.3347930908,0.0000000000,0x3243EDDC,0x304C55B5,0x00000000
14,6,1,0,-15382.1519775391,-11617.0522766113,0.0000000000,0xC3E9D918,0xD29EF29E,0x00000000
15,7,1,0,-17319.6041870117,-20119.7644500732,0.0000000000,0xBC586554,0xB1683C4D,0x00000000
16,0,2,0,-32336.5729675293,21863.4507446289,0.0000000000,0x81AF6D52,0x55677364,0x00000000
17,1,2,0,12867.9292755127,12364.3349914551,0.0000000000,0x3243EDE5,0x304C55C2,0x00000000
18,2,2,0,18387.7554779053,28305.4413909912,0.0000000000,0x47D3C167,0x6E9170FF,0x00000000
19,3,2,0,-6158.4843902588,-7337.2056427002,0.0000000000,0xE7F183FF,0xE356CB5B,0x00000000
20,4,2,0,-6158.4848022461,-7337.2062835693,0.0000000000,0xE7F183E4,0xE356CB31,0x00000000
21,5,2,0,18387.7553863525,28305.4412994385,0.0000000000,0x47D3C161,0x6E9170F9,0x00000000
22,6,2,0,12867.9291076660,12364.3348083496,0.0000000000,0x3243EDDA,0x304C55B6,0x00000000
23,7,2,0,-32336.5733489990,21863.4505767822,0.0000000000,0x81AF6D39,0x55677359,0x00000000
24,0,3,0,19876.8712921143,10562.0758361816,0.0000000000,0x4DA4DF0D,0x2942136A,0x00000000
25,1,3,0,13511.7656707764,9926.7742462158,0.0000000000,0x34C7C403,0x26C6C635,0x00000000
26,2,3,0,-6158.4842987061,-7337.2055816650,0.0000000000,0xE7F18405,0xE356CB5F,0x00000000
27,3,3,0,-19780.1075592041,-31213.7862396240,0.0000000000,0xB2BBE477,0x861236B9,0x00000000
28,4,3,0,-19780.1075439453,-31213.7863922119,0.0000000000,0xB2BBE478,0x861236AF,0x00000000
29,5,3,0,-6158.4843902588,-7337.2057495117,0.0000000000,0xE7F183FF,0xE356CB54,0x00000000
30,6,3,0,13511.7656555176,9926.7741851807,0.0000000000,0x34C7C402,0x26C6C631,0x00000000
31,7,3,0,19876.8712158203,10562.0758666992,0.0000000000,0x4DA4DF08,0x2942136C,0x00000000
32,0,4,0,19876.8713378906,10562.0760345459,0.0000000000,0x4DA4DF10,0x29421377,0x00000000
33,1,4,0,13511.7656402588,9926.7740936279,0.0000000000,0x34C7C401,0x26C6C62B,0x00000000
34,2,4,0,-6158.4844665527,-7337.2058715820,0.0000000000,0xE7F183FA,0xE356CB4C,0x00000000
35,3,4,0,-19780.1073760986,-31213.7861633301,0.0000000000,0xB2BBE483,0x861236BE,0x00000000
36,4,4,0,-19780.1074371338,-31213.7862091064,0.0000000000,0xB2BBE47F,0x861236BB,0x00000000
37,5,4,0,-6158.4844512939,-7337.2057189941,0.0000000000,0xE7F183FB,0xE356CB56,0x00000000
38,6,4,0,13511.7655487061,9926.7740783691,0.0000000000,0x34C7C3FB,0x26C6C62A,0x00000000
39,7,4,0,19876.8710937500,10562.0757293701,0.0000000000,0x4DA4DF00,0x29421363,0x00000000
40,0,5,0,-32336.5732727051,21863.4506225586,0.0000000000,0x81AF6D3E,0x5567735C,0x00000000
41,1,5,0,12867.9293823242,12364.3350372314,0.0000000000,0x3243EDEC,0x304C55C5,0x00000000
42,2,5,0,18387.7554321289,28305.4413604736,0.0000000000,0x47D3C164,0x6E9170FD,0x00000000
43,3,5,0,-6158.4842987061,-7337.2055816650,0.0000000000,0xE7F18405,0xE356CB5F,0x00000000
44,4,5,0,-6158.4843292236,-7337.2056732178,0.0000000000,0xE7F18403,0xE356CB59,0x00000000
45,5,5,0,18387.7554473877,28305.4414215088,0.0000000000,0x47D3C165,0x6E917101,0x00000000
46,6,5,0,12867.9291229248,12364.3348236084,0.0000000000,0x3243EDDB,0x304C55B7,0x00000000
47,7,5,0,-32336.5734558105,21863.4503631592,0.0000000000,0x81AF6D32,0x5567734B,0x00000000
48,0,6,0,-17319.6039733887,-20119.7644348145,0.0000000000,0xBC586562,0xB1683C4E,0x00000000
49,1,6,0,-15382.1520233154,-11617.0524291992,0.0000000000,0xC3E9D915,0xD29EF294,0x00000000
50,2,6,0,12867.9291534424,12364.3348083496,0.0000000000,0x3243EDDD,0x304C55B6,0x00000000
51,3,6,0,13511.7655639648,9926.7739715576,0.0000000000,0x34C7C3FC,0x26C6C623,0x00000000
52,4,6,0,13511.7658081055,9926.7742767334,0.0000000000,0x34C7C40C,0x26C6C637,0x00000000
53,5,6,0,12867.9295654297,12364.3352661133,0.0000000000,0x3243EDF8,0x304C55D4,0x00000000
54,6,6,0,-15382.1518249512,-11617.0522460938,0.0000000000,0xC3E9D922,0xD29EF2A0,0x00000000
55,7,6,0,-17319.6045989990,-20119.7648010254,0.0000000000,0xBC586539,0xB1683C36,0x00000000
56,0,7,0,-1505.9559326172,2660.2076568604,0.0000000000,0xFA1E0B48,0x0A643529,0x00000000
57,1,7,0,-17319.6043548584,-20119.7646484375,0.0000000000,0xBC586549,0xB1683C40,0x00000000
58,2,7,0,-32336.5735015869,21863.4504699707,0.0000000000,0x81AF6D2F,0x55677352,0x00000000
59,3,7,0,19876.8712615967,10562.0759429932,0.0000000000,0x4DA4DF0B,0x29421371,0x00000000
60,4,7,0,19876.8712615967,10562.0758819580,0.0000000000,0x4DA4DF0B,0x2942136D,0x00000000
61,5,7,0,-32336.5731201172,21863.4507141113,0.0000000000,0x81AF6D48,0x55677362,0x00000000
62,6,7,0,-17319.6043243408,-20119.7645874023,0.0000000000,0xBC58654B,0xB1683C44,0x00000000
63,7,7,0,-1505.9558868408,2660.2078857422,0.0000000000,0xFA1E0B4B,0x0A643538,0x00000000
64,0,0,1,-17319.6040039062,-20119.7642211914,0.0000000000,0xBC586560,0xB1683C5C,0x00000000
