logical_i,logical_j,logical_k,x,y,z,real_acc_q16,imag_acc_q16,real,imag,density
0,0,0,0,0,0,1791,0,0.0273284912109375,0,0.00074684643186628819
1,0,0,11.111111111111111,0,0,4,0,6.103515625e-05,0,3.7252902984619141e-09
2,0,0,22.222222222222221,0,0,0,0,0,0,0
3,0,0,33.333333333333336,0,0,0,0,0,0,0
4,0,0,44.444444444444443,0,0,0,0,0,0,0
5,0,0,55.555555555555557,0,0,0,0,0,0,0
6,0,0,66.666666666666671,0,0,0,0,0,0,0
7,0,0,77.777777777777771,0,0,0,0,0,0,0
8,0,0,88.888888888888886,0,0,0,0,0,0,0
9,0,0,100,0,0,0,0,0,0,0
0,1,0,0,11.111111111111111,0,4,0,6.103515625e-05,0,3.7252902984619141e-09
1,1,0,11.111111111111111,11.111111111111111,0,0,0,0,0,0
2,1,0,22.222222222222221,11.111111111111111,0,0,0,0,0,0
3,1,0,33.333333333333336,11.111111111111111,0,0,0,0,0,0
4,1,0,44.444444444444443,11.111111111111111,0,0,0,0,0,0
5,1,0,55.555555555555557,11.111111111111111,0,0,0,0,0,0
6,1,0,66.666666666666671,11.111111111111111,0,0,0,0,0,0
7,1,0,77.777777777777771,11.111111111111111,0,0,0,0,0,0
8,1,0,88.888888888888886,11.111111111111111,0,0,0,0,0,0
9,1,0,100,11.111111111111111,0,0,0,0,0,0
0,2,0,0,22.222222222222221,0,0,0,0,0,0
1,2,0,11.111111111111111,22.222222222222221,0,0,0,0,0,0
2,2,0,22.222222222222221,22.222222222222221,0,0,0,0,0,0
3,2,0,33.333333333333336,22.222222222222221,0,0,0,0,0,0
4,2,0,44.444444444444443,22.222222222222221,0,0,0,0,0,0
5,2,0,55.555555555555557,22.222222222222221,0,0,0,0,0,0
6,2,0,66.666666666666671,22.222222222222221,0,0,0,0,0,0
7,2,0,77.777777777777771,22.222222222222221,0,0,0,0,0,0
8,2,0,88.888888888888886,22.222222222222221,0,0,0,0,0,0
9,2,0,100,22.222222222222221,0,0,0,0,0,0
0,3,0,0,33.333333333333336,0,0,0,0,0,0
1,3,0,11.111111111111111,33.333333333333336,0,0,0,0,0,0
2,3,0,22.222222222222221,33.333333333333336,0,0,0,0,0,0
3,3,0,33.333333333333336,33.333333333333336,0,0,0,0,0,0
4,3,0,44.444444444444443,33.333333333333336,0,0,0,0,0,0
5,3,0,55.555555555555557,33.333333333333336,0,0,0,0,0,0
6,3,0,66.666666666666671,33.333333333333336,0,0,0,0,0,0
7,3,0,77.777777777777771,33.333333333333336,0,0,0,0,0,0
8,3,0,88.888888888888886,33.333333333333336,0,0,0,0,0,0
9,3,0,100,33.333333333333336,0,0,0,0,0,0
0,4,0,0,44.444444444444443,0,0,0,0,0,0
1,4,0,11.111111111111111,44.444444444444443,0,0,0,0,0,0
2,4,0,22.222222222222221,44.444444444444443,0,0,0,0,0,0
3,4,0,33.333333333333336,44.444444444444443,0,0,0,0,0,0
4,4,0,44.444444444444443,44.444444444444443,0,0,0,0,0,0
5,4,0,55.555555555555557,44.444444444444443,0,0,0,0,0,0
6,4,0,66.666666666666671,44.444444444444443,0,0,0,0,0,0
7,4,0,77.777777777777771,44.444444444444443,0,0,0,0,0,0
8,4,0,88.888888888888886,44.444444444444443,0,0,0,0,0,0
9,4,0,100,44.444444444444443,0,0,0,0,0,0
0,5,0,0,55.555555555555557,0,0,0,0,0,0
1,5,0,11.111111111111111,55.555555555555557,0,0,0,0,0,0
2,5,0,22.222222222222221,55.555555555555557,0,0,0,0,0,0
3,5,0,33.333333333333336,55.555555555555557,0,0,0,0,0,0
4,5,0,44.444444444444443,55.555555555555557,0,0,0,0,0,0
5,5,0,55.555555555555557,55.555555555555557,0,0,0,0,0,0
6,5,0,66.666666666666671,55.555555555555557,0,0,0,0,0,0
7,5,0,77.777777777777771,55.555555555555557,0,0,0,0,0,0
8,5,0,88.888888888888886,55.555555555555557,0,0,0,0,0,0
9,5,0,100,55.555555555555557,0,0,0,0,0,0
0,6,0,0,66.666666666666671,0,0,0,0,0,0
1,6,0,11.111111111111111,66.666666666666671,0,0,0,0,0,0
2,6,0,22.222222222222221,66.666666666666671,0,0,0,0,0,0
3,6,0,33.333333333333336,66.666666666666671,0,0,0,0,0,0
4,6,0,44.444444444444443,66.666666666666671,0,0,0,0,0,0
5,6,0,55.555555555555557,66.666666666666671,0,0,0,0,0,0
6,6,0,66.666666666666671,66.666666666666671,0,0,0,0,0,0
7,6,0,77.777777777777771,66.666666666666671,0,0,0,0,0,0
8,6,0,88.888888888888886,66.666666666666671,0,0,0,0,0,0
9,6,0,100,66.666666666666671,0,0,0,0,0,0
0,7,0,0,77.777777777777771,0,0,0,0,0,0
1,7,0,11.111111111111111,77.777777777777771,0,0,0,0,0,0
2,7,0,22.222222222222221,77.777777777777771,0,0,0,0,0,0
3,7,0,33.333333333333336,77.777777777777771,0,0,0,0,0,0
4,7,0,44.444444444444443,77.777777777777771,0,0,0,0,0,0
5,7,0,55.555555555555557,77.777777777777771,0,0,0,0,0,0
6,7,0,66.666666666666671,77.777777777777771,0,0,0,0,0,0
7,7,0,77.777777777777771,77.777777777777771,0,0,0,0,0,0
8,7,0,88.888888888888886,77.777777777777771,0,0,0,0,0,0
9,7,0,100,77.777777777777771,0,0,0,0,0,0
0,8,0,0,88.888888888888886,0,0,0,0,0,0
1,8,0,11.111111111111111,88.888888888888886,0,0,0,0,0,0
2,8,0,22.222222222222221,88.888888888888886,0,0,0,0,0,0
3,8,0,33.333333333333336,88.888888888888886,0,0,0,0,0,0
4,8,0,44.444444444444443,88.888888888888886,0,0,0,0,0,0
5,8,0,55.555555555555557,88.888888888888886,0,0,0,0,0,0
6,8,0,66.666666666666671,88.888888888888886,0,0,0,0,0,0
7,8,0,77.777777777777771,88.888888888888886,0,0,0,0,0,0
8,8,0,88.888888888888886,88.888888888888886,0,0,0,0,0,0
9,8,0,100,88.888888888888886,0,0,0,0,0,0
0,9,0,0,100,0,0,0,0,0,0
1,9,0,11.111111111111111,100,0,0,0,0,0,0
2,9,0,22.222222222222221,100,0,0,0,0,0,0
3,9,0,33.333333333333336,100,0,0,0,0,0,0
