logical_i,logical_j,logical_k,x,y,z,real_acc_q16,imag_acc_q16,real,imag,density
4,9,0,44.444444444444443,100,0,0,0,0,0,0
5,9,0,55.555555555555557,100,0,0,0,0,0,0
6,9,0,66.666666666666671,100,0,0,0,0,0,0
7,9,0,77.777777777777771,100,0,0,0,0,0,0
8,9,0,88.888888888888886,100,0,0,0,0,0,0
9,9,0,100,100,0,0,0,0,0,0
0,0,1,0,0,11.111111111111111,4,0,6.103515625e-05,0,3.7252902984619141e-09
1,0,1,11.111111111111111,0,11.111111111111111,0,0,0,0,0
2,0,1,22.222222222222221,0,11.111111111111111,0,0,0,0,0
3,0,1,33.333333333333336,0,11.111111111111111,0,0,0,0,0
4,0,1,44.444444444444443,0,11.111111111111111,0,0,0,0,0
5,0,1,55.555555555555557,0,11.111111111111111,0,0,0,0,0
6,0,1,66.666666666666671,0,11.111111111111111,0,0,0,0,0
7,0,1,77.777777777777771,0,11.111111111111111,0,0,0,0,0
8,0,1,88.888888888888886,0,11.111111111111111,0,0,0,0,0
9,0,1,100,0,11.111111111111111,0,0,0,0,0
0,1,1,0,11.111111111111111,11.111111111111111,0,0,0,0,0
1,1,1,11.111111111111111,11.111111111111111,11.111111111111111,0,0,0,0,0
2,1,1,22.222222222222221,11.111111111111111,11.111111111111111,0,0,0,0,0
3,1,1,33.333333333333336,11.111111111111111,11.111111111111111,0,0,0,0,0
4,1,1,44.444444444444443,11.111111111111111,11.111111111111111,0,0,0,0,0
5,1,1,55.555555555555557,11.111111111111111,11.111111111111111,0,0,0,0,0
6,1,1,66.666666666666671,11.111111111111111,11.111111111111111,0,0,0,0,0
7,1,1,77.777777777777771,11.111111111111111,11.111111111111111,0,0,0,0,0
8,1,1,88.888888888888886,11.111111111111111,11.111111111111111,0,0,0,0,0
9,1,1,100,11.111111111111111,11.111111111111111,0,0,0,0,0
0,2,1,0,22.222222222222221,11.111111111111111,0,0,0,0,0
1,2,1,11.111111111111111,22.222222222222221,11.111111111111111,0,0,0,0,0
2,2,1,22.222222222222221,22.222222222222221,11.111111111111111,0,0,0,0,0
3,2,1,33.333333333333336,22.222222222222221,11.111111111111111,0,0,0,0,0
4,2,1,44.444444444444443,22.222222222222221,11.111111111111111,0,0,0,0,0
5,2,1,55.555555555555557,22.222222222222221,11.111111111111111,0,0,0,0,0
6,2,1,66.666666666666671,22.222222222222221,11.111111111111111,0,0,0,0,0
7,2,1,77.777777777777771,22.222222222222221,11.111111111111111,0,0,0,0,0
8,2,1,88.888888888888886,22.222222222222221,11.111111111111111,0,0,0,0,0
9,2,1,100,22.222222222222221,11.111111111111111,0,0,0,0,0
0,3,1,0,33.333333333333336,11.111111111111111,0,0,0,0,0
1,3,1,11.111111111111111,33.333333333333336,11.111111111111111,0,0,0,0,0
2,3,1,22.222222222222221,33.333333333333336,11.111111111111111,0,0,0,0,0
3,3,1,33.333333333333336,33.333333333333336,11.111111111111111,0,0,0,0,0
4,3,1,44.444444444444443,33.333333333333336,11.111111111111111,0,0,0,0,0
5,3,1,55.555555555555557,33.333333333333336,11.111111111111111,0,0,0,0,0
6,3,1,66.666666666666671,33.333333333333336,11.111111111111111,0,0,0,0,0
7,3,1,77.777777777777771,33.333333333333336,11.111111111111111,0,0,0,0,0
8,3,1,88.888888888888886,33.333333333333336,11.111111111111111,0,0,0,0,0
9,3,1,100,33.333333333333336,11.111111111111111,0,0,0,0,0
0,4,1,0,44.444444444444443,11.111111111111111,0,0,0,0,0
1,4,1,11.111111111111111,44.444444444444443,11.111111111111111,0,0,0,0,0
2,4,1,22.222222222222221,44.444444444444443,11.111111111111111,0,0,0,0,0
3,4,1,33.333333333333336,44.444444444444443,11.111111111111111,0,0,0,0,0
4,4,1,44.444444444444443,44.444444444444443,11.111111111111111,0,0,0,0,0
5,4,1,55.555555555555557,44.444444444444443,11.111111111111111,0,0,0,0,0
6,4,1,66.666666666666671,44.444444444444443,11.111111111111111,0,0,0,0,0
7,4,1,77.777777777777771,44.444444444444443,11.111111111111111,0,0,0,0,0
8,4,1,88.888888888888886,44.444444444444443,11.111111111111111,0,0,0,0,0
9,4,1,100,44.444444444444443,11.111111111111111,0,0,0,0,0
0,5,1,0,55.555555555555557,11.111111111111111,0,0,0,0,0
1,5,1,11.111111111111111,55.555555555555557,11.111111111111111,0,0,0,0,0
2,5,1,22.222222222222221,55.555555555555557,11.111111111111111,0,0,0,0,0
3,5,1,33.333333333333336,55.555555555555557,11.111111111111111,0,0,0,0,0
4,5,1,44.444444444444443,55.555555555555557,11.111111111111111,0,0,0,0,0
5,5,1,55.555555555555557,55.555555555555557,11.111111111111111,0,0,0,0,0
6,5,1,66.666666666666671,55.555555555555557,11.111111111111111,0,0,0,0,0
7,5,1,77.777777777777771,55.555555555555557,11.111111111111111,0,0,0,0,0
8,5,1,88.888888888888886,55.555555555555557,11.111111111111111,0,0,0,0,0
9,5,1,100,55.555555555555557,11.111111111111111,0,0,0,0,0
0,6,1,0,66.666666666666671,11.111111111111111,0,0,0,0,0
1,6,1,11.111111111111111,66.666666666666671,11.111111111111111,0,0,0,0,0
2,6,1,22.222222222222221,66.666666666666671,11.111111111111111,0,0,0,0,0
3,6,1,33.333333333333336,66.666666666666671,11.111111111111111,0,0,0,0,0
4,6,1,44.444444444444443,66.666666666666671,11.111111111111111,0,0,0,0,0
5,6,1,55.555555555555557,66.666666666666671,11.111111111111111,0,0,0,0,0
6,6,1,66.666666666666671,66.666666666666671,11.111111111111111,0,0,0,0,0
7,6,1,77.777777777777771,66.666666666666671,11.111111111111111,0,0,0,0,0
8,6,1,88.888888888888886,66.666666666666671,11.111111111111111,0,0,0,0,0
9,6,1,100,66.666666666666671,11.111111111111111,0,0,0,0,0
0,7,1,0,77.777777777777771,11.111111111111111,0,0,0,0,0
1,7,1,11.111111111111111,77.777777777777771,11.111111111111111,0,0,0,0,0
2,7,1,22.222222222222221,77.777777777777771,11.111111111111111,0,0,0,0,0
3,7,1,33.333333333333336,77.777777777777771,11.111111111111111,0,0,0,0,0
4,7,1,44.444444444444443,77.777777777777771,11.111111111111111,0,0,0,0,0
5,7,1,55.555555555555557,77.777777777777771,11.111111111111111,0,0,0,0,0
6,7,1,66.666666666666671,77.777777777777771,11.111111111111111,0,0,0,0,0
7,7,1,77.777777777777771,77.777777777777771,11.111111111111111,0,0,0,0,0
8,7,1,88.888888888888886,77.777777777777771,11.111111111111111,0,0,0,0,0
9,7,1,100,77.777777777777771,11.111111111111111,0,0,0,0,0
0,8,1,0,88.888888888888886,11.111111111111111,0,0,0,0,0
1,8,1,11.111111111111111,88.888888888888886,11.111111111111111,0,0,0,0,0
2,8,1,22.222222222222221,88.888888888888886,11.111111111111111,0,0,0,0,0
3,8,1,33.333333333333336,88.888888888888886,11.111111111111111,0,0,0,0,0
4,8,1,44.444444444444443,88.888888888888886,11.111111111111111,0,0,0,0,0
5,8,1,55.555555555555557,88.888888888888886,11.111111111111111,0,0,0,0,0
6,8,1,66.666666666666671,88.888888888888886,11.111111111111111,0,0,0,0,0
7,8,1,77.777777777777771,88.888888888888886,11.111111111111111,0,0,0,0,0
8,8,1,88.888888888888886,88.888888888888886,11.111111111111111,0,0,0,0,0
9,8,1,100,88.888888888888886,11.111111111111111,0,0,0,0,0
0,9,1,0,100,11.111111111111111,0,0,0,0,0
1,9,1,11.111111111111111,100,11.111111111111111,0,0,0,0,0
2,9,1,22.222222222222221,100,11.111111111111111,0,0,0,0,0
3,9,1,33.333333333333336,100,11.111111111111111,0,0,0,0,0
4,9,1,44.444444444444443,100,11.111111111111111,0,0,0,0,0
5,9,1,55.555555555555557,100,11.111111111111111,0,0,0,0,0
6,9,1,66.666666666666671,100,11.111111111111111,0,0,0,0,0
7,9,1,77.777777777777771,100,11.111111111111111,0,0,0,0,0
8,9,1,88.888888888888886,100,11.111111111111111,0,0,0,0,0
9,9,1,100,100,11.111111111111111,0,0,0,0,0
0,0,2,0,0,22.222222222222221,0,0,0,0,0
1,0,2,11.111111111111111,0,22.222222222222221,0,0,0,0,0
2,0,2,22.222222222222221,0,22.222222222222221,0,0,0,0,0
3,0,2,33.333333333333336,0,22.222222222222221,0,0,0,0,0
4,0,2,44.444444444444443,0,22.222222222222221,0,0,0,0,0
5,0,2,55.555555555555557,0,22.222222222222221,0,0,0,0,0
6,0,2,66.666666666666671,0,22.222222222222221,0,0,0,0,0
7,0,2,77.777777777777771,0,22.222222222222221,0,0,0,0,0
8,0,2,88.888888888888886,0,22.222222222222221,0,0,0,0,0
9,0,2,100,0,22.222222222222221,0,0,0,0,0
0,1,2,0,11.111111111111111,22.222222222222221,0,0,0,0,0
1,1,2,11.111111111111111,11.111111111111111,22.222222222222221,0,0,0,0,0
2,1,2,22.222222222222221,11.111111111111111,22.222222222222221,0,0,0,0,0
3,1,2,33.333333333333336,11.111111111111111,22.222222222222221,0,0,0,0,0
4,1,2,44.444444444444443,11.111111111111111,22.222222222222221,0,0,0,0,0
5,1,2,55.555555555555557,11.111111111111111,22.222222222222221,0,0,0,0,0
6,1,2,66.666666666666671,11.111111111111111,22.222222222222221,0,0,0,0,0
7,1,2,77.777777777777771,11.111111111111111,22.222222222222221,0,0,0,0,0
8,1,2,88.888888888888886,11.111111111111111,22.222222222222221,0,0,0,0,0
9,1,2,100,11.111111111111111,22.222222222222221,0,0,0,0,0
0,2,2,0,22.222222222222221,22.222222222222221,0,0,0,0,0
1,2,2,11.111111111111111,22.222222222222221,22.222222222222221,0,0,0,0,0
2,2,2,22.222222222222221,22.222222222222221,22.222222222222221,0,0,0,0,0
3,2,2,33.333333333333336,22.222222222222221,22.222222222222221,0,0,0,0,0
4,2,2,44.444444444444443,22.222222222222221,22.222222222222221,0,0,0,0,0
5,2,2,55.555555555555557,22.222222222222221,22.222222222222221,0,0,0,0,0
6,2,2,66.666666666666671,22.222222222222221,22.222222222222221,0,0,0,0,0
7,2,2,77.777777777777771,22.222222222222221,22.222222222222221,0,0,0,0,0
8,2,2,88.888888888888886,22.222222222222221,22.222222222222221,0,0,0,0,0
9,2,2,100,22.222222222222221,22.222222222222221,0,0,0,0,0
0,3,2,0,33.333333333333336,22.222222222222221,0,0,0,0,0
1,3,2,11.111111111111111,33.333333333333336,22.222222222222221,0,0,0,0,0
2,3,2,22.222222222222221,33.333333333333336,22.222222222222221,0,0,0,0,0
3,3,2,33.333333333333336,33.333333333333336,22.222222222222221,0,0,0,0,0
4,3,2,44.444444444444443,33.333333333333336,22.222222222222221,0,0,0,0,0
5,3,2,55.555555555555557,33.333333333333336,22.222222222222221,0,0,0,0,0
6,3,2,66.666666666666671,33.333333333333336,22.222222222222221,0,0,0,0,0
7,3,2,77.777777777777771,33.333333333333336,22.222222222222221,0,0,0,0,0
8,3,2,88.888888888888886,33.333333333333336,22.222222222222221,0,0,0,0,0
9,3,2,100,33.333333333333336,22.222222222222221,0,0,0,0,0
0,4,2,0,44.444444444444443,22.222222222222221,0,0,0,0,0
1,4,2,11.111111111111111,44.444444444444443,22.222222222222221,0,0,0,0,0
2,4,2,22.222222222222221,44.444444444444443,22.222222222222221,0,0,0,0,0
3,4,2,33.333333333333336,44.444444444444443,22.222222222222221,0,0,0,0,0
4,4,2,44.444444444444443,44.444444444444443,22.222222222222221,0,0,0,0,0
5,4,2,55.555555555555557,44.444444444444443,22.222222222222221,0,0,0,0,0
6,4,2,66.666666666666671,44.444444444444443,22.222222222222221,0,0,0,0,0
7,4,2,77.777777777777771,44.444444444444443,22.222222222222221,0,0,0,0,0
8,4,2,88.888888888888886,44.444444444444443,22.222222222222221,0,0,0,0,0
9,4,2,100,44.444444444444443,22.222222222222221,0,0,0,0,0
0,5,2,0,55.555555555555557,22.222222222222221,0,0,0,0,0
1,5,2,11.111111111111111,55.555555555555557,22.222222222222221,0,0,0,0,0
2,5,2,22.222222222222221,55.555555555555557,22.222222222222221,0,0,0,0,0
3,5,2,33.333333333333336,55.555555555555557,22.222222222222221,0,0,0,0,0
4,5,2,44.444444444444443,55.555555555555557,22.222222222222221,0,0,0,0,0
5,5,2,55.555555555555557,55.555555555555557,22.222222222222221,0,0,0,0,0
6,5,2,66.666666666666671,55.555555555555557,22.222222222222221,0,0,0,0,0
7,5,2,77.777777777777771,55.555555555555557,22.222222222222221,0,0,0,0,0
8,5,2,88.888888888888886,55.555555555555557,22.222222222222221,0,0,0,0,0
9,5,2,100,55.555555555555557,22.222222222222221,0,0,0,0,0
0,6,2,0,66.666666666666671,22.222222222222221,0,0,0,0,0
1,6,2,11.111111111111111,66.666666666666671,22.222222222222221,0,0,0,0,0
2,6,2,22.222222222222221,66.666666666666671,22.222222222222221,0,0,0,0,0
3,6,2,33.333333333333336,66.666666666666671,22.222222222222221,0,0,0,0,0
4,6,2,44.444444444444443,66.666666666666671,22.222222222222221,0,0,0,0,0
5,6,2,55.555555555555557,66.666666666666671,22.222222222222221,0,0,0,0,0
6,6,2,66.666666666666671,66.666666666666671,22.222222222222221,0,0,0,0,0
7,6,2,77.777777777777771,66.666666666666671,22.222222222222221,0,0,0,0,0
8,6,2,88.888888888888886,66.666666666666671,22.222222222222221,0,0,0,0,0
9,6,2,100,66.666666666666671,22.222222222222221,0,0,0,0,0
0,7,2,0,77.777777777777771,22.222222222222221,0,0,0,0,0
1,7,2,11.111111111111111,77.777777777777771,22.222222222222221,0,0,0,0,0
2,7,2,22.222222222222221,77.777777777777771,22.222222222222221,0,0,0,0,0
3,7,2,33.333333333333336,77.777777777777771,22.222222222222221,0,0,0,0,0
4,7,2,44.444444444444443,77.777777777777771,22.222222222222221,0,0,0,0,0
5,7,2,55.555555555555557,77.777777777777771,22.222222222222221,0,0,0,0,0
6,7,2,66.666666666666671,77.777777777777771,22.222222222222221,0,0,0,0,0
7,7,2,77.777777777777771,77.777777777777771,22.222222222222221,0,0,0,0,0
8,7,2,88.888888888888886,77.777777777777771,22.222222222222221,0,0,0,0,0
9,7,2,100,77.777777777777771,22.222222222222221,0,0,0,0,0
0,8,2,0,88.888888888888886,22.222222222222221,0,0,0,0,0
1,8,2,11.111111111111111,88.888888888888886,22.222222222222221,0,0,0,0,0
2,8,2,22.222222222222221,88.888888888888886,22.222222222222221,0,0,0,0,0
3,8,2,33.333333333333336,88.888888888888886,22.222222222222221,0,0,0,0,0
4,8,2,44.444444444444443,88.888888888888886,22.222222222222221,0,0,0,0,0
5,8,2,55.555555555555557,88.888888888888886,22.222222222222221,0,0,0,0,0
6,8,2,66.666666666666671,88.888888888888886,22.222222222222221,0,0,0,0,0
7,8,2,77.777777777777771,88.888888888888886,22.222222222222221,0,0,0,0,0
8,8,2,88.888888888888886,88.888888888888886,22.222222222222221,0,0,0,0,0
9,8,2,100,88.888888888888886,22.222222222222221,0,0,0,0,0
0,9,2,0,100,22.222222222222221,0,0,0,0,0
1,9,2,11.111111111111111,100,22.222222222222221,0,0,0,0,0
2,9,2,22.222222222222221,100,22.222222222222221,0,0,0,0,0
3,9,2,33.333333333333336,100,22.222222222222221,0,0,0,0,0
4,9,2,44.444444444444443,100,22.222222222222221,0,0,0,0,0
5,9,2,55.555555555555557,100,22.222222222222221,0,0,0,0,0
6,9,2,66.666666666666671,100,22.222222222222221,0,0,0,0,0
7,9,2,77.777777777777771,100,22.222222222222221,0,0,0,0,0
8,9,2,88.888888888888886,100,22.222222222222221,0,0,0,0,0
9,9,2,100,100,22.222222222222221,0,0,0,0,0
0,0,3,0,0,33.333333333333336,0,0,0,0,0
1,0,3,11.111111111111111,0,33.333333333333336,0,0,0,0,0
2,0,3,22.222222222222221,0,33.333333333333336,0,0,0,0,0
3,0,3,33.333333333333336,0,33.333333333333336,0,0,0,0,0
4,0,3,44.444444444444443,0,33.333333333333336,0,0,0,0,0
5,0,3,55.555555555555557,0,33.333333333333336,0,0,0,0,0
6,0,3,66.666666666666671,0,33.333333333333336,0,0,0,0,0
7,0,3,77.777777777777771,0,33.333333333333336,0,0,0,0,0
8,0,3,88.888888888888886,0,33.333333333333336,0,0,0,0,0
9,0,3,100,0,33.333333333333336,0,0,0,0,0
0,1,3,0,11.111111111111111,33.333333333333336,0,0,0,0,0
1,1,3,11.111111111111111,11.111111111111111,33.333333333333336,0,0,0,0,0
2,1,3,22.222222222222221,11.111111111111111,33.333333333333336,0,0,0,0,0
3,1,3,33.333333333333336,11.111111111111111,33.333333333333336,0,0,0,0,0
4,1,3,44.444444444444443,11.111111111111111,33.333333333333336,0,0,0,0,0
5,1,3,55.555555555555557,11.111111111111111,33.333333333333336,0,0,0,0,0
6,1,3,66.666666666666671,11.111111111111111,33.333333333333336,0,0,0,0,0
7,1,3,77.777777777777771,11.111111111111111,33.333333333333336,0,0,0,0,0
8,1,3,88.888888888888886,11.111111111111111,33.333333333333336,0,0,0,0,0
9,1,3,100,11.111111111111111,33.333333333333336,0,0,0,0,0
0,2,3,0,22.222222222222221,33.333333333333336,0,0,0,0,0
1,2,3,11.111111111111111,22.222222222222221,33.333333333333336,0,0,0,0,0
2,2,3,22.222222222222221,22.222222222222221,33.333333333333336,0,0,0,0,0
3,2,3,33.333333333333336,22.222222222222221,33.333333333333336,0,0,0,0,0
4,2,3,44.444444444444443,22.222222222222221,33.333333333333336,0,0,0,0,0
5,2,3,55.555555555555557,22.222222222222221,33.333333333333336,0,0,0,0,0
6,2,3,66.666666666666671,22.222222222222221,33.333333333333336,0,0,0,0,0
7,2,3,77.777777777777771,22.222222222222221,33.333333333333336,0,0,0,0,0
8,2,3,88.888888888888886,22.222222222222221,33.333333333333336,0,0,0,0,0
9,2,3,100,22.222222222222221,33.333333333333336,0,0,0,0,0
0,3,3,0,33.333333333333336,33.333333333333336,0,0,0,0,0
1,3,3,11.111111111111111,33.333333333333336,33.333333333333336,0,0,0,0,0
2,3,3,22.222222222222221,33.333333333333336,33.333333333333336,0,0,0,0,0
3,3,3,33.333333333333336,33.333333333333336,33.333333333333336,0,0,0,0,0
4,3,3,44.444444444444443,33.333333333333336,33.333333333333336,0,0,0,0,0
5,3,3,55.555555555555557,33.333333333333336,33.333333333333336,0,0,0,0,0
6,3,3,66.666666666666671,33.333333333333336,33.333333333333336,0,0,0,0,0
7,3,3,77.777777777777771,33.333333333333336,33.333333333333336,0,0,0,0,0
8,3,3,88.888888888888886,33.333333333333336,33.333333333333336,0,0,0,0,0
9,3,3,100,33.333333333333336,33.333333333333336,0,0,0,0,0
0,4,3,0,44.444444444444443,33.333333333333336,0,0,0,0,0
1,4,3,11.111111111111111,44.444444444444443,33.333333333333336,0,0,0,0,0
2,4,3,22.222222222222221,44.444444444444443,33.333333333333336,0,0,0,0,0
3,4,3,33.333333333333336,44.444444444444443,33.333333333333336,0,0,0,0,0
4,4,3,44.444444444444443,44.444444444444443,33.333333333333336,0,0,0,0,0
5,4,3,55.555555555555557,44.444444444444443,33.333333333333336,0,0,0,0,0
6,4,3,66.666666666666671,44.444444444444443,33.333333333333336,0,0,0,0,0
7,4,3,77.777777777777771,44.444444444444443,33.333333333333336,0,0,0,0,0
8,4,3,88.888888888888886,44.444444444444443,33.333333333333336,0,0,0,0,0
9,4,3,100,44.444444444444443,33.333333333333336,0,0,0,0,0
0,5,3,0,55.555555555555557,33.333333333333336,0,0,0,0,0
1,5,3,11.111111111111111,55.555555555555557,33.333333333333336,0,0,0,0,0
2,5,3,22.222222222222221,55.555555555555557,33.333333333333336,0,0,0,0,0
3,5,3,33.333333333333336,55.555555555555557,33.333333333333336,0,0,0,0,0
4,5,3,44.444444444444443,55.555555555555557,33.333333333333336,0,0,0,0,0
5,5,3,55.555555555555557,55.555555555555557,33.333333333333336,0,0,0,0,0
6,5,3,66.666666666666671,55.555555555555557,33.333333333333336,0,0,0,0,0
7,5,3,77.777777777777771,55.555555555555557,33.333333333333336,0,0,0,0,0
8,5,3,88.888888888888886,55.555555555555557,33.333333333333336,0,0,0,0,0
9,5,3,100,55.555555555555557,33.333333333333336,0,0,0,0,0
0,6,3,0,66.666666666666671,33.333333333333336,0,0,0,0,0
1,6,3,11.111111111111111,66.666666666666671,33.333333333333336,0,0,0,0,0
2,6,3,22.222222222222221,66.666666666666671,33.333333333333336,0,0,0,0,0
3,6,3,33.333333333333336,66.666666666666671,33.333333333333336,0,0,0,0,0
4,6,3,44.444444444444443,66.666666666666671,33.333333333333336,0,0,0,0,0
5,6,3,55.555555555555557,66.666666666666671,33.333333333333336,0,0,0,0,0
6,6,3,66.666666666666671,66.666666666666671,33.333333333333336,0,0,0,0,0
7,6,3,77.777777777777771,66.666666666666671,33.333333333333336,0,0,0,0,0
8,6,3,88.888888888888886,66.666666666666671,33.333333333333336,0,0,0,0,0
9,6,3,100,66.666666666666671,33.333333333333336,0,0,0,0,0
0,7,3,0,77.777777777777771,33.333333333333336,0,0,0,0,0
1,7,3,11.111111111111111,77.777777777777771,33.333333333333336,0,0,0,0,0
2,7,3,22.222222222222221,77.777777777777771,33.333333333333336,0,0,0,0,0
3,7,3,33.333333333333336,77.777777777777771,33.333333333333336,0,0,0,0,0
4,7,3,44.444444444444443,77.777777777777771,33.333333333333336,0,0,0,0,0
5,7,3,55.555555555555557,77.777777777777771,33.333333333333336,0,0,0,0,0
6,7,3,66.666666666666671,77.777777777777771,33.333333333333336,0,0,0,0,0
7,7,3,77.777777777777771,77.777777777777771,33.333333333333336,0,0,0,0,0
8,7,3,88.888888888888886,77.777777777777771,33.333333333333336,0,0,0,0,0
9,7,3,100,77.777777777777771,33.333333333333336,0,0,0,0,0
0,8,3,0,88.888888888888886,33.333333333333336,0,0,0,0,0
1,8,3,11.111111111111111,88.888888888888886,33.333333333333336,0,0,0,0,0
2,8,3,22.222222222222221,88.888888888888886,33.333333333333336,0,0,0,0,0
