logical_index,r,real_acc_q16,imag_acc_q16,real,imag,density
0,0,213,0,0.0032501220703125,0,1.0563293471932411e-05
1,0.097751710654936458,-185592,0,-2.8319091796875,0,8.0197096019983292
2,0.19550342130987292,97360,0,1.485595703125,0,2.2069945931434631
3,0.2932551319648094,0,0,0,0,0
4,0.39100684261974583,0,0,0,0,0
5,0.48875855327468232,0,0,0,0,0
6,0.5865102639296188,0,0,0,0,0
7,0.68426197458455518,0,0,0,0,0
8,0.78201368523949166,0,0,0,0,0
9,0.87976539589442815,0,0,0,0,0
10,0.97751710654936463,0,0,0,0,0
11,1.075268817204301,0,0,0,0,0
12,1.1730205278592376,0,0,0,0,0
13,1.270772238514174,0,0,0,0,0
14,1.3685239491691104,0,0,0,0,0
15,1.466275659824047,0,0,0,0,0
16,1.5640273704789833,0,0,0,0,0
17,1.6617790811339199,0,0,0,0,0
18,1.7595307917888563,0,0,0,0,0
19,1.8572825024437927,0,0,0,0,0
20,1.9550342130987293,0,0,0,0,0
21,2.0527859237536656,0,0,0,0,0
22,2.150537634408602,0,0,0,0,0
23,2.2482893450635384,0,0,0,0,0
24,2.3460410557184752,0,0,0,0,0
25,2.4437927663734116,0,0,0,0,0
26,2.541544477028348,0,0,0,0,0
27,2.6392961876832843,0,0,0,0,0
28,2.7370478983382207,0,0,0,0,0
29,2.8347996089931575,0,0,0,0,0
30,2.9325513196480939,0,0,0,0,0
31,3.0303030303030303,0,0,0,0,0
32,3.1280547409579667,0,0,0,0,0
33,3.225806451612903,0,0,0,0,0
34,3.3235581622678398,0,0,0,0,0
35,3.4213098729227762,0,0,0,0,0
36,3.5190615835777126,0,0,0,0,0
37,3.616813294232649,0,0,0,0,0
38,3.7145650048875853,0,0,0,0,0
39,3.8123167155425222,0,0,0,0,0
40,3.9100684261974585,0,0,0,0,0
41,4.0078201368523949,0,0,0,0,0
42,4.1055718475073313,0,0,0,0,0
43,4.2033235581622677,0,0,0,0,0
44,4.301075268817204,0,0,0,0,0
45,4.3988269794721404,0,0,0,0,0
46,4.4965786901270768,0,0,0,0,0
47,4.594330400782014,0,0,0,0,0
48,4.6920821114369504,0,0,0,0,0
49,4.7898338220918868,0,0,0,0,0
50,4.8875855327468232,0,0,0,0,0
51,4.9853372434017595,0,0,0,0,0
52,5.0830889540566959,0,0,0,0,0
53,5.1808406647116323,0,0,0,0,0
54,5.2785923753665687,0,0,0,0,0
55,5.376344086021505,0,0,0,0,0
56,5.4740957966764414,0,0,0,0,0
57,5.5718475073313787,0,0,0,0,0
58,5.6695992179863151,0,0,0,0,0
59,5.7673509286412514,0,0,0,0,0
60,5.8651026392961878,0,0,0,0,0
61,5.9628543499511242,0,0,0,0,0
62,6.0606060606060606,0,0,0,0,0
63,6.1583577712609969,0,0,0,0,0
64,6.2561094819159333,0,0,0,0,0
65,6.3538611925708697,0,0,0,0,0
66,6.4516129032258061,0,0,0,0,0
67,6.5493646138807433,0,0,0,0,0
68,6.6471163245356797,0,0,0,0,0
69,6.7448680351906161,0,0,0,0,0
70,6.8426197458455524,0,0,0,0,0
71,6.9403714565004888,0,0,0,0,0
72,7.0381231671554252,0,0,0,0,0
73,7.1358748778103616,0,0,0,0,0
74,7.2336265884652979,0,0,0,0,0
75,7.3313782991202343,0,0,0,0,0
76,7.4291300097751707,0,0,0,0,0
77,7.5268817204301079,0,0,0,0,0
78,7.6246334310850443,0,0,0,0,0
79,7.7223851417399807,0,0,0,0,0
80,7.8201368523949171,0,0,0,0,0
81,7.9178885630498534,0,0,0,0,0
82,8.0156402737047898,0,0,0,0,0
83,8.1133919843597262,0,0,0,0,0
84,8.2111436950146626,0,0,0,0,0
85,8.3088954056695989,0,0,0,0,0
86,8.4066471163245353,0,0,0,0,0
87,8.5043988269794717,0,0,0,0,0
88,8.6021505376344081,0,0,0,0,0
89,8.6999022482893444,0,0,0,0,0
90,8.7976539589442808,0,0,0,0,0
91,8.8954056695992172,0,0,0,0,0
92,8.9931573802541536,0,0,0,0,0
93,9.0909090909090917,0,0,0,0,0
94,9.1886608015640281,0,0,0,0,0
95,9.2864125122189645,0,0,0,0,0
96,9.3841642228739008,0,0,0,0,0
97,9.4819159335288372,0,0,0,0,0
98,9.5796676441837736,0,0,0,0,0
99,9.67741935483871,0,0,0,0,0
100,9.7751710654936463,0,0,0,0,0
101,9.8729227761485827,0,0,0,0,0
102,9.9706744868035191,0,0,0,0,0
103,10.068426197458455,0,0,0,0,0
104,10.166177908113392,0,0,0,0,0
105,10.263929618768328,0,0,0,0,0
106,10.361681329423265,0,0,0,0,0
107,10.459433040078201,0,0,0,0,0
108,10.557184750733137,0,0,0,0,0
109,10.654936461388074,0,0,0,0,0
110,10.75268817204301,0,0,0,0,0
111,10.850439882697946,0,0,0,0,0
112,10.948191593352883,0,0,0,0,0
113,11.045943304007821,0,0,0,0,0
114,11.143695014662757,0,0,0,0,0
115,11.241446725317694,0,0,0,0,0
116,11.33919843597263,0,0,0,0,0
117,11.436950146627566,0,0,0,0,0
118,11.534701857282503,0,0,0,0,0
119,11.632453567937439,0,0,0,0,0
120,11.730205278592376,0,0,0,0,0
121,11.827956989247312,0,0,0,0,0
122,11.925708699902248,0,0,0,0,0
123,12.023460410557185,0,0,0,0,0
124,12.121212121212121,0,0,0,0,0
125,12.218963831867057,0,0,0,0,0
126,12.316715542521994,0,0,0,0,0
127,12.41446725317693,0,0,0,0,0
128,12.512218963831867,0,0,0,0,0
129,12.609970674486803,0,0,0,0,0
130,12.707722385141739,0,0,0,0,0
131,12.805474095796676,0,0,0,0,0
132,12.903225806451612,0,0,0,0,0
133,13.00097751710655,0,0,0,0,0
134,13.098729227761487,0,0,0,0,0
135,13.196480938416423,0,0,0,0,0
136,13.294232649071359,0,0,0,0,0
137,13.391984359726296,0,0,0,0,0
138,13.489736070381232,0,0,0,0,0
139,13.587487781036168,0,0,0,0,0
140,13.685239491691105,0,0,0,0,0
141,13.782991202346041,0,0,0,0,0
142,13.880742913000978,0,0,0,0,0
143,13.978494623655914,0,0,0,0,0
144,14.07624633431085,0,0,0,0,0
145,14.173998044965787,0,0,0,0,0
146,14.271749755620723,0,0,0,0,0
147,14.369501466275659,0,0,0,0,0
148,14.467253176930596,0,0,0,0,0
149,14.565004887585532,0,0,0,0,0
150,14.662756598240469,0,0,0,0,0
151,14.760508308895405,0,0,0,0,0
152,14.858260019550341,0,0,0,0,0
153,14.956011730205278,0,0,0,0,0
154,15.053763440860216,0,0,0,0,0
155,15.151515151515152,0,0,0,0,0
156,15.249266862170089,0,0,0,0,0
157,15.347018572825025,0,0,0,0,0
158,15.444770283479961,0,0,0,0,0
159,15.542521994134898,0,0,0,0,0
160,15.640273704789834,0,0,0,0,0
161,15.738025415444771,0,0,0,0,0
162,15.835777126099707,0,0,0,0,0
163,15.933528836754643,0,0,0,0,0
164,16.03128054740958,0,0,0,0,0
165,16.129032258064516,0,0,0,0,0
166,16.226783968719452,0,0,0,0,0
167,16.324535679374389,0,0,0,0,0
168,16.422287390029325,0,0,0,0,0
169,16.520039100684262,0,0,0,0,0
170,16.617790811339198,0,0,0,0,0
171,16.715542521994134,0,0,0,0,0
172,16.813294232649071,0,0,0,0,0
173,16.911045943304007,0,0,0,0,0
174,17.008797653958943,0,0,0,0,0
175,17.10654936461388,0,0,0,0,0
176,17.204301075268816,0,0,0,0,0
177,17.302052785923753,0,0,0,0,0
178,17.399804496578689,0,0,0,0,0
179,17.497556207233625,0,0,0,0,0
180,17.595307917888562,0,0,0,0,0
181,17.693059628543498,0,0,0,0,0
182,17.790811339198434,0,0,0,0,0
183,17.888563049853371,0,0,0,0,0
184,17.986314760508307,0,0,0,0,0
185,18.084066471163247,0,0,0,0,0
186,18.181818181818183,0,0,0,0,0
187,18.27956989247312,0,0,0,0,0
188,18.377321603128056,0,0,0,0,0
189,18.475073313782993,0,0,0,0,0
190,18.572825024437929,0,0,0,0,0
191,18.670576735092865,0,0,0,0,0
192,18.768328445747802,0,0,0,0,0
193,18.866080156402738,0,0,0,0,0
194,18.963831867057674,0,0,0,0,0
195,19.061583577712611,0,0,0,0,0
196,19.159335288367547,0,0,0,0,0
197,19.257086999022484,0,0,0,0,0
198,19.35483870967742,0,0,0,0,0
199,19.452590420332356,0,0,0,0,0
200,19.550342130987293,0,0,0,0,0
201,19.648093841642229,0,0,0,0,0
202,19.745845552297165,0,0,0,0,0
203,19.843597262952102,0,0,0,0,0
204,19.941348973607038,0,0,0,0,0
205,20.039100684261975,0,0,0,0,0
206,20.136852394916911,0,0,0,0,0
207,20.234604105571847,0,0,0,0,0
208,20.332355816226784,0,0,0,0,0
209,20.43010752688172,0,0,0,0,0
210,20.527859237536656,0,0,0,0,0
211,20.625610948191593,0,0,0,0,0
212,20.723362658846529,0,0,0,0,0
213,20.821114369501466,0,0,0,0,0
214,20.918866080156402,0,0,0,0,0
215,21.016617790811338,0,0,0,0,0
216,21.114369501466275,0,0,0,0,0
217,21.212121212121211,0,0,0,0,0
218,21.309872922776147,0,0,0,0,0
219,21.407624633431084,0,0,0,0,0
220,21.50537634408602,0,0,0,0,0
221,21.603128054740957,0,0,0,0,0
222,21.700879765395893,0,0,0,0,0
223,21.798631476050829,0,0,0,0,0
224,21.896383186705766,0,0,0,0,0
225,21.994134897360702,0,0,0,0,0
226,22.091886608015642,0,0,0,0,0
227,22.189638318670578,0,0,0,0,0
228,22.287390029325515,0,0,0,0,0
229,22.385141739980451,0,0,0,0,0
230,22.482893450635387,0,0,0,0,0
231,22.580645161290324,0,0,0,0,0
232,22.67839687194526,0,0,0,0,0
233,22.776148582600197,0,0,0,0,0
234,22.873900293255133,0,0,0,0,0
235,22.971652003910069,0,0,0,0,0
