logical_i,logical_j,x,y,real_acc_q16,imag_acc_q16,real,imag,density
0,0,0,0,8623,0,0.1315765380859375,0,0.017312385374680161
1,0,6.666666666666667,0,3199,0,0.0488128662109375,0,0.0023826959077268839
2,0,13.333333333333334,0,737,0,0.0112457275390625,0,0.00012646638788282871
3,0,20,0,85,0,0.0012969970703125,0,1.6822014003992081e-06
4,0,26.666666666666668,0,0,0,0,0,0
5,0,33.333333333333336,0,0,0,0,0,0
6,0,40,0,0,0,0,0,0
7,0,46.666666666666664,0,0,0,0,0,0
8,0,53.333333333333336,0,0,0,0,0,0
9,0,60,0,0,0,0,0,0
10,0,66.666666666666671,0,0,0,0,0,0
11,0,73.333333333333329,0,0,0,0,0,0
12,0,80,0,0,0,0,0,0
13,0,86.666666666666671,0,0,0,0,0,0
14,0,93.333333333333329,0,0,0,0,0,0
15,0,100,0,0,0,0,0,0
0,1,0,6.666666666666667,3199,0,0.0488128662109375,0,0.0023826959077268839
1,1,6.666666666666667,6.666666666666667,1139,0,0.0173797607421875,0,0.0003020560834556818
2,1,13.333333333333334,6.666666666666667,219,0,0.0033416748046875,0,1.1166790500283241e-05
3,1,20,6.666666666666667,13,0,0.0001983642578125,0,3.9348378777503967e-08
4,1,26.666666666666668,6.666666666666667,0,0,0,0,0
5,1,33.333333333333336,6.666666666666667,0,0,0,0,0
6,1,40,6.666666666666667,0,0,0,0,0
7,1,46.666666666666664,6.666666666666667,0,0,0,0,0
8,1,53.333333333333336,6.666666666666667,0,0,0,0,0
9,1,60,6.666666666666667,0,0,0,0,0
10,1,66.666666666666671,6.666666666666667,0,0,0,0,0
11,1,73.333333333333329,6.666666666666667,0,0,0,0,0
12,1,80,6.666666666666667,0,0,0,0,0
13,1,86.666666666666671,6.666666666666667,0,0,0,0,0
14,1,93.333333333333329,6.666666666666667,0,0,0,0,0
15,1,100,6.666666666666667,0,0,0,0,0
0,2,0,13.333333333333334,737,0,0.0112457275390625,0,0.00012646638788282871
1,2,6.666666666666667,13.333333333333334,219,0,0.0033416748046875,0,1.1166790500283241e-05
2,2,13.333333333333334,13.333333333333334,17,0,0.0002593994140625,0,6.7288056015968323e-08
3,2,20,13.333333333333334,0,0,0,0,0
4,2,26.666666666666668,13.333333333333334,0,0,0,0,0
5,2,33.333333333333336,13.333333333333334,0,0,0,0,0
6,2,40,13.333333333333334,0,0,0,0,0
7,2,46.666666666666664,13.333333333333334,0,0,0,0,0
8,2,53.333333333333336,13.333333333333334,0,0,0,0,0
9,2,60,13.333333333333334,0,0,0,0,0
10,2,66.666666666666671,13.333333333333334,0,0,0,0,0
11,2,73.333333333333329,13.333333333333334,0,0,0,0,0
12,2,80,13.333333333333334,0,0,0,0,0
13,2,86.666666666666671,13.333333333333334,0,0,0,0,0
14,2,93.333333333333329,13.333333333333334,0,0,0,0,0
15,2,100,13.333333333333334,0,0,0,0,0
0,3,0,20,85,0,0.0012969970703125,0,1.6822014003992081e-06
1,3,6.666666666666667,20,13,0,0.0001983642578125,0,3.9348378777503967e-08
2,3,13.333333333333334,20,0,0,0,0,0
