site,x,y,z,reference_psi,hardware_psi,reference_density,hardware_density,density_error
0,0,0,0,4815.9754943847656,4815.9754943848002,23193619.962514587,23193619.962514922,3.3527612686157227e-07
1,1,0,0,-31200.534973144531,-31200.534973144499,973473382.61041498,973473382.61041296,-2.0265579223632812e-06
2,2,0,0,4815.9754943847656,4815.9754943848002,23193619.962514587,23193619.962514922,3.3527612686157227e-07
3,3,0,0,-31200.534973144531,-31200.534973144499,973473382.61041498,973473382.61041296,-2.0265579223632812e-06
4,4,0,0,4815.9754943847656,4815.9754943848002,23193619.962514587,23193619.962514922,3.3527612686157227e-07
5,5,0,0,-31200.534973144531,-31200.534973144499,973473382.61041498,973473382.61041296,-2.0265579223632812e-06
6,6,0,0,4815.9754943847656,4815.9754943848002,23193619.962514587,23193619.962514922,3.3527612686157227e-07
7,7,0,0,-31200.534973144531,-31200.534973144499,973473382.61041498,973473382.61041296,-2.0265579223632812e-06
8,0,1,0,7779.2180480957031,7779.2180480957004,60516233.43981792,60516233.439817876,-4.4703483581542969e-08
9,1,1,0,18682.799102783203,18682.799102783199,349046982.31495684,349046982.31495672,-1.1920928955078125e-07
10,2,1,0,7779.2180480957031,7779.2180480957004,60516233.43981792,60516233.439817876,-4.4703483581542969e-08
11,3,1,0,18682.799102783203,18682.799102783199,349046982.31495684,349046982.31495672,-1.1920928955078125e-07
12,4,1,0,7779.2180480957031,7779.2180480957004,60516233.43981792,60516233.439817876,-4.4703483581542969e-08
13,5,1,0,18682.799102783203,18682.799102783199,349046982.31495684,349046982.31495672,-1.1920928955078125e-07
14,6,1,0,7779.2180480957031,7779.2180480957004,60516233.43981792,60516233.439817876,-4.4703483581542969e-08
15,7,1,0,18682.799102783203,18682.799102783199,349046982.31495684,349046982.31495672,-1.1920928955078125e-07
16,0,2,0,4815.9754943847656,4815.9754943848002,23193619.962514587,23193619.962514922,3.3527612686157227e-07
17,1,2,0,-31200.534973144531,-31200.534973144499,973473382.61041498,973473382.61041296,-2.0265579223632812e-06
18,2,2,0,4815.9754943847656,4815.9754943848002,23193619.962514587,23193619.962514922,3.3527612686157227e-07
19,3,2,0,-31200.534973144531,-31200.534973144499,973473382.61041498,973473382.61041296,-2.0265579223632812e-06
20,4,2,0,4815.9754943847656,4815.9754943848002,23193619.962514587,23193619.962514922,3.3527612686157227e-07
21,5,2,0,-31200.534973144531,-31200.534973144499,973473382.61041498,973473382.61041296,-2.0265579223632812e-06
22,6,2,0,4815.9754943847656,4815.9754943848002,23193619.962514587,23193619.962514922,3.3527612686157227e-07
23,7,2,0,-31200.534973144531,-31200.534973144499,973473382.61041498,973473382.61041296,-2.0265579223632812e-06
24,0,3,0,7779.2180480957031,7779.2180480957004,60516233.43981792,60516233.439817876,-4.4703483581542969e-08
25,1,3,0,18682.799102783203,18682.799102783199,349046982.31495684,349046982.31495672,-1.1920928955078125e-07
26,2,3,0,7779.2180480957031,7779.2180480957004,60516233.43981792,60516233.439817876,-4.4703483581542969e-08
27,3,3,0,18682.799102783203,18682.799102783199,349046982.31495684,349046982.31495672,-1.1920928955078125e-07
28,4,3,0,7779.2180480957031,7779.2180480957004,60516233.43981792,60516233.439817876,-4.4703483581542969e-08
29,5,3,0,18682.799102783203,18682.799102783199,349046982.31495684,349046982.31495672,-1.1920928955078125e-07
30,6,3,0,7779.2180480957031,7779.2180480957004,60516233.43981792,60516233.439817876,-4.4703483581542969e-08
31,7,3,0,18682.799102783203,18682.799102783199,349046982.31495684,349046982.31495672,-1.1920928955078125e-07
32,0,4,0,4815.9754943847656,4815.9754943848002,23193619.962514587,23193619.962514922,3.3527612686157227e-07
33,1,4,0,-31200.534973144531,-31200.534973144499,973473382.61041498,973473382.61041296,-2.0265579223632812e-06
34,2,4,0,4815.9754943847656,4815.9754943848002,23193619.962514587,23193619.962514922,3.3527612686157227e-07
35,3,4,0,-31200.534973144531,-31200.534973144499,973473382.61041498,973473382.61041296,-2.0265579223632812e-06
36,4,4,0,4815.9754943847656,4815.9754943848002,23193619.962514587,23193619.962514922,3.3527612686157227e-07
37,5,4,0,-31200.534973144531,-31200.534973144499,973473382.61041498,973473382.61041296,-2.0265579223632812e-06
38,6,4,0,4815.9754943847656,4815.9754943848002,23193619.962514587,23193619.962514922,3.3527612686157227e-07
39,7,4,0,-31200.534973144531,-31200.534973144499,973473382.61041498,973473382.61041296,-2.0265579223632812e-06
40,0,5,0,7779.2180480957031,7779.2180480957004,60516233.43981792,60516233.439817876,-4.4703483581542969e-08
41,1,5,0,18682.799102783203,18682.799102783199,349046982.31495684,349046982.31495672,-1.1920928955078125e-07
