site,x,y,z,psi_q16,psi_hex,psi_float,psi_prev_q16,psi_prev_hex,psi_prev_float,m_prev_q16,m_prev_hex,m_prev_float
0,0,0,0,315619770,0x12CFF9BA,4815.975494384766,1262973500,0x4B47723C,19271.446228027344,-27983208,0xFE550298,-426.9898681640625
1,1,0,0,-2044758260,0x861F770C,-31200.53497314453,299761538,0x11DDFF82,4573.998077392578,21934208,0x014EB080,334.689453125
2,2,0,0,315619770,0x12CFF9BA,4815.975494384766,1262973500,0x4B47723C,19271.446228027344,-27983208,0xFE550298,-426.9898681640625
3,3,0,0,-2044758260,0x861F770C,-31200.53497314453,299761538,0x11DDFF82,4573.998077392578,21934208,0x014EB080,334.689453125
4,4,0,0,315619770,0x12CFF9BA,4815.975494384766,1262973500,0x4B47723C,19271.446228027344,-27983208,0xFE550298,-426.9898681640625
5,5,0,0,-2044758260,0x861F770C,-31200.53497314453,299761538,0x11DDFF82,4573.998077392578,21934208,0x014EB080,334.689453125
6,6,0,0,315619770,0x12CFF9BA,4815.975494384766,1262973500,0x4B47723C,19271.446228027344,-27983208,0xFE550298,-426.9898681640625
7,7,0,0,-2044758260,0x861F770C,-31200.53497314453,299761538,0x11DDFF82,4573.998077392578,21934208,0x014EB080,334.689453125
8,0,1,0,509818834,0x1E6337D2,7779.218048095703,-1640805347,0x9E334C1D,-25036.702682495117,-44196983,0xFD5D9B89,-674.3924407958984
9,1,1,0,1224395922,0x48FACC92,18682.799102783203,-1297259975,0xB2AD6239,-19794.616317749023,58503480,0x037CB138,892.6922607421875
10,2,1,0,509818834,0x1E6337D2,7779.218048095703,-1640805347,0x9E334C1D,-25036.702682495117,-44196983,0xFD5D9B89,-674.3924407958984
11,3,1,0,1224395922,0x48FACC92,18682.799102783203,-1297259975,0xB2AD6239,-19794.616317749023,58503480,0x037CB138,892.6922607421875
12,4,1,0,509818834,0x1E6337D2,7779.218048095703,-1640805347,0x9E334C1D,-25036.702682495117,-44196983,0xFD5D9B89,-674.3924407958984
13,5,1,0,1224395922,0x48FACC92,18682.799102783203,-1297259975,0xB2AD6239,-19794.616317749023,58503480,0x037CB138,892.6922607421875
14,6,1,0,509818834,0x1E6337D2,7779.218048095703,-1640805347,0x9E334C1D,-25036.702682495117,-44196983,0xFD5D9B89,-674.3924407958984
15,7,1,0,1224395922,0x48FACC92,18682.799102783203,-1297259975,0xB2AD6239,-19794.616317749023,58503480,0x037CB138,892.6922607421875
16,0,2,0,315619770,0x12CFF9BA,4815.975494384766,1262973500,0x4B47723C,19271.446228027344,-27983208,0xFE550298,-426.9898681640625
17,1,2,0,-2044758260,0x861F770C,-31200.53497314453,299761538,0x11DDFF82,4573.998077392578,21934208,0x014EB080,334.689453125
18,2,2,0,315619770,0x12CFF9BA,4815.975494384766,1262973500,0x4B47723C,19271.446228027344,-27983208,0xFE550298,-426.9898681640625
19,3,2,0,-2044758260,0x861F770C,-31200.53497314453,299761538,0x11DDFF82,4573.998077392578,21934208,0x014EB080,334.689453125
20,4,2,0,315619770,0x12CFF9BA,4815.975494384766,1262973500,0x4B47723C,19271.446228027344,-27983208,0xFE550298,-426.9898681640625
21,5,2,0,-2044758260,0x861F770C,-31200.53497314453,299761538,0x11DDFF82,4573.998077392578,21934208,0x014EB080,334.689453125
22,6,2,0,315619770,0x12CFF9BA,4815.975494384766,1262973500,0x4B47723C,19271.446228027344,-27983208,0xFE550298,-426.9898681640625
23,7,2,0,-2044758260,0x861F770C,-31200.53497314453,299761538,0x11DDFF82,4573.998077392578,21934208,0x014EB080,334.689453125
24,0,3,0,509818834,0x1E6337D2,7779.218048095703,-1640805347,0x9E334C1D,-25036.702682495117,-44196983,0xFD5D9B89,-674.3924407958984
25,1,3,0,1224395922,0x48FACC92,18682.799102783203,-1297259975,0xB2AD6239,-19794.616317749023,58503480,0x037CB138,892.6922607421875
26,2,3,0,509818834,0x1E6337D2,7779.218048095703,-1640805347,0x9E334C1D,-25036.702682495117,-44196983,0xFD5D9B89,-674.3924407958984
27,3,3,0,1224395922,0x48FACC92,18682.799102783203,-1297259975,0xB2AD6239,-19794.616317749023,58503480,0x037CB138,892.6922607421875
28,4,3,0,509818834,0x1E6337D2,7779.218048095703,-1640805347,0x9E334C1D,-25036.702682495117,-44196983,0xFD5D9B89,-674.3924407958984
29,5,3,0,1224395922,0x48FACC92,18682.799102783203,-1297259975,0xB2AD6239,-19794.616317749023,58503480,0x037CB138,892.6922607421875
30,6,3,0,509818834,0x1E6337D2,7779.218048095703,-1640805347,0x9E334C1D,-25036.702682495117,-44196983,0xFD5D9B89,-674.3924407958984
31,7,3,0,1224395922,0x48FACC92,18682.799102783203,-1297259975,0xB2AD6239,-19794.616317749023,58503480,0x037CB138,892.6922607421875
32,0,4,0,315619770,0x12CFF9BA,4815.975494384766,1262973500,0x4B47723C,19271.446228027344,-27983208,0xFE550298,-426.9898681640625
33,1,4,0,-2044758260,0x861F770C,-31200.53497314453,299761538,0x11DDFF82,4573.998077392578,21934208,0x014EB080,334.689453125
34,2,4,0,315619770,0x12CFF9BA,4815.975494384766,1262973500,0x4B47723C,19271.446228027344,-27983208,0xFE550298,-426.9898681640625
35,3,4,0,-2044758260,0x861F770C,-31200.53497314453,299761538,0x11DDFF82,4573.998077392578,21934208,0x014EB080,334.689453125
36,4,4,0,315619770,0x12CFF9BA,4815.975494384766,1262973500,0x4B47723C,19271.446228027344,-27983208,0xFE550298,-426.9898681640625
37,5,4,0,-2044758260,0x861F770C,-31200.53497314453,299761538,0x11DDFF82,4573.998077392578,21934208,0x014EB080,334.689453125
38,6,4,0,315619770,0x12CFF9BA,4815.975494384766,1262973500,0x4B47723C,19271.446228027344,-27983208,0xFE550298,-426.9898681640625
39,7,4,0,-2044758260,0x861F770C,-31200.53497314453,299761538,0x11DDFF82,4573.998077392578,21934208,0x014EB080,334.689453125
40,0,5,0,509818834,0x1E6337D2,7779.218048095703,-1640805347,0x9E334C1D,-25036.702682495117,-44196983,0xFD5D9B89,-674.3924407958984
41,1,5,0,1224395922,0x48FACC92,18682.799102783203,-1297259975,0xB2AD6239,-19794.616317749023,58503480,0x037CB138,892.6922607421875
42,2,5,0,509818834,0x1E6337D2,7779.218048095703,-1640805347,0x9E334C1D,-25036.702682495117,-44196983,0xFD5D9B89,-674.3924407958984
43,3,5,0,1224395922,0x48FACC92,18682.799102783203,-1297259975,0xB2AD6239,-19794.616317749023,58503480,0x037CB138,892.6922607421875
44,4,5,0,509818834,0x1E6337D2,7779.218048095703,-1640805347,0x9E334C1D,-25036.702682495117,-44196983,0xFD5D9B89,-674.3924407958984
45,5,5,0,1224395922,0x48FACC92,18682.799102783203,-1297259975,0xB2AD6239,-19794.616317749023,58503480,0x037CB138,892.6922607421875
46,6,5,0,509818834,0x1E6337D2,7779.218048095703,-1640805347,0x9E334C1D,-25036.702682495117,-44196983,0xFD5D9B89,-674.3924407958984
47,7,5,0,1224395922,0x48FACC92,18682.799102783203,-1297259975,0xB2AD6239,-19794.616317749023,58503480,0x037CB138,892.6922607421875
48,0,6,0,315619770,0x12CFF9BA,4815.975494384766,1262973500,0x4B47723C,19271.446228027344,-27983208,0xFE550298,-426.9898681640625
49,1,6,0,-2044758260,0x861F770C,-31200.53497314453,299761538,0x11DDFF82,4573.998077392578,21934208,0x014EB080,334.689453125
50,2,6,0,315619770,0x12CFF9BA,4815.975494384766,1262973500,0x4B47723C,19271.446228027344,-27983208,0xFE550298,-426.9898681640625
51,3,6,0,-2044758260,0x861F770C,-31200.53497314453,299761538,0x11DDFF82,4573.998077392578,21934208,0x014EB080,334.689453125
52,4,6,0,315619770,0x12CFF9BA,4815.975494384766,1262973500,0x4B47723C,19271.446228027344,-27983208,0xFE550298,-426.9898681640625
53,5,6,0,-2044758260,0x861F770C,-31200.53497314453,299761538,0x11DDFF82,4573.998077392578,21934208,0x014EB080,334.689453125
54,6,6,0,315619770,0x12CFF9BA,4815.975494384766,1262973500,0x4B47723C,19271.446228027344,-27983208,0xFE550298,-426.9898681640625
55,7,6,0,-2044758260,0x861F770C,-31200.53497314453,299761538,0x11DDFF82,4573.998077392578,21934208,0x014EB080,334.689453125
56,0,7,0,509818834,0x1E6337D2,7779.218048095703,-1640805347,0x9E334C1D,-25036.702682495117,-44196983,0xFD5D9B89,-674.3924407958984
57,1,7,0,1224395922,0x48FACC92,18682.799102783203,-1297259975,0xB2AD6239,-19794.616317749023,58503480,0x037CB138,892.6922607421875
58,2,7,0,509818834,0x1E6337D2,7779.218048095703,-1640805347,0x9E334C1D,-25036.702682495117,-44196983,0xFD5D9B89,-674.3924407958984
59,3,7,0,1224395922,0x48FACC92,18682.799102783203,-1297259975,0xB2AD6239,-19794.616317749023,58503480,0x037CB138,892.6922607421875
60,4,7,0,509818834,0x1E6337D2,7779.218048095703,-1640805347,0x9E334C1D,-25036.702682495117,-44196983,0xFD5D9B89,-674.3924407958984
61,5,7,0,1224395922,0x48FACC92,18682.799102783203,-1297259975,0xB2AD6239,-19794.616317749023,58503480,0x037CB138,892.6922607421875
62,6,7,0,509818834,0x1E6337D2,7779.218048095703,-1640805347,0x9E334C1D,-25036.702682495117,-44196983,0xFD5D9B89,-674.3924407958984
