site,x,y,z,psi_float,psi_prev_float,m_prev_float,psi_hex,psi_prev_hex,m_prev_hex
391,7,0,6,-31200.5349731445,4573.9980773926,334.6894531250,0x861F770C,0x11DDFF82,0x014EB080
392,0,1,6,7779.2180480957,-25036.7026824951,-674.3924407959,0x1E6337D2,0x9E334C1D,0xFD5D9B89
393,1,1,6,18682.7991027832,-19794.6163177490,892.6922607422,0x48FACC92,0xB2AD6239,0x037CB138
394,2,1,6,7779.2180480957,-25036.7026824951,-674.3924407959,0x1E6337D2,0x9E334C1D,0xFD5D9B89
395,3,1,6,18682.7991027832,-19794.6163177490,892.6922607422,0x48FACC92,0xB2AD6239,0x037CB138
396,4,1,6,7779.2180480957,-25036.7026824951,-674.3924407959,0x1E6337D2,0x9E334C1D,0xFD5D9B89
397,5,1,6,18682.7991027832,-19794.6163177490,892.6922607422,0x48FACC92,0xB2AD6239,0x037CB138
398,6,1,6,7779.2180480957,-25036.7026824951,-674.3924407959,0x1E6337D2,0x9E334C1D,0xFD5D9B89
399,7,1,6,18682.7991027832,-19794.6163177490,892.6922607422,0x48FACC92,0xB2AD6239,0x037CB138
400,0,2,6,4815.9754943848,19271.4462280273,-426.9898681641,0x12CFF9BA,0x4B47723C,0xFE550298
401,1,2,6,-31200.5349731445,4573.9980773926,334.6894531250,0x861F770C,0x11DDFF82,0x014EB080
402,2,2,6,4815.9754943848,19271.4462280273,-426.9898681641,0x12CFF9BA,0x4B47723C,0xFE550298
403,3,2,6,-31200.5349731445,4573.9980773926,334.6894531250,0x861F770C,0x11DDFF82,0x014EB080
404,4,2,6,4815.9754943848,19271.4462280273,-426.9898681641,0x12CFF9BA,0x4B47723C,0xFE550298
405,5,2,6,-31200.5349731445,4573.9980773926,334.6894531250,0x861F770C,0x11DDFF82,0x014EB080
406,6,2,6,4815.9754943848,19271.4462280273,-426.9898681641,0x12CFF9BA,0x4B47723C,0xFE550298
407,7,2,6,-31200.5349731445,4573.9980773926,334.6894531250,0x861F770C,0x11DDFF82,0x014EB080
408,0,3,6,7779.2180480957,-25036.7026824951,-674.3924407959,0x1E6337D2,0x9E334C1D,0xFD5D9B89
409,1,3,6,18682.7991027832,-19794.6163177490,892.6922607422,0x48FACC92,0xB2AD6239,0x037CB138
410,2,3,6,7779.2180480957,-25036.7026824951,-674.3924407959,0x1E6337D2,0x9E334C1D,0xFD5D9B89
411,3,3,6,18682.7991027832,-19794.6163177490,892.6922607422,0x48FACC92,0xB2AD6239,0x037CB138
412,4,3,6,7779.2180480957,-25036.7026824951,-674.3924407959,0x1E6337D2,0x9E334C1D,0xFD5D9B89
413,5,3,6,18682.7991027832,-19794.6163177490,892.6922607422,0x48FACC92,0xB2AD6239,0x037CB138
414,6,3,6,7779.2180480957,-25036.7026824951,-674.3924407959,0x1E6337D2,0x9E334C1D,0xFD5D9B89
415,7,3,6,18682.7991027832,-19794.6163177490,892.6922607422,0x48FACC92,0xB2AD6239,0x037CB138
416,0,4,6,4815.9754943848,19271.4462280273,-426.9898681641,0x12CFF9BA,0x4B47723C,0xFE550298
417,1,4,6,-31200.5349731445,4573.9980773926,334.6894531250,0x861F770C,0x11DDFF82,0x014EB080
418,2,4,6,4815.9754943848,19271.4462280273,-426.9898681641,0x12CFF9BA,0x4B47723C,0xFE550298
419,3,4,6,-31200.5349731445,4573.9980773926,334.6894531250,0x861F770C,0x11DDFF82,0x014EB080
420,4,4,6,4815.9754943848,19271.4462280273,-426.9898681641,0x12CFF9BA,0x4B47723C,0xFE550298
421,5,4,6,-31200.5349731445,4573.9980773926,334.6894531250,0x861F770C,0x11DDFF82,0x014EB080
422,6,4,6,4815.9754943848,19271.4462280273,-426.9898681641,0x12CFF9BA,0x4B47723C,0xFE550298
423,7,4,6,-31200.5349731445,4573.9980773926,334.6894531250,0x861F770C,0x11DDFF82,0x014EB080
424,0,5,6,7779.2180480957,-25036.7026824951,-674.3924407959,0x1E6337D2,0x9E334C1D,0xFD5D9B89
425,1,5,6,18682.7991027832,-19794.6163177490,892.6922607422,0x48FACC92,0xB2AD6239,0x037CB138
426,2,5,6,7779.2180480957,-25036.7026824951,-674.3924407959,0x1E6337D2,0x9E334C1D,0xFD5D9B89
427,3,5,6,18682.7991027832,-19794.6163177490,892.6922607422,0x48FACC92,0xB2AD6239,0x037CB138
428,4,5,6,7779.2180480957,-25036.7026824951,-674.3924407959,0x1E6337D2,0x9E334C1D,0xFD5D9B89
429,5,5,6,18682.7991027832,-19794.6163177490,892.6922607422,0x48FACC92,0xB2AD6239,0x037CB138
430,6,5,6,7779.2180480957,-25036.7026824951,-674.3924407959,0x1E6337D2,0x9E334C1D,0xFD5D9B89
431,7,5,6,18682.7991027832,-19794.6163177490,892.6922607422,0x48FACC92,0xB2AD6239,0x037CB138
432,0,6,6,4815.9754943848,19271.4462280273,-426.9898681641,0x12CFF9BA,0x4B47723C,0xFE550298
433,1,6,6,-31200.5349731445,4573.9980773926,334.6894531250,0x861F770C,0x11DDFF82,0x014EB080
434,2,6,6,4815.9754943848,19271.4462280273,-426.9898681641,0x12CFF9BA,0x4B47723C,0xFE550298
435,3,6,6,-31200.5349731445,4573.9980773926,334.6894531250,0x861F770C,0x11DDFF82,0x014EB080
436,4,6,6,4815.9754943848,19271.4462280273,-426.9898681641,0x12CFF9BA,0x4B47723C,0xFE550298
437,5,6,6,-31200.5349731445,4573.9980773926,334.6894531250,0x861F770C,0x11DDFF82,0x014EB080
438,6,6,6,4815.9754943848,19271.4462280273,-426.9898681641,0x12CFF9BA,0x4B47723C,0xFE550298
439,7,6,6,-31200.5349731445,4573.9980773926,334.6894531250,0x861F770C,0x11DDFF82,0x014EB080
440,0,7,6,7779.2180480957,-25036.7026824951,-674.3924407959,0x1E6337D2,0x9E334C1D,0xFD5D9B89
441,1,7,6,18682.7991027832,-19794.6163177490,892.6922607422,0x48FACC92,0xB2AD6239,0x037CB138
442,2,7,6,7779.2180480957,-25036.7026824951,-674.3924407959,0x1E6337D2,0x9E334C1D,0xFD5D9B89
443,3,7,6,18682.7991027832,-19794.6163177490,892.6922607422,0x48FACC92,0xB2AD6239,0x037CB138
444,4,7,6,7779.2180480957,-25036.7026824951,-674.3924407959,0x1E6337D2,0x9E334C1D,0xFD5D9B89
445,5,7,6,18682.7991027832,-19794.6163177490,892.6922607422,0x48FACC92,0xB2AD6239,0x037CB138
446,6,7,6,7779.2180480957,-25036.7026824951,-674.3924407959,0x1E6337D2,0x9E334C1D,0xFD5D9B89
447,7,7,6,18682.7991027832,-19794.6163177490,892.6922607422,0x48FACC92,0xB2AD6239,0x037CB138
448,0,0,7,-2769.8808593750,13970.9187927246,-288.3300323486,0xF52E1E80,0x3692EB36,0xFEDFAB83
449,1,0,7,-1463.0921630859,15651.1153717041,-4.0875396729,0xFA48E868,0x3D231D89,0xFFFBE997
450,2,0,7,-2769.8808593750,13970.9187927246,-288.3300323486,0xF52E1E80,0x3692EB36,0xFEDFAB83
451,3,0,7,-1463.0921630859,15651.1153717041,-4.0875396729,0xFA48E868,0x3D231D89,0xFFFBE997
452,4,0,7,-2769.8808593750,13970.9187927246,-288.3300323486,0xF52E1E80,0x3692EB36,0xFEDFAB83
453,5,0,7,-1463.0921630859,15651.1153717041,-4.0875396729,0xFA48E868,0x3D231D89,0xFFFBE997
454,6,0,7,-2769.8808593750,13970.9187927246,-288.3300323486,0xF52E1E80,0x3692EB36,0xFEDFAB83
455,7,0,7,-1463.0921630859,15651.1153717041,-4.0875396729,0xFA48E868,0x3D231D89,0xFFFBE997
456,0,1,7,-20247.8302154541,10875.0576629639,301.8096008301,0xB0E82B77,0x2A7B0EC3,0x012DCF42
457,1,1,7,-13786.4065856934,-1959.6895294189,1020.9779663086,0xCA2597EA,0xF8584F7B,0x03FCFA5C
458,2,1,7,-20247.8302154541,10875.0576629639,301.8096008301,0xB0E82B77,0x2A7B0EC3,0x012DCF42
459,3,1,7,-13786.4065856934,-1959.6895294189,1020.9779663086,0xCA2597EA,0xF8584F7B,0x03FCFA5C
460,4,1,7,-20247.8302154541,10875.0576629639,301.8096008301,0xB0E82B77,0x2A7B0EC3,0x012DCF42
461,5,1,7,-13786.4065856934,-1959.6895294189,1020.9779663086,0xCA2597EA,0xF8584F7B,0x03FCFA5C
462,6,1,7,-20247.8302154541,10875.0576629639,301.8096008301,0xB0E82B77,0x2A7B0EC3,0x012DCF42
463,7,1,7,-13786.4065856934,-1959.6895294189,1020.9779663086,0xCA2597EA,0xF8584F7B,0x03FCFA5C
464,0,2,7,-2769.8808593750,13970.9187927246,-288.3300323486,0xF52E1E80,0x3692EB36,0xFEDFAB83
465,1,2,7,-1463.0921630859,15651.1153717041,-4.0875396729,0xFA48E868,0x3D231D89,0xFFFBE997
466,2,2,7,-2769.8808593750,13970.9187927246,-288.3300323486,0xF52E1E80,0x3692EB36,0xFEDFAB83
467,3,2,7,-1463.0921630859,15651.1153717041,-4.0875396729,0xFA48E868,0x3D231D89,0xFFFBE997
468,4,2,7,-2769.8808593750,13970.9187927246,-288.3300323486,0xF52E1E80,0x3692EB36,0xFEDFAB83
469,5,2,7,-1463.0921630859,15651.1153717041,-4.0875396729,0xFA48E868,0x3D231D89,0xFFFBE997
470,6,2,7,-2769.8808593750,13970.9187927246,-288.3300323486,0xF52E1E80,0x3692EB36,0xFEDFAB83
471,7,2,7,-1463.0921630859,15651.1153717041,-4.0875396729,0xFA48E868,0x3D231D89,0xFFFBE997
472,0,3,7,-20247.8302154541,10875.0576629639,301.8096008301,0xB0E82B77,0x2A7B0EC3,0x012DCF42
473,1,3,7,-13786.4065856934,-1959.6895294189,1020.9779663086,0xCA2597EA,0xF8584F7B,0x03FCFA5C
474,2,3,7,-20247.8302154541,10875.0576629639,301.8096008301,0xB0E82B77,0x2A7B0EC3,0x012DCF42
475,3,3,7,-13786.4065856934,-1959.6895294189,1020.9779663086,0xCA2597EA,0xF8584F7B,0x03FCFA5C
476,4,3,7,-20247.8302154541,10875.0576629639,301.8096008301,0xB0E82B77,0x2A7B0EC3,0x012DCF42
477,5,3,7,-13786.4065856934,-1959.6895294189,1020.9779663086,0xCA2597EA,0xF8584F7B,0x03FCFA5C
478,6,3,7,-20247.8302154541,10875.0576629639,301.8096008301,0xB0E82B77,0x2A7B0EC3,0x012DCF42
479,7,3,7,-13786.4065856934,-1959.6895294189,1020.9779663086,0xCA2597EA,0xF8584F7B,0x03FCFA5C
480,0,4,7,-2769.8808593750,13970.9187927246,-288.3300323486,0xF52E1E80,0x3692EB36,0xFEDFAB83
481,1,4,7,-1463.0921630859,15651.1153717041,-4.0875396729,0xFA48E868,0x3D231D89,0xFFFBE997
482,2,4,7,-2769.8808593750,13970.9187927246,-288.3300323486,0xF52E1E80,0x3692EB36,0xFEDFAB83
483,3,4,7,-1463.0921630859,15651.1153717041,-4.0875396729,0xFA48E868,0x3D231D89,0xFFFBE997
484,4,4,7,-2769.8808593750,13970.9187927246,-288.3300323486,0xF52E1E80,0x3692EB36,0xFEDFAB83
485,5,4,7,-1463.0921630859,15651.1153717041,-4.0875396729,0xFA48E868,0x3D231D89,0xFFFBE997
486,6,4,7,-2769.8808593750,13970.9187927246,-288.3300323486,0xF52E1E80,0x3692EB36,0xFEDFAB83
487,7,4,7,-1463.0921630859,15651.1153717041,-4.0875396729,0xFA48E868,0x3D231D89,0xFFFBE997
488,0,5,7,-20247.8302154541,10875.0576629639,301.8096008301,0xB0E82B77,0x2A7B0EC3,0x012DCF42
489,1,5,7,-13786.4065856934,-1959.6895294189,1020.9779663086,0xCA2597EA,0xF8584F7B,0x03FCFA5C
490,2,5,7,-20247.8302154541,10875.0576629639,301.8096008301,0xB0E82B77,0x2A7B0EC3,0x012DCF42
491,3,5,7,-13786.4065856934,-1959.6895294189,1020.9779663086,0xCA2597EA,0xF8584F7B,0x03FCFA5C
492,4,5,7,-20247.8302154541,10875.0576629639,301.8096008301,0xB0E82B77,0x2A7B0EC3,0x012DCF42
493,5,5,7,-13786.4065856934,-1959.6895294189,1020.9779663086,0xCA2597EA,0xF8584F7B,0x03FCFA5C
494,6,5,7,-20247.8302154541,10875.0576629639,301.8096008301,0xB0E82B77,0x2A7B0EC3,0x012DCF42
495,7,5,7,-13786.4065856934,-1959.6895294189,1020.9779663086,0xCA2597EA,0xF8584F7B,0x03FCFA5C
496,0,6,7,-2769.8808593750,13970.9187927246,-288.3300323486,0xF52E1E80,0x3692EB36,0xFEDFAB83
497,1,6,7,-1463.0921630859,15651.1153717041,-4.0875396729,0xFA48E868,0x3D231D89,0xFFFBE997
498,2,6,7,-2769.8808593750,13970.9187927246,-288.3300323486,0xF52E1E80,0x3692EB36,0xFEDFAB83
499,3,6,7,-1463.0921630859,15651.1153717041,-4.0875396729,0xFA48E868,0x3D231D89,0xFFFBE997
500,4,6,7,-2769.8808593750,13970.9187927246,-288.3300323486,0xF52E1E80,0x3692EB36,0xFEDFAB83
501,5,6,7,-1463.0921630859,15651.1153717041,-4.0875396729,0xFA48E868,0x3D231D89,0xFFFBE997
