logical_idx,local_idx,x,y,z,board_id
0,0,0,0,0,0
1,1,1,0,0,0
32,2,0,1,0,0
33,3,1,1,0,0
2,4,2,0,0,0
3,5,3,0,0,0
34,6,2,1,0,0
35,7,3,1,0,0
64,8,0,2,0,0
65,9,1,2,0,0
96,10,0,3,0,0
97,11,1,3,0,0
66,12,2,2,0,0
67,13,3,2,0,0
98,14,2,3,0,0
99,15,3,3,0,0
4,16,4,0,0,0
5,17,5,0,0,0
36,18,4,1,0,0
37,19,5,1,0,0
6,20,6,0,0,0
7,21,7,0,0,0
38,22,6,1,0,0
39,23,7,1,0,0
68,24,4,2,0,0
69,25,5,2,0,0
100,26,4,3,0,0
101,27,5,3,0,0
70,28,6,2,0,0
71,29,7,2,0,0
102,30,6,3,0,0
103,31,7,3,0,0
128,32,0,4,0,0
129,33,1,4,0,0
160,34,0,5,0,0
161,35,1,5,0,0
130,36,2,4,0,0
131,37,3,4,0,0
162,38,2,5,0,0
163,39,3,5,0,0
192,40,0,6,0,0
193,41,1,6,0,0
224,42,0,7,0,0
225,43,1,7,0,0
194,44,2,6,0,0
195,45,3,6,0,0
226,46,2,7,0,0
227,47,3,7,0,0
132,48,4,4,0,0
133,49,5,4,0,0
164,50,4,5,0,0
165,51,5,5,0,0
134,52,6,4,0,0
135,53,7,4,0,0
166,54,6,5,0,0
167,55,7,5,0,0
196,56,4,6,0,0
197,57,5,6,0,0
228,58,4,7,0,0
229,59,5,7,0,0
198,60,6,6,0,0
199,61,7,6,0,0
230,62,6,7,0,0
231,63,7,7,0,0
8,64,8,0,0,0
9,65,9,0,0,0
40,66,8,1,0,0
41,67,9,1,0,0
10,68,10,0,0,0
11,69,11,0,0,0
42,70,10,1,0,0
43,71,11,1,0,0
72,72,8,2,0,0
73,73,9,2,0,0
104,74,8,3,0,0
105,75,9,3,0,0
74,76,10,2,0,0
75,77,11,2,0,0
106,78,10,3,0,0
107,79,11,3,0,0
12,80,12,0,0,0
13,81,13,0,0,0
44,82,12,1,0,0
45,83,13,1,0,0
14,84,14,0,0,0
15,85,15,0,0,0
46,86,14,1,0,0
47,87,15,1,0,0
76,88,12,2,0,0
77,89,13,2,0,0
108,90,12,3,0,0
109,91,13,3,0,0
78,92,14,2,0,0
79,93,15,2,0,0
110,94,14,3,0,0
111,95,15,3,0,0
136,96,8,4,0,0
137,97,9,4,0,0
168,98,8,5,0,0
169,99,9,5,0,0
138,100,10,4,0,0
139,101,11,4,0,0
170,102,10,5,0,0
171,103,11,5,0,0
200,104,8,6,0,0
201,105,9,6,0,0
232,106,8,7,0,0
233,107,9,7,0,0
202,108,10,6,0,0
203,109,11,6,0,0
234,110,10,7,0,0
235,111,11,7,0,0
140,112,12,4,0,0
141,113,13,4,0,0
172,114,12,5,0,0
173,115,13,5,0,0
142,116,14,4,0,0
143,117,15,4,0,0
174,118,14,5,0,0
175,119,15,5,0,0
204,120,12,6,0,0
205,121,13,6,0,0
236,122,12,7,0,0
237,123,13,7,0,0
206,124,14,6,0,0
207,125,15,6,0,0
238,126,14,7,0,0
239,127,15,7,0,0
256,128,0,8,0,0
257,129,1,8,0,0
288,130,0,9,0,0
289,131,1,9,0,0
258,132,2,8,0,0
259,133,3,8,0,0
290,134,2,9,0,0
291,135,3,9,0,0
320,136,0,10,0,0
321,137,1,10,0,0
352,138,0,11,0,0
353,139,1,11,0,0
322,140,2,10,0,0
323,141,3,10,0,0
354,142,2,11,0,0
355,143,3,11,0,0
260,144,4,8,0,0
261,145,5,8,0,0
292,146,4,9,0,0
293,147,5,9,0,0
262,148,6,8,0,0
263,149,7,8,0,0
294,150,6,9,0,0
295,151,7,9,0,0
324,152,4,10,0,0
325,153,5,10,0,0
356,154,4,11,0,0
357,155,5,11,0,0
326,156,6,10,0,0
327,157,7,10,0,0
358,158,6,11,0,0
359,159,7,11,0,0
384,160,0,12,0,0
385,161,1,12,0,0
416,162,0,13,0,0
417,163,1,13,0,0
386,164,2,12,0,0
387,165,3,12,0,0
418,166,2,13,0,0
419,167,3,13,0,0
448,168,0,14,0,0
449,169,1,14,0,0
480,170,0,15,0,0
481,171,1,15,0,0
450,172,2,14,0,0
451,173,3,14,0,0
482,174,2,15,0,0
483,175,3,15,0,0
388,176,4,12,0,0
389,177,5,12,0,0
420,178,4,13,0,0
421,179,5,13,0,0
390,180,6,12,0,0
391,181,7,12,0,0
422,182,6,13,0,0
423,183,7,13,0,0
452,184,4,14,0,0
453,185,5,14,0,0
484,186,4,15,0,0
485,187,5,15,0,0
454,188,6,14,0,0
455,189,7,14,0,0
486,190,6,15,0,0
487,191,7,15,0,0
264,192,8,8,0,0
265,193,9,8,0,0
296,194,8,9,0,0
297,195,9,9,0,0
266,196,10,8,0,0
267,197,11,8,0,0
298,198,10,9,0,0
299,199,11,9,0,0
328,200,8,10,0,0
329,201,9,10,0,0
360,202,8,11,0,0
361,203,9,11,0,0
330,204,10,10,0,0
331,205,11,10,0,0
362,206,10,11,0,0
363,207,11,11,0,0
268,208,12,8,0,0
269,209,13,8,0,0
300,210,12,9,0,0
301,211,13,9,0,0
270,212,14,8,0,0
271,213,15,8,0,0
302,214,14,9,0,0
303,215,15,9,0,0
332,216,12,10,0,0
333,217,13,10,0,0
364,218,12,11,0,0
365,219,13,11,0,0
334,220,14,10,0,0
335,221,15,10,0,0
366,222,14,11,0,0
367,223,15,11,0,0
392,224,8,12,0,0
393,225,9,12,0,0
424,226,8,13,0,0
425,227,9,13,0,0
394,228,10,12,0,0
395,229,11,12,0,0
426,230,10,13,0,0
427,231,11,13,0,0
456,232,8,14,0,0
457,233,9,14,0,0
488,234,8,15,0,0
489,235,9,15,0,0
458,236,10,14,0,0
459,237,11,14,0,0
490,238,10,15,0,0
491,239,11,15,0,0
396,240,12,12,0,0
397,241,13,12,0,0
428,242,12,13,0,0
429,243,13,13,0,0
398,244,14,12,0,0
399,245,15,12,0,0
430,246,14,13,0,0
431,247,15,13,0,0
460,248,12,14,0,0
461,249,13,14,0,0
492,250,12,15,0,0
493,251,13,15,0,0
462,252,14,14,0,0
463,253,15,14,0,0
494,254,14,15,0,0
495,255,15,15,0,0
16,256,16,0,0,0
17,257,17,0,0,0
48,258,16,1,0,0
49,259,17,1,0,0
18,260,18,0,0,0
19,261,19,0,0,0
50,262,18,1,0,0
51,263,19,1,0,0
80,264,16,2,0,0
81,265,17,2,0,0
112,266,16,3,0,0
113,267,17,3,0,0
82,268,18,2,0,0
83,269,19,2,0,0
114,270,18,3,0,0
115,271,19,3,0,0
20,272,20,0,0,0
21,273,21,0,0,0
52,274,20,1,0,0
53,275,21,1,0,0
22,276,22,0,0,0
23,277,23,0,0,0
54,278,22,1,0,0
55,279,23,1,0,0
84,280,20,2,0,0
85,281,21,2,0,0
116,282,20,3,0,0
117,283,21,3,0,0
86,284,22,2,0,0
87,285,23,2,0,0
118,286,22,3,0,0
119,287,23,3,0,0
144,288,16,4,0,0
145,289,17,4,0,0
176,290,16,5,0,0
177,291,17,5,0,0
146,292,18,4,0,0
147,293,19,4,0,0
178,294,18,5,0,0
179,295,19,5,0,0
208,296,16,6,0,0
209,297,17,6,0,0
240,298,16,7,0,0
241,299,17,7,0,0
210,300,18,6,0,0
211,301,19,6,0,0
242,302,18,7,0,0
243,303,19,7,0,0
148,304,20,4,0,0
149,305,21,4,0,0
180,306,20,5,0,0
181,307,21,5,0,0
150,308,22,4,0,0
151,309,23,4,0,0
182,310,22,5,0,0
183,311,23,5,0,0
212,312,20,6,0,0
213,313,21,6,0,0
244,314,20,7,0,0
245,315,21,7,0,0
214,316,22,6,0,0
215,317,23,6,0,0
246,318,22,7,0,0
