logical_idx,local_idx,x,y,z,board_id
0,0,0,0,0,0
1,1,1,0,0,0
2,2,2,0,0,0
3,3,3,0,0,0
4,4,4,0,0,0
5,5,5,0,0,0
6,6,6,0,0,0
7,7,7,0,0,0
8,8,8,0,0,0
9,9,9,0,0,0
10,10,10,0,0,0
11,11,11,0,0,0
12,12,12,0,0,0
13,13,13,0,0,0
14,14,14,0,0,0
15,15,15,0,0,0
16,16,16,0,0,0
17,17,17,0,0,0
18,18,18,0,0,0
19,19,19,0,0,0
20,20,20,0,0,0
21,21,21,0,0,0
22,22,22,0,0,0
23,23,23,0,0,0
24,24,24,0,0,0
25,25,25,0,0,0
26,26,26,0,0,0
27,27,27,0,0,0
28,28,28,0,0,0
29,29,29,0,0,0
30,30,30,0,0,0
31,31,31,0,0,0
63,32,31,1,0,0
62,33,30,1,0,0
61,34,29,1,0,0
60,35,28,1,0,0
59,36,27,1,0,0
58,37,26,1,0,0
57,38,25,1,0,0
56,39,24,1,0,0
55,40,23,1,0,0
54,41,22,1,0,0
53,42,21,1,0,0
52,43,20,1,0,0
51,44,19,1,0,0
50,45,18,1,0,0
49,46,17,1,0,0
48,47,16,1,0,0
47,48,15,1,0,0
46,49,14,1,0,0
45,50,13,1,0,0
44,51,12,1,0,0
43,52,11,1,0,0
42,53,10,1,0,0
41,54,9,1,0,0
40,55,8,1,0,0
39,56,7,1,0,0
38,57,6,1,0,0
37,58,5,1,0,0
36,59,4,1,0,0
35,60,3,1,0,0
34,61,2,1,0,0
33,62,1,1,0,0
32,63,0,1,0,0
64,64,0,2,0,0
65,65,1,2,0,0
66,66,2,2,0,0
67,67,3,2,0,0
68,68,4,2,0,0
69,69,5,2,0,0
70,70,6,2,0,0
71,71,7,2,0,0
72,72,8,2,0,0
73,73,9,2,0,0
74,74,10,2,0,0
75,75,11,2,0,0
76,76,12,2,0,0
77,77,13,2,0,0
78,78,14,2,0,0
79,79,15,2,0,0
80,80,16,2,0,0
81,81,17,2,0,0
82,82,18,2,0,0
83,83,19,2,0,0
84,84,20,2,0,0
85,85,21,2,0,0
86,86,22,2,0,0
87,87,23,2,0,0
88,88,24,2,0,0
89,89,25,2,0,0
90,90,26,2,0,0
91,91,27,2,0,0
92,92,28,2,0,0
93,93,29,2,0,0
94,94,30,2,0,0
95,95,31,2,0,0
127,96,31,3,0,0
126,97,30,3,0,0
125,98,29,3,0,0
124,99,28,3,0,0
123,100,27,3,0,0
122,101,26,3,0,0
121,102,25,3,0,0
120,103,24,3,0,0
119,104,23,3,0,0
118,105,22,3,0,0
117,106,21,3,0,0
116,107,20,3,0,0
115,108,19,3,0,0
114,109,18,3,0,0
113,110,17,3,0,0
112,111,16,3,0,0
111,112,15,3,0,0
110,113,14,3,0,0
109,114,13,3,0,0
108,115,12,3,0,0
107,116,11,3,0,0
106,117,10,3,0,0
105,118,9,3,0,0
104,119,8,3,0,0
103,120,7,3,0,0
102,121,6,3,0,0
101,122,5,3,0,0
100,123,4,3,0,0
99,124,3,3,0,0
98,125,2,3,0,0
97,126,1,3,0,0
96,127,0,3,0,0
128,128,0,4,0,0
129,129,1,4,0,0
130,130,2,4,0,0
131,131,3,4,0,0
132,132,4,4,0,0
133,133,5,4,0,0
134,134,6,4,0,0
135,135,7,4,0,0
136,136,8,4,0,0
137,137,9,4,0,0
138,138,10,4,0,0
139,139,11,4,0,0
140,140,12,4,0,0
141,141,13,4,0,0
142,142,14,4,0,0
143,143,15,4,0,0
144,144,16,4,0,0
145,145,17,4,0,0
146,146,18,4,0,0
147,147,19,4,0,0
148,148,20,4,0,0
149,149,21,4,0,0
150,150,22,4,0,0
151,151,23,4,0,0
152,152,24,4,0,0
153,153,25,4,0,0
154,154,26,4,0,0
155,155,27,4,0,0
156,156,28,4,0,0
157,157,29,4,0,0
158,158,30,4,0,0
159,159,31,4,0,0
191,160,31,5,0,0
190,161,30,5,0,0
189,162,29,5,0,0
188,163,28,5,0,0
187,164,27,5,0,0
186,165,26,5,0,0
185,166,25,5,0,0
184,167,24,5,0,0
183,168,23,5,0,0
182,169,22,5,0,0
181,170,21,5,0,0
180,171,20,5,0,0
179,172,19,5,0,0
178,173,18,5,0,0
177,174,17,5,0,0
176,175,16,5,0,0
175,176,15,5,0,0
174,177,14,5,0,0
173,178,13,5,0,0
172,179,12,5,0,0
171,180,11,5,0,0
170,181,10,5,0,0
169,182,9,5,0,0
168,183,8,5,0,0
167,184,7,5,0,0
166,185,6,5,0,0
165,186,5,5,0,0
164,187,4,5,0,0
163,188,3,5,0,0
162,189,2,5,0,0
161,190,1,5,0,0
160,191,0,5,0,0
192,192,0,6,0,0
193,193,1,6,0,0
194,194,2,6,0,0
195,195,3,6,0,0
196,196,4,6,0,0
197,197,5,6,0,0
198,198,6,6,0,0
199,199,7,6,0,0
200,200,8,6,0,0
201,201,9,6,0,0
202,202,10,6,0,0
203,203,11,6,0,0
204,204,12,6,0,0
205,205,13,6,0,0
206,206,14,6,0,0
207,207,15,6,0,0
208,208,16,6,0,0
209,209,17,6,0,0
210,210,18,6,0,0
211,211,19,6,0,0
212,212,20,6,0,0
213,213,21,6,0,0
214,214,22,6,0,0
215,215,23,6,0,0
216,216,24,6,0,0
217,217,25,6,0,0
218,218,26,6,0,0
219,219,27,6,0,0
220,220,28,6,0,0
221,221,29,6,0,0
222,222,30,6,0,0
223,223,31,6,0,0
255,224,31,7,0,0
254,225,30,7,0,0
253,226,29,7,0,0
252,227,28,7,0,0
251,228,27,7,0,0
250,229,26,7,0,0
249,230,25,7,0,0
248,231,24,7,0,0
247,232,23,7,0,0
246,233,22,7,0,0
245,234,21,7,0,0
244,235,20,7,0,0
243,236,19,7,0,0
242,237,18,7,0,0
241,238,17,7,0,0
240,239,16,7,0,0
239,240,15,7,0,0
238,241,14,7,0,0
237,242,13,7,0,0
236,243,12,7,0,0
235,244,11,7,0,0
234,245,10,7,0,0
233,246,9,7,0,0
232,247,8,7,0,0
231,248,7,7,0,0
230,249,6,7,0,0
229,250,5,7,0,0
228,251,4,7,0,0
227,252,3,7,0,0
226,253,2,7,0,0
225,254,1,7,0,0
224,255,0,7,0,0
256,256,0,8,0,0
257,257,1,8,0,0
258,258,2,8,0,0
259,259,3,8,0,0
260,260,4,8,0,0
261,261,5,8,0,0
262,262,6,8,0,0
263,263,7,8,0,0
264,264,8,8,0,0
265,265,9,8,0,0
266,266,10,8,0,0
267,267,11,8,0,0
268,268,12,8,0,0
269,269,13,8,0,0
270,270,14,8,0,0
271,271,15,8,0,0
272,272,16,8,0,0
273,273,17,8,0,0
274,274,18,8,0,0
275,275,19,8,0,0
276,276,20,8,0,0
277,277,21,8,0,0
278,278,22,8,0,0
279,279,23,8,0,0
280,280,24,8,0,0
281,281,25,8,0,0
282,282,26,8,0,0
283,283,27,8,0,0
284,284,28,8,0,0
285,285,29,8,0,0
286,286,30,8,0,0
287,287,31,8,0,0
319,288,31,9,0,0
318,289,30,9,0,0
317,290,29,9,0,0
316,291,28,9,0,0
315,292,27,9,0,0
314,293,26,9,0,0
313,294,25,9,0,0
312,295,24,9,0,0
311,296,23,9,0,0
310,297,22,9,0,0
309,298,21,9,0,0
308,299,20,9,0,0
307,300,19,9,0,0
306,301,18,9,0,0
305,302,17,9,0,0
304,303,16,9,0,0
303,304,15,9,0,0
302,305,14,9,0,0
301,306,13,9,0,0
300,307,12,9,0,0
299,308,11,9,0,0
298,309,10,9,0,0
297,310,9,9,0,0
296,311,8,9,0,0
295,312,7,9,0,0
294,313,6,9,0,0
293,314,5,9,0,0
292,315,4,9,0,0
291,316,3,9,0,0
290,317,2,9,0,0
289,318,1,9,0,0
