logical_idx,local_idx,x,y,z,board_id
0,0,0,0,0,0
1,1,1,0,0,0
2,2,2,0,0,0
3,3,3,0,0,0
4,4,4,0,0,0
5,5,5,0,0,0
6,6,6,0,0,0
7,7,7,0,0,0
8,8,0,1,0,0
9,9,1,1,0,0
10,10,2,1,0,0
11,11,3,1,0,0
12,12,4,1,0,0
13,13,5,1,0,0
14,14,6,1,0,0
15,15,7,1,0,0
16,16,0,2,0,0
17,17,1,2,0,0
18,18,2,2,0,0
19,19,3,2,0,0
20,20,4,2,0,0
21,21,5,2,0,0
22,22,6,2,0,0
23,23,7,2,0,0
24,24,0,3,0,0
25,25,1,3,0,0
26,26,2,3,0,0
27,27,3,3,0,0
28,28,4,3,0,0
29,29,5,3,0,0
30,30,6,3,0,0
31,31,7,3,0,0
32,32,0,4,0,0
33,33,1,4,0,0
34,34,2,4,0,0
35,35,3,4,0,0
36,36,4,4,0,0
37,37,5,4,0,0
38,38,6,4,0,0
39,39,7,4,0,0
40,40,0,5,0,0
41,41,1,5,0,0
42,42,2,5,0,0
43,43,3,5,0,0
44,44,4,5,0,0
45,45,5,5,0,0
46,46,6,5,0,0
47,47,7,5,0,0
48,48,0,6,0,0
49,49,1,6,0,0
50,50,2,6,0,0
51,51,3,6,0,0
52,52,4,6,0,0
53,53,5,6,0,0
54,54,6,6,0,0
55,55,7,6,0,0
56,56,0,7,0,0
57,57,1,7,0,0
58,58,2,7,0,0
59,59,3,7,0,0
60,60,4,7,0,0
61,61,5,7,0,0
62,62,6,7,0,0
63,63,7,7,0,0
64,64,0,0,1,0
65,65,1,0,1,0
66,66,2,0,1,0
67,67,3,0,1,0
68,68,4,0,1,0
69,69,5,0,1,0
70,70,6,0,1,0
71,71,7,0,1,0
72,72,0,1,1,0
73,73,1,1,1,0
74,74,2,1,1,0
75,75,3,1,1,0
76,76,4,1,1,0
77,77,5,1,1,0
78,78,6,1,1,0
79,79,7,1,1,0
80,80,0,2,1,0
81,81,1,2,1,0
82,82,2,2,1,0
83,83,3,2,1,0
84,84,4,2,1,0
85,85,5,2,1,0
86,86,6,2,1,0
87,87,7,2,1,0
88,88,0,3,1,0
89,89,1,3,1,0
90,90,2,3,1,0
91,91,3,3,1,0
92,92,4,3,1,0
93,93,5,3,1,0
94,94,6,3,1,0
95,95,7,3,1,0
96,96,0,4,1,0
97,97,1,4,1,0
98,98,2,4,1,0
99,99,3,4,1,0
100,100,4,4,1,0
101,101,5,4,1,0
102,102,6,4,1,0
103,103,7,4,1,0
104,104,0,5,1,0
105,105,1,5,1,0
106,106,2,5,1,0
107,107,3,5,1,0
108,108,4,5,1,0
109,109,5,5,1,0
110,110,6,5,1,0
111,111,7,5,1,0
112,112,0,6,1,0
113,113,1,6,1,0
114,114,2,6,1,0
115,115,3,6,1,0
116,116,4,6,1,0
117,117,5,6,1,0
118,118,6,6,1,0
119,119,7,6,1,0
120,120,0,7,1,0
121,121,1,7,1,0
122,122,2,7,1,0
123,123,3,7,1,0
124,124,4,7,1,0
125,125,5,7,1,0
126,126,6,7,1,0
127,127,7,7,1,0
128,128,0,0,2,0
129,129,1,0,2,0
130,130,2,0,2,0
131,131,3,0,2,0
132,132,4,0,2,0
133,133,5,0,2,0
134,134,6,0,2,0
135,135,7,0,2,0
136,136,0,1,2,0
137,137,1,1,2,0
138,138,2,1,2,0
139,139,3,1,2,0
140,140,4,1,2,0
141,141,5,1,2,0
142,142,6,1,2,0
143,143,7,1,2,0
144,144,0,2,2,0
145,145,1,2,2,0
146,146,2,2,2,0
147,147,3,2,2,0
148,148,4,2,2,0
149,149,5,2,2,0
150,150,6,2,2,0
151,151,7,2,2,0
152,152,0,3,2,0
153,153,1,3,2,0
154,154,2,3,2,0
155,155,3,3,2,0
156,156,4,3,2,0
157,157,5,3,2,0
158,158,6,3,2,0
159,159,7,3,2,0
160,160,0,4,2,0
161,161,1,4,2,0
162,162,2,4,2,0
163,163,3,4,2,0
164,164,4,4,2,0
165,165,5,4,2,0
166,166,6,4,2,0
167,167,7,4,2,0
168,168,0,5,2,0
169,169,1,5,2,0
170,170,2,5,2,0
171,171,3,5,2,0
172,172,4,5,2,0
173,173,5,5,2,0
174,174,6,5,2,0
175,175,7,5,2,0
176,176,0,6,2,0
177,177,1,6,2,0
178,178,2,6,2,0
179,179,3,6,2,0
180,180,4,6,2,0
181,181,5,6,2,0
182,182,6,6,2,0
183,183,7,6,2,0
184,184,0,7,2,0
185,185,1,7,2,0
186,186,2,7,2,0
187,187,3,7,2,0
188,188,4,7,2,0
189,189,5,7,2,0
190,190,6,7,2,0
191,191,7,7,2,0
192,192,0,0,3,0
193,193,1,0,3,0
194,194,2,0,3,0
195,195,3,0,3,0
196,196,4,0,3,0
197,197,5,0,3,0
198,198,6,0,3,0
199,199,7,0,3,0
200,200,0,1,3,0
201,201,1,1,3,0
202,202,2,1,3,0
203,203,3,1,3,0
204,204,4,1,3,0
205,205,5,1,3,0
206,206,6,1,3,0
207,207,7,1,3,0
208,208,0,2,3,0
209,209,1,2,3,0
210,210,2,2,3,0
211,211,3,2,3,0
212,212,4,2,3,0
213,213,5,2,3,0
214,214,6,2,3,0
215,215,7,2,3,0
216,216,0,3,3,0
217,217,1,3,3,0
218,218,2,3,3,0
219,219,3,3,3,0
220,220,4,3,3,0
221,221,5,3,3,0
222,222,6,3,3,0
223,223,7,3,3,0
224,224,0,4,3,0
225,225,1,4,3,0
226,226,2,4,3,0
227,227,3,4,3,0
228,228,4,4,3,0
229,229,5,4,3,0
230,230,6,4,3,0
231,231,7,4,3,0
232,232,0,5,3,0
233,233,1,5,3,0
234,234,2,5,3,0
235,235,3,5,3,0
236,236,4,5,3,0
237,237,5,5,3,0
238,238,6,5,3,0
239,239,7,5,3,0
240,240,0,6,3,0
241,241,1,6,3,0
242,242,2,6,3,0
243,243,3,6,3,0
244,244,4,6,3,0
245,245,5,6,3,0
246,246,6,6,3,0
247,247,7,6,3,0
248,248,0,7,3,0
249,249,1,7,3,0
250,250,2,7,3,0
251,251,3,7,3,0
252,252,4,7,3,0
253,253,5,7,3,0
254,254,6,7,3,0
255,255,7,7,3,0
256,256,0,0,4,0
257,257,1,0,4,0
258,258,2,0,4,0
259,259,3,0,4,0
260,260,4,0,4,0
261,261,5,0,4,0
262,262,6,0,4,0
263,263,7,0,4,0
264,264,0,1,4,0
265,265,1,1,4,0
266,266,2,1,4,0
267,267,3,1,4,0
268,268,4,1,4,0
269,269,5,1,4,0
270,270,6,1,4,0
271,271,7,1,4,0
272,272,0,2,4,0
273,273,1,2,4,0
274,274,2,2,4,0
275,275,3,2,4,0
276,276,4,2,4,0
277,277,5,2,4,0
278,278,6,2,4,0
279,279,7,2,4,0
280,280,0,3,4,0
281,281,1,3,4,0
282,282,2,3,4,0
283,283,3,3,4,0
284,284,4,3,4,0
285,285,5,3,4,0
286,286,6,3,4,0
287,287,7,3,4,0
288,288,0,4,4,0
289,289,1,4,4,0
290,290,2,4,4,0
291,291,3,4,4,0
292,292,4,4,4,0
293,293,5,4,4,0
294,294,6,4,4,0
295,295,7,4,4,0
296,296,0,5,4,0
297,297,1,5,4,0
298,298,2,5,4,0
299,299,3,5,4,0
300,300,4,5,4,0
301,301,5,5,4,0
302,302,6,5,4,0
303,303,7,5,4,0
304,304,0,6,4,0
305,305,1,6,4,0
306,306,2,6,4,0
307,307,3,6,4,0
308,308,4,6,4,0
309,309,5,6,4,0
310,310,6,6,4,0
311,311,7,6,4,0
312,312,0,7,4,0
313,313,1,7,4,0
314,314,2,7,4,0
315,315,3,7,4,0
316,316,4,7,4,0
317,317,5,7,4,0
318,318,6,7,4,0
