logical_idx,local_idx,x,y,z,board_id
0,0,0,0,0,0
1,1,1,0,0,0
2,2,2,0,0,0
3,3,3,0,0,0
4,4,4,0,0,0
5,5,5,0,0,0
6,6,6,0,0,0
7,7,7,0,0,0
15,8,7,1,0,0
14,9,6,1,0,0
13,10,5,1,0,0
12,11,4,1,0,0
11,12,3,1,0,0
10,13,2,1,0,0
9,14,1,1,0,0
8,15,0,1,0,0
16,16,0,2,0,0
17,17,1,2,0,0
18,18,2,2,0,0
19,19,3,2,0,0
20,20,4,2,0,0
21,21,5,2,0,0
22,22,6,2,0,0
23,23,7,2,0,0
31,24,7,3,0,0
30,25,6,3,0,0
29,26,5,3,0,0
28,27,4,3,0,0
27,28,3,3,0,0
26,29,2,3,0,0
25,30,1,3,0,0
24,31,0,3,0,0
32,32,0,4,0,0
33,33,1,4,0,0
34,34,2,4,0,0
35,35,3,4,0,0
36,36,4,4,0,0
37,37,5,4,0,0
38,38,6,4,0,0
39,39,7,4,0,0
47,40,7,5,0,0
46,41,6,5,0,0
45,42,5,5,0,0
44,43,4,5,0,0
43,44,3,5,0,0
42,45,2,5,0,0
41,46,1,5,0,0
40,47,0,5,0,0
48,48,0,6,0,0
49,49,1,6,0,0
50,50,2,6,0,0
51,51,3,6,0,0
52,52,4,6,0,0
53,53,5,6,0,0
54,54,6,6,0,0
55,55,7,6,0,0
63,56,7,7,0,0
62,57,6,7,0,0
61,58,5,7,0,0
60,59,4,7,0,0
59,60,3,7,0,0
58,61,2,7,0,0
57,62,1,7,0,0
56,63,0,7,0,0
64,64,0,0,1,0
65,65,1,0,1,0
66,66,2,0,1,0
67,67,3,0,1,0
68,68,4,0,1,0
69,69,5,0,1,0
70,70,6,0,1,0
71,71,7,0,1,0
79,72,7,1,1,0
78,73,6,1,1,0
77,74,5,1,1,0
76,75,4,1,1,0
75,76,3,1,1,0
74,77,2,1,1,0
73,78,1,1,1,0
72,79,0,1,1,0
80,80,0,2,1,0
81,81,1,2,1,0
82,82,2,2,1,0
83,83,3,2,1,0
84,84,4,2,1,0
85,85,5,2,1,0
86,86,6,2,1,0
87,87,7,2,1,0
95,88,7,3,1,0
94,89,6,3,1,0
93,90,5,3,1,0
92,91,4,3,1,0
91,92,3,3,1,0
90,93,2,3,1,0
89,94,1,3,1,0
88,95,0,3,1,0
96,96,0,4,1,0
97,97,1,4,1,0
98,98,2,4,1,0
99,99,3,4,1,0
100,100,4,4,1,0
101,101,5,4,1,0
102,102,6,4,1,0
103,103,7,4,1,0
111,104,7,5,1,0
110,105,6,5,1,0
109,106,5,5,1,0
108,107,4,5,1,0
107,108,3,5,1,0
106,109,2,5,1,0
105,110,1,5,1,0
104,111,0,5,1,0
112,112,0,6,1,0
113,113,1,6,1,0
114,114,2,6,1,0
115,115,3,6,1,0
116,116,4,6,1,0
117,117,5,6,1,0
118,118,6,6,1,0
119,119,7,6,1,0
127,120,7,7,1,0
126,121,6,7,1,0
125,122,5,7,1,0
124,123,4,7,1,0
123,124,3,7,1,0
122,125,2,7,1,0
121,126,1,7,1,0
120,127,0,7,1,0
128,128,0,0,2,0
129,129,1,0,2,0
130,130,2,0,2,0
131,131,3,0,2,0
132,132,4,0,2,0
133,133,5,0,2,0
134,134,6,0,2,0
135,135,7,0,2,0
143,136,7,1,2,0
142,137,6,1,2,0
141,138,5,1,2,0
140,139,4,1,2,0
139,140,3,1,2,0
138,141,2,1,2,0
137,142,1,1,2,0
136,143,0,1,2,0
144,144,0,2,2,0
145,145,1,2,2,0
146,146,2,2,2,0
147,147,3,2,2,0
148,148,4,2,2,0
149,149,5,2,2,0
150,150,6,2,2,0
151,151,7,2,2,0
159,152,7,3,2,0
158,153,6,3,2,0
157,154,5,3,2,0
156,155,4,3,2,0
155,156,3,3,2,0
154,157,2,3,2,0
153,158,1,3,2,0
152,159,0,3,2,0
160,160,0,4,2,0
161,161,1,4,2,0
162,162,2,4,2,0
163,163,3,4,2,0
164,164,4,4,2,0
165,165,5,4,2,0
166,166,6,4,2,0
167,167,7,4,2,0
175,168,7,5,2,0
174,169,6,5,2,0
173,170,5,5,2,0
172,171,4,5,2,0
171,172,3,5,2,0
170,173,2,5,2,0
169,174,1,5,2,0
168,175,0,5,2,0
176,176,0,6,2,0
177,177,1,6,2,0
178,178,2,6,2,0
179,179,3,6,2,0
180,180,4,6,2,0
181,181,5,6,2,0
182,182,6,6,2,0
183,183,7,6,2,0
191,184,7,7,2,0
190,185,6,7,2,0
189,186,5,7,2,0
188,187,4,7,2,0
187,188,3,7,2,0
186,189,2,7,2,0
185,190,1,7,2,0
184,191,0,7,2,0
192,192,0,0,3,0
193,193,1,0,3,0
194,194,2,0,3,0
195,195,3,0,3,0
196,196,4,0,3,0
197,197,5,0,3,0
198,198,6,0,3,0
199,199,7,0,3,0
207,200,7,1,3,0
206,201,6,1,3,0
205,202,5,1,3,0
204,203,4,1,3,0
203,204,3,1,3,0
202,205,2,1,3,0
201,206,1,1,3,0
200,207,0,1,3,0
208,208,0,2,3,0
209,209,1,2,3,0
210,210,2,2,3,0
211,211,3,2,3,0
212,212,4,2,3,0
213,213,5,2,3,0
214,214,6,2,3,0
215,215,7,2,3,0
223,216,7,3,3,0
222,217,6,3,3,0
221,218,5,3,3,0
220,219,4,3,3,0
219,220,3,3,3,0
218,221,2,3,3,0
217,222,1,3,3,0
216,223,0,3,3,0
224,224,0,4,3,0
225,225,1,4,3,0
226,226,2,4,3,0
227,227,3,4,3,0
228,228,4,4,3,0
229,229,5,4,3,0
230,230,6,4,3,0
231,231,7,4,3,0
239,232,7,5,3,0
238,233,6,5,3,0
237,234,5,5,3,0
236,235,4,5,3,0
235,236,3,5,3,0
234,237,2,5,3,0
233,238,1,5,3,0
232,239,0,5,3,0
240,240,0,6,3,0
241,241,1,6,3,0
242,242,2,6,3,0
243,243,3,6,3,0
244,244,4,6,3,0
245,245,5,6,3,0
246,246,6,6,3,0
247,247,7,6,3,0
255,248,7,7,3,0
254,249,6,7,3,0
253,250,5,7,3,0
252,251,4,7,3,0
251,252,3,7,3,0
250,253,2,7,3,0
249,254,1,7,3,0
248,255,0,7,3,0
256,256,0,0,4,0
257,257,1,0,4,0
258,258,2,0,4,0
259,259,3,0,4,0
260,260,4,0,4,0
261,261,5,0,4,0
262,262,6,0,4,0
263,263,7,0,4,0
271,264,7,1,4,0
270,265,6,1,4,0
269,266,5,1,4,0
268,267,4,1,4,0
267,268,3,1,4,0
266,269,2,1,4,0
265,270,1,1,4,0
264,271,0,1,4,0
272,272,0,2,4,0
273,273,1,2,4,0
274,274,2,2,4,0
275,275,3,2,4,0
276,276,4,2,4,0
277,277,5,2,4,0
278,278,6,2,4,0
279,279,7,2,4,0
287,280,7,3,4,0
286,281,6,3,4,0
285,282,5,3,4,0
284,283,4,3,4,0
283,284,3,3,4,0
282,285,2,3,4,0
281,286,1,3,4,0
280,287,0,3,4,0
288,288,0,4,4,0
289,289,1,4,4,0
290,290,2,4,4,0
291,291,3,4,4,0
292,292,4,4,4,0
293,293,5,4,4,0
294,294,6,4,4,0
295,295,7,4,4,0
303,296,7,5,4,0
302,297,6,5,4,0
301,298,5,5,4,0
300,299,4,5,4,0
299,300,3,5,4,0
298,301,2,5,4,0
297,302,1,5,4,0
296,303,0,5,4,0
304,304,0,6,4,0
305,305,1,6,4,0
306,306,2,6,4,0
307,307,3,6,4,0
308,308,4,6,4,0
309,309,5,6,4,0
310,310,6,6,4,0
311,311,7,6,4,0
319,312,7,7,4,0
318,313,6,7,4,0
317,314,5,7,4,0
316,315,4,7,4,0
315,316,3,7,4,0
314,317,2,7,4,0
313,318,1,7,4,0
