logical_idx,local_idx,x,y,z,board_id
0,0,0,0,0,0
1,1,1,0,0,0
8,2,0,1,0,0
9,3,1,1,0,0
64,4,0,0,1,0
65,5,1,0,1,0
72,6,0,1,1,0
73,7,1,1,1,0
2,8,2,0,0,0
3,9,3,0,0,0
10,10,2,1,0,0
11,11,3,1,0,0
66,12,2,0,1,0
67,13,3,0,1,0
74,14,2,1,1,0
75,15,3,1,1,0
16,16,0,2,0,0
17,17,1,2,0,0
24,18,0,3,0,0
25,19,1,3,0,0
80,20,0,2,1,0
81,21,1,2,1,0
88,22,0,3,1,0
89,23,1,3,1,0
18,24,2,2,0,0
19,25,3,2,0,0
26,26,2,3,0,0
27,27,3,3,0,0
82,28,2,2,1,0
83,29,3,2,1,0
90,30,2,3,1,0
91,31,3,3,1,0
128,32,0,0,2,0
129,33,1,0,2,0
136,34,0,1,2,0
137,35,1,1,2,0
192,36,0,0,3,0
193,37,1,0,3,0
200,38,0,1,3,0
201,39,1,1,3,0
130,40,2,0,2,0
131,41,3,0,2,0
138,42,2,1,2,0
139,43,3,1,2,0
194,44,2,0,3,0
195,45,3,0,3,0
202,46,2,1,3,0
203,47,3,1,3,0
144,48,0,2,2,0
145,49,1,2,2,0
152,50,0,3,2,0
153,51,1,3,2,0
208,52,0,2,3,0
209,53,1,2,3,0
216,54,0,3,3,0
217,55,1,3,3,0
146,56,2,2,2,0
147,57,3,2,2,0
154,58,2,3,2,0
155,59,3,3,2,0
210,60,2,2,3,0
211,61,3,2,3,0
218,62,2,3,3,0
219,63,3,3,3,0
4,64,4,0,0,0
5,65,5,0,0,0
12,66,4,1,0,0
13,67,5,1,0,0
68,68,4,0,1,0
69,69,5,0,1,0
76,70,4,1,1,0
77,71,5,1,1,0
6,72,6,0,0,0
7,73,7,0,0,0
14,74,6,1,0,0
15,75,7,1,0,0
70,76,6,0,1,0
71,77,7,0,1,0
78,78,6,1,1,0
79,79,7,1,1,0
20,80,4,2,0,0
21,81,5,2,0,0
28,82,4,3,0,0
29,83,5,3,0,0
84,84,4,2,1,0
85,85,5,2,1,0
92,86,4,3,1,0
93,87,5,3,1,0
22,88,6,2,0,0
23,89,7,2,0,0
30,90,6,3,0,0
31,91,7,3,0,0
86,92,6,2,1,0
87,93,7,2,1,0
94,94,6,3,1,0
95,95,7,3,1,0
132,96,4,0,2,0
133,97,5,0,2,0
140,98,4,1,2,0
141,99,5,1,2,0
196,100,4,0,3,0
197,101,5,0,3,0
204,102,4,1,3,0
205,103,5,1,3,0
134,104,6,0,2,0
135,105,7,0,2,0
142,106,6,1,2,0
143,107,7,1,2,0
198,108,6,0,3,0
199,109,7,0,3,0
206,110,6,1,3,0
207,111,7,1,3,0
148,112,4,2,2,0
149,113,5,2,2,0
156,114,4,3,2,0
157,115,5,3,2,0
212,116,4,2,3,0
213,117,5,2,3,0
220,118,4,3,3,0
221,119,5,3,3,0
150,120,6,2,2,0
151,121,7,2,2,0
158,122,6,3,2,0
159,123,7,3,2,0
214,124,6,2,3,0
215,125,7,2,3,0
222,126,6,3,3,0
223,127,7,3,3,0
32,128,0,4,0,0
33,129,1,4,0,0
40,130,0,5,0,0
41,131,1,5,0,0
96,132,0,4,1,0
97,133,1,4,1,0
104,134,0,5,1,0
105,135,1,5,1,0
34,136,2,4,0,0
35,137,3,4,0,0
42,138,2,5,0,0
43,139,3,5,0,0
98,140,2,4,1,0
99,141,3,4,1,0
106,142,2,5,1,0
107,143,3,5,1,0
48,144,0,6,0,0
49,145,1,6,0,0
56,146,0,7,0,0
57,147,1,7,0,0
112,148,0,6,1,0
113,149,1,6,1,0
120,150,0,7,1,0
121,151,1,7,1,0
50,152,2,6,0,0
51,153,3,6,0,0
58,154,2,7,0,0
59,155,3,7,0,0
114,156,2,6,1,0
115,157,3,6,1,0
122,158,2,7,1,0
123,159,3,7,1,0
160,160,0,4,2,0
161,161,1,4,2,0
168,162,0,5,2,0
169,163,1,5,2,0
224,164,0,4,3,0
225,165,1,4,3,0
232,166,0,5,3,0
233,167,1,5,3,0
162,168,2,4,2,0
163,169,3,4,2,0
170,170,2,5,2,0
171,171,3,5,2,0
226,172,2,4,3,0
227,173,3,4,3,0
234,174,2,5,3,0
235,175,3,5,3,0
176,176,0,6,2,0
177,177,1,6,2,0
184,178,0,7,2,0
185,179,1,7,2,0
240,180,0,6,3,0
241,181,1,6,3,0
248,182,0,7,3,0
249,183,1,7,3,0
178,184,2,6,2,0
179,185,3,6,2,0
186,186,2,7,2,0
187,187,3,7,2,0
242,188,2,6,3,0
243,189,3,6,3,0
250,190,2,7,3,0
251,191,3,7,3,0
36,192,4,4,0,0
37,193,5,4,0,0
44,194,4,5,0,0
45,195,5,5,0,0
100,196,4,4,1,0
101,197,5,4,1,0
108,198,4,5,1,0
109,199,5,5,1,0
38,200,6,4,0,0
39,201,7,4,0,0
46,202,6,5,0,0
47,203,7,5,0,0
102,204,6,4,1,0
103,205,7,4,1,0
110,206,6,5,1,0
111,207,7,5,1,0
52,208,4,6,0,0
53,209,5,6,0,0
60,210,4,7,0,0
61,211,5,7,0,0
116,212,4,6,1,0
117,213,5,6,1,0
124,214,4,7,1,0
125,215,5,7,1,0
54,216,6,6,0,0
55,217,7,6,0,0
62,218,6,7,0,0
63,219,7,7,0,0
118,220,6,6,1,0
119,221,7,6,1,0
126,222,6,7,1,0
127,223,7,7,1,0
164,224,4,4,2,0
165,225,5,4,2,0
172,226,4,5,2,0
173,227,5,5,2,0
228,228,4,4,3,0
229,229,5,4,3,0
236,230,4,5,3,0
237,231,5,5,3,0
166,232,6,4,2,0
167,233,7,4,2,0
174,234,6,5,2,0
175,235,7,5,2,0
230,236,6,4,3,0
231,237,7,4,3,0
238,238,6,5,3,0
239,239,7,5,3,0
180,240,4,6,2,0
181,241,5,6,2,0
188,242,4,7,2,0
189,243,5,7,2,0
244,244,4,6,3,0
245,245,5,6,3,0
252,246,4,7,3,0
253,247,5,7,3,0
182,248,6,6,2,0
183,249,7,6,2,0
190,250,6,7,2,0
191,251,7,7,2,0
246,252,6,6,3,0
247,253,7,6,3,0
254,254,6,7,3,0
255,255,7,7,3,0
256,256,0,0,4,0
257,257,1,0,4,0
264,258,0,1,4,0
265,259,1,1,4,0
320,260,0,0,5,0
321,261,1,0,5,0
328,262,0,1,5,0
329,263,1,1,5,0
258,264,2,0,4,0
259,265,3,0,4,0
266,266,2,1,4,0
267,267,3,1,4,0
322,268,2,0,5,0
323,269,3,0,5,0
330,270,2,1,5,0
331,271,3,1,5,0
272,272,0,2,4,0
273,273,1,2,4,0
280,274,0,3,4,0
281,275,1,3,4,0
336,276,0,2,5,0
337,277,1,2,5,0
344,278,0,3,5,0
345,279,1,3,5,0
274,280,2,2,4,0
275,281,3,2,4,0
282,282,2,3,4,0
283,283,3,3,4,0
338,284,2,2,5,0
339,285,3,2,5,0
346,286,2,3,5,0
347,287,3,3,5,0
384,288,0,0,6,0
385,289,1,0,6,0
392,290,0,1,6,0
393,291,1,1,6,0
448,292,0,0,7,0
449,293,1,0,7,0
456,294,0,1,7,0
457,295,1,1,7,0
386,296,2,0,6,0
387,297,3,0,6,0
394,298,2,1,6,0
395,299,3,1,6,0
450,300,2,0,7,0
451,301,3,0,7,0
458,302,2,1,7,0
459,303,3,1,7,0
400,304,0,2,6,0
401,305,1,2,6,0
408,306,0,3,6,0
409,307,1,3,6,0
464,308,0,2,7,0
465,309,1,2,7,0
472,310,0,3,7,0
473,311,1,3,7,0
402,312,2,2,6,0
403,313,3,2,6,0
410,314,2,3,6,0
411,315,3,3,6,0
466,316,2,2,7,0
467,317,3,2,7,0
474,318,2,3,7,0
